comprise	tvoriť
compromise	kompromitovať
compromise	vyrovnanie
compromise	urovnať
compromise	odmaskovanie
compromise	dohoda
compromise	zmier
compromise	kompromisný
compromise	kompromis
comptroller	kontrolór
compulsion	nútenie
compulsion	nutkanie
compulsion	prinútenie
compulsion	donútenie
compulsion	nátlak
compulsory	obligátny
compulsory	vynútený
compulsory	obligatórny
compulsory	povinný
compulsory	donucovací
compulsory	predvolanie
compulsory	nútený
computation	vypočítanie
computation	počítanie
computation	rátanie
computation	výpočet
computation	rozpočet
computational	výpočtový
compute	počítať
compute	kalkulovať
compute	vypočítať
compute	zúčtovať
compute	vypočítavať
compute	odhadnúť
computer	počítač
computer	kalkulátor
computer	počítačový
computer	počítací
computer	číslicový
computing	výpočtová
computing	výpočtové
computing	počítacia
computing	počítacie
computing	operačná
computing	operačné
computing	výpočet
computing	počítanie
computing	výpočtový
computing	počítací
computing	operačný
computing machine	počítač
comrade	súdruh
comrade	druh
comrade	kamarát
comrade	súdružka
con game	napálenie
con game	podvod
concatenate	zväzovať
concatenate	reťaziť
concatenate	spájať
concatenate	zlúčiť
concatenate	zreťazovať
concatenate	zlučovať
concatenate	zreťaziť
concatenation	konkatenácia
concatenation	zreťazenie
concatenation	zlučovanie
concatenation	reťazenie
concatenation	spojenie
concave	dutý
concave	konkávny
concave	vydutý
concave	vypuklý
concave	konkávna
concave	konkávne
concave	vydutá
concave	vyduté
concave	vyhĺbená
concave	vyhĺbené
concave	vypuklá
concave	vypuklé
concave	konkáva
concave	dutina
concave	vdutý
concave	vyhĺbený
concavity	konkávnosť
concavity	vdutosť
concavo-convex	dutovypuklý
conceal	ukryť
conceal	zamlčať
conceal	zakrývať
conceal	utajiť
conceal	zatajiť
conceal	skryť
concealed	skrytý
concealed	ukrytý
concealed	skrytá
concealed	skryté
concealed	ukrytá
concealed	ukryté
concealed	krytý
concealed	zapustený
concealment	zatajenie
concealment	ukrývanie
concealment	úkryt
concede	pripustiť
concede	priznať
concede	pripúšťať
concede	povoliť
concede	poskytnúť
concede	uznať
conceit	domýšľavosť
conceit	namyslený
conceit	namyslenosť
conceit	pýcha
conceited	domýšľavý
conceited	namyslený
conceivable	mysliteľný
conceivable	predstaviteľný
conceive	počítať
conceive	pojať
conceive	vymyslieť
conceive	nápad
conceive	pochopiť
conceive	otehotnieť
conceive	formulovať
conceive	koncipovať
conceive	predpokladať
concentrate	sústrediť
concentrate	koncentrovaný
concentrate	sústredený
concentrate	zahustený
concentrate	odparovať
concentrate	zahusťovať
concentrate	zhusťovať
concentrate	koncentrát
concentrate	koncentrovať
concentrated	sústredený
concentrated	koncentrovaný
concentrated	koncentrovaná
concentrated	koncentrované
concentrated	obohatený
concentrated	zahustený
concentrated	zhustený
concentrated	intenzívny
concentration	zhustenie
concentration	koncentrácia
concentration	koncentrovanie
concentration	obohacovanie
concentration	zahusťovanie
concentration	odparovanie
concentration	zmrašťovanie
concentration	sústredenosť
concentration	zhromaždenie
concentration	sústreďovanie
concentration	sústredenie
concentration	koncentračný
concentration camp	koncentrák
concentric	sústredený
concentric	sústredená
concentric	sústredené
concentric	koncentrický
concentric	koncentrická
concentric	koncentrické
concentric	súosový
concentric	sústredný
concentricity	sústrednosť
concept	spôsob
concept	idea
concept	pojatie
concept	pojem
concept	predstava
concept	poňatie
concept	koncept
concept	koncepcia
conception	predstava
conception	pojatie
conception	pochop
conception	počatie
conception	koncepcia
conception	poňatie
conception	chápanie
conception	pojem
concern	koncern
concern	firma
concern	podnik
concern	vec
concern	účasť
concern	trust
concern	obsahovať
concern	záujem
concern	starosť
concern	podiel
concern	znepokojenie
concern	záležitosť
concerned	zúčastnený
concerned	obsahujúci
concerned	dotyčný
concerned	príslušný
concerned	zainteresovaný
