congeniality	príbuznosť
congenital	vrodený
congeries	nakopenie
congeries	znôška
congeries	kopa
congest	preplniť
congest	prekrviť
congest	nahromadiť
congest	zaplaviť
congestion	preťaženie
congestion	preľudnenosť
congestion	nahromadený
congestion	zátarasa
congestion	preťažený
congestion	zápcha
congestion	sústredenie
congestion	nahromadenie
congestion	upchatie
congestion	preplnenie
congestion	prekrvenie
conglomerate	zložený
conglomerate	zlepený
conglomerate	zloženina
conglomerate	zlepenec
conglomerate	konglomerát
congratulate	blahopriať
congratulate	blahoželať
congratulate	gratulovať
congratulation	gratulácia
congratulation	blahoželanie
congratulation	želanie
congratulations	gratulácie
congregation	zhromaždenie
congregation	kongregácia
congregational	kongregačný
Congregationalism	kongregacionalizmus
Congregationalist	kongregacionalista
congress	kongresový
congress	kongres
congress	zjazd
congressional	parlamentný
congruence	zhoda
congruence	kongruencia
congruence	konkurencia
congruence	zhodnosť
congruence	súhlasnosť
congruent	zodpovedajúci
congruent	kongruentný
congruent	zhodný
congruent	súhlasný
conic	kónický
conic	kužeľovitý
conic	šišatý
conic	šišatá
conic	šišaté
conic	kónická
conic	kónické
conic	kužeľosečka
conic	kužeľ
conic	kužeľový
conical	šišatý
conical	kónická
conical	kónické
conical	šišatá
conical	šišaté
conical	kužeľovitý
conical	kužeľový
conical	kónický
coniferous	ihličnatý
coniferous	ihličnatá
coniferous	ihličnaté
conjectural	hypotetický
conjecture	dohad
conjecture	domienka
conjecture	predpokladať
conjecture	usudzovať
conjecture	navrhnúť
conjoin	spojiť
conjoint	spoločný
conjoint	súvisiaci
conjoint	súčasný
conjugal	manželský
conjugate	časovať
conjugate	združený
conjugate	konjugovaný
conjugate	konjugát
conjugate	spojený
conjugate	spojovať
conjugate	združovať
conjugate	združenie
conjugation	časovanie
conjugation	konjugácia
conjunct	kombinovaný
conjunct	spoločník
conjunct	pripojenie
conjunct	spoločný
conjunct	spojený
conjunction	spolupráca
conjunction	spojka
conjunction	konjunkcia
conjunction	kombinácia
conjunction	prienik
conjunction	súčin
conjunction	spojenie
conjunction	zhoda
conjunctiva	spojivka
conjunctive	spojený
conjunctive	spoločný
conjunctive	spojovací
conjunctive	zlučovací
conjuncture	zhoda
conjuncture	konjuktúra
conjuncture	náhoda
conjuration	zaklínanie
conjure	zaprisahať
conjure	čarovať
conjure	vyčarovať
conjure up	vykúzliť
conjurer	kúzelník
conjuring	kúzelnický
connate	zrastený
connate	vrodený
connatural	vrodený
connect	združiť
connect	pripojiť
connect	spojovať
connect	prepájať
connect	pripájať
connect	prepojiť
connect	zapojovať
connect	združovať
connect	zapojiť
connect	spojiť
connect	kombinovať
connect	spájať
connect	obsadzovací
connect	spojovací
connected	zapojený
connected	spojený
connected	ucelený
connected	súvislý
connected	pripojený
connecting	spojovací
connecting	pripojenie
connecting	spojovanie
connecting	zapojenie
connecting	zapínanie
connecting	prípojný
connecting	pripájací
connecting	zapojovací
connecting rod	ojnica
connection	prípoj
connection	pripájanie
connection	pripojenie
connection	spájanie
connection	vzťah
connection	známosť
connection	zapojenie
connection	spojka
connection	kontakt
connection	spojitosť
connection	pripájací
connection	prípojný
connection	stykový
connection	spojenie
connection	prípojka
connection	klientela
connection	prepojenie
connection	zákazníci
connection	súvislosť
connection	styk
connection	spojovací
connective	spojka
connectivity	súvislosť
connectivity	prepojiteľnosť
connectivity	spojiteľnosť
connectivity	zapojiteľnosť
connector	svorka
connector	konektor
connector	spojka
connector	prípojka
connector	prívodka
connector	spojovací
connexion	spojenie
connexion	spoj
connexion	súvislosť
connexion	kontext
connexion	pomer
connexion	prípoj
connexion	klientela
connexion	príbuzný
connexion	zákazníctvo
connexion	spojitosť
connexion	spojovací
connivance	nadržiavanie
connivance	zhovievavosť
connive	nadržiavať
connive	nadŕžať
connive	intrigovať
connoisseur	znalec
