cooling tower	gradovňa
coon	mýval
coon	neger
coon	oplan
coon	cytrák
coon	lump
coop	kurník
coop	výbeh
coop	klietka
cooper	stolár
cooper	debnár
cooperate	spolupracovať
cooperate	kooperovať
cooperation	svojpomoc
cooperation	kooperácia
cooperation	spolupôsobenie
cooperation	spolupráca
cooperative	družstevný
cooperative	kooperatívny
cooperative	družstvo
coordinate	súradnica
coordinate	koordináta
coordinate	súradnicový
coordinate	rovnocenný
coordinate	rovný
coordinated	koordinovaný
coordination	koordinácia
coordination	koordinovanie
coordination	koordinačný
cop	potáčový
cop	dutinkový
cop	potáč
copal	kopál
copal	kopálový
copal	kopálová
copal	kopálové
copal	kopalový
cope	stačiť
cope	klenba
cope	kryť
cope	plášť
Copenhagen	kodaňská
Copenhagen	kodaňské
Copenhagen	kodaňský
copier	plagiátor
copier	kopista
copier	kópista
copier	kopírovač
copier	kopírka
copilot	autopilot
coping	krytba
coping	zastrešenie
coping	krycí
coping	krycia
coping	krycie
copious	hojný
copious	rozvláčny
copious	plodný
copious	plodná
copious	plodné
copious	bujný
copious	výdatný
copious	mnohovravný
coplanar	koplanárny
coplanar	rovinný
copper	meď
copper	policajt
copper	medený
copper	meďnatý
copper	meďný
copper	groš
copper	halier
copperplate	medirytina
copperplate	mediryt
copperplate	medený
coppice	mládza
coppice	porast
copra	kopra
copra	kokosový
coprolite	koprolit
copula	spona
copula	kopulácia
copula	kopula
copulate	kopulovať
copulation	párenie
copulation	kopulácia
copy	odtlačok
copy	priepis
copy	prieklep
copy	rukopis
copy	odpísať
copy	okopírovať
copy	reprodukovať
copy	opis
copy	predloha
copy	námet
copy	opísať
copy	opisovať
copy	prepis
copy	kopíruj
copy	odmaľovať
copy	vzor
copy	výpis
copy	druhopis
copy	otlačok
copy	kopírovací
copy	odpisovať
copy	kópia
copy	odpis
copy	duplikát
copy	výtlačok
copy	exemplár
copy	publikácia
copy	napodobniť
copy	kopírovať
copying	kopírovanie
copying	reprodukovanie
copying	prieklepový
copyist	odpisovač
copyist	plagiátor
copyist	kópista
coquette	koketa
coquette	koketovať
coquettish	koketný
coral	koralový
coral	koral
corbel	krákorec
corbel	konzola
corbel	korbeľ
corbel	krčah
corbel	sedlo
cord	špagát
cord	kábel
cord	motúz
cord	vodič
cord	šnúra
cord	šmuha
cord	kord
cord	povraz
cord	rips
cord	pás
cord	šnúrka
cord	šnúrový
cordage	lanovie
cordial	srdečný
cordial	srdcový
cordial	likér
cordial	posilňujúci
cordial	srdečná
cordial	srdečné
cordial	úprimný
cordierite	kordierit
cordite	kordit
cordless	bezdrôtový
cordless	bezdrôtová
cordless	bezdrôtové
cordon	kordón
cordon	stužka
cordon	rímsa
core	dreň
core	jadro
core	ohryzok
core	vnútro
core	vykrajovať
core	cievka
core	duša
core	dužina
core	jadrovník
core	jadrový
core	závitový
core	stredový
core	základný
core	jadrovať
Corinthian	korintská
Corinthian	korintské
Corinthian	korintský
corinthian	korintský
cork	zátka
cork	korok
cork	zazátkovať
cork	korkový
cork	lyko
corky	korkový
corky	bujný
cormorant	pažravec
cormorant	nenásytník
corn	kukurica
corn	nasoliť
corn	pšenica
corn	obilie
corn	zrno
cornea	rohovka
cornel	dreň
cornelian	karneol
corner	roh
corner	kút
corner	končina
corner	nárožný
corner	nárožná
corner	nárožné
