courtyard	dvor
cousin	bratranec
cousin	bratanec
cousin	sesternica
couture	majstrovstvo
couverture	krytie
covalence	väzbovosť
covalence	kovalencia
covalent	kovalentný
covariance	ovariantný
covariance	kovariancia
covariant	kovariantný
cove	zátoka
cove	súteska
cove	zákutie
cove	lýza
cove	záliv
cove	zákrytový
covenant	pakt
covenant	záväzok
covenant	dohovor
covenant	prísľub
covenant	zmluva
covenant	dohoda
covenant	stanovy
covenant	štatút
cover	prikrývka
cover	kryt
cover	úhrada
cover	doska
cover	úkryt
cover	viečko
cover	príbor
cover	vyčerpávať
cover	pokrývať
cover	uraziť
cover	zaujať
cover	prikrývať
cover	pokryť
cover	zakryť
cover	zahrnúť
cover	obsiahnuť
cover	ručiť
cover	ochrana
cover	krycia
cover	krycie
cover	povlak
cover	pokrývka
cover	veko
cover	potláčanie
cover	obálka
cover	pokryv
cover	obal
cover	krycí
cover	hradiť
cover	ujsť
cover	utajiť
cover	zasielať
cover	zastávať
cover	krytie
cover	záruka
cover	prikryť
cover	poistiť
cover	obaliť
cover	chrániť
cover	obhospodarovať
cover	kompenzovať
cover	uhradiť
cover	zabezpečovať
cover-up	kryť
cover-up	kamufláž
cover-up	zatajiť
coverage	krytie
coverage	kryt
coverage	mena
coverage	poistenie
coverage	pokrytie
coverage	rozsah
coverage	obhospodarovanie
coverage	dosah
coverage	pôsobenie
coverage	spravodajstvo
covered	skrýva
covered	zakrýva
covered	obálka
covered	krytý
covered	obalený
covered	pokrytý
covered	zahrnutý
covering	clona
covering	kryt
covering	pokrývka
covering	krytba
covering	zastrešenie
covering	prekrytie
covering	krytie
covering	pokrytie
covering	obkladanie
covering	povlečenie
covering	opláštenie
covering	obaľovanie
covering	povlak
covering	obal
covering	krytina
covering	povliekací
covering	obalový
covering	poťahový
coverlet	pokrývka
covert	maska
covert	pláštik
covert	úkryt
covert	húština
covert	podvedomý
covert	utajený
covert	skrytý
covert	krytý
covert	chránený
covert	ukrytý
covet	dychtiť
covet	túžiť
covet	žiadostiť
covetous	chtivý
covetous	chamtivý
covetous	žiadostivý
cow	desiť
cow	vydesiť
cow	podesiť
cow	krava
coward	zbabelý
coward	zbabelec
coward	bojko
coward	bojazlivý
cowardice	zbabelosť
cowardice	nestatočnosť
cowardice	strach
cowardly	zbabelý
cowardly	hanebný
cowboy	kovboj
cowboy	honec
cower	čupieť
cowl	kapucňa
cowl	kukla
cowl	kutňa
cowling	kryt
cowshed	chliev
cowshed	kravín
cowslip	prvosienka
coxcomb	chvastúň
coxcomb	frajer
coxcomb	fičúr
coxcomb	panák
coy	hanblivý
coy	nesmelý
coy	cudný
coy	utiahnutý
cozen	oklamať
cozen	podvádzať
cozen	podviesť
cozen	klamať
crab	krab
crabbed	mrzutý
crabbed	zamotaný
crack	rozbiť
crack	prasknúť
crack	rana
crack	trhlina
crack	praskať
crack	lusknúť
crack	puknúť
crack	výstrel
crack	prasklina
crack	trhlinka
crack	puklinový
crack	pukať
crack up	vychvaľovať
crack-up	havária
cracked	skrakelovaný
cracked	rozpaskaný
cracked	rozpaskaná
cracked	rozpaskané
cracked	skrakelovaná
cracked	skrakelované
cracked	krakovaný
cracked	popraskaný
cracked	popukaný
cracker	prskavka
cracker	luskáčik
cracker	suchár
cracker	keks
cracker	kreker
cracking	lúskanie
cracking	krakelúra
cracking	krakelatúra
cracking	prasklina
cracking	praskanie
cracking	krakovanie
cracking	opukávanie
cracking	krakovací
cracking	krakovaný
cracking	opukávací
