crude oil	ropa
cruel	krutý
cruel	krutá
cruel	kruté
cruel	menilosrdný
cruel	neľudský
cruel	bolestivý
cruelty	ukrutnosť
cruelty	krutosť
cruelty	neľudskosť
cruet	karafa
cruet	fľaša
cruise	križovať
cruiser	krížnik
cruiser	čln
cruiser	krížnikový
cruiser	cestovný
crumb	strúhanka
crumb	omrvinka
crumb	drvina
crumb	odrobinka
crumble	drobiť
crumble	ohýbať
crumpet	lievanec
crumple	miesiť
crumple	zmačkať
crumple	pokrčiť
crumple	zlomiť
crumple	zničiť
crumple	krčiť
crunch	spojiť
crunch	spracovať
crunch	ohraničiť
crunch	chrúpať
crunch	drviť
crunch	utriediť
crunch	chrumkanie
crunch	vržďanie
crusader	križiak
crush	mačkať
crush	drviť
crush	tlačenica
crush	rozmačkať
crush	rozdrviť
crush	rozdrvenie
crush	tlčenie
crush	drobenie
crush	drvenie
crush	nekrčivý
crush	búrať
crush	ničiť
crush	rozmliaždiť
crush	zdrviť
crush	zraziť
crush out	vytlačiť
crushed	drvený
crushed	rozdrvený
crushed	rozdrobený
crusher	drvič
crusher	dezintegrátor
crusher	drviaci
crusher	tlakomerný
crushing	drvenie
crushing	rozjazdenie
crushing	roztĺkanie
crushing	drviaci
crushing	valcový
crust	kôra
crust	kôrka
crust	začinený
crusty	kôrnatý
crusty	popudlivý
crutch	barla
crutch	podpera
crutch	opora
crux	problém
crux	rébus
cry	plakať
cry	vykríknuť
cry	pokrik
cry	volanie
cry	plač
cry	volať
cry	kričať
cry	krik
cry	rozhlasovať
cryogenic	kryogenický
cryogenic	kryogenická
cryogenic	kryogenické
cryogenic	kryogénny
cryogenic	nízkoteplotný
cryogenics	kryogenika
cryogenics	kryotechnika
cryolite	kryolit
cryoscope	kryoskop
cryostat	kryostat
crypt	krypta
crypt	hrobka
crypt	klenutie
cryptogram	kryptogram
cryptography	šifrovanie
crystal	krištáľový
crystal	kremeň
crystal	krištáľ
crystal	kryštál
crystal	kryštálový
crystal	kryštalický
crystal clear	priezračný
crystal clear	priezračná
crystal clear	priezračné
crystalline	krištáľový
crystalline	jasný
crystalline	priehľadný
crystalline	kryštalický
crystalline	kryštálový
crystallisation	kryštalizácia
crystallise	kryštalizovať
crystallite	kryštalit
crystallize	kryštalizovať
crystallize	vykryštalizovať
crystallizing	kryštalizácia
crystallizing	kryštalický
crystallizing	kryštalizačný
crystallographer	kryštalograf
crystallographer	kryštalograf
crystallography	kryštalografia
cub	mláďa
cub	líštička
cub	medvieďa
cub	levíča
cub	učeň
cub	fagan
cub	holobriadok
cube	trojmocnina
cube	kocka
cube	krychla
cube	kockový
cube	tretí
cubic	kubický
cubic	krychľový
cubic	kubicky
cubic	kubická
cubic	kubické
cubic	valec
cubic	objemový
cubic	kockový
cubicle	komora
cubicle	kabína
cubicle	skriňa
cubicle	procesor
cubicle	skriňový
cubism	kubizmus
cubist	kubistický
cubist	kubistická
cubist	kubistické
cubistic	kubistický
cubit	lakeť
cuboid	kváder
cuboid	hranol
cuckold	paroháč
cuckold	podviesť
cuckoo	kukučka
cucumber	uhorka
cud	žuvanec
cuddle	rozmaznávať
cuddle	hýčkať
cuddle	objímať
cuddle	láskať
cudgel	palica
cudgel	kyjak
cue	stopa
cue	tágo
cue	narážka
cue	podnet
cuff	manžeta
cuff	facka
cuff	zaucho
cuff	vylepiť
cuff	sfackať
cuirass	pancier
cuisine	kuchyňa
culinary	kuchársky
culinary	kuchynský
cull	trhať
cull	vybrať
cull	vyradiť
cull	prebrať
cull	odber
cull	odpad
cull	odberať
cull	triediť
cull	vyhľadávať
cullis	kulisa
culm	kulm
culminate	vrcholiť
culminate	kulminovať
culmination	vrcholenie
culmination	kulminácia
culmination	vrchol
culpability	trestnosť
