dachshund	jazvečík
dacite	dacit
dacoit	bandita
dacoit	zlodej
dactyl	daktyl
dactylic	daktylský
dad	otec
dad	otecko
dada	otecko
dada	dadaizmus
dadaism	dadaizmus
daddy	otec
daddy	otecko
daddy	koreň
daddy	veliteľ
dado	kocka
dado	doštenie
dado	drážkovať
dado	žliabkovať
daemon	démon
daffodil	narcis
daft	hlúpy
daft	zblbnutý
daft	sprostý
daftness	hlúposť
daftness	zhlúpnutie
daftness	bujnosť
daftness	rozpustilosť
dagger	dýka
daguerreotype	dagerotyp
daily	denník
daily	každodenný
daily	denne
daily	každodenne
daily	denný
daintiness	chutnosť
daintiness	lákavosť
daintiness	vábnosť
daintiness	ľúbeznosť
daintiness	elegancia
daintiness	vkusnosť
daintiness	vyberanosť
daintiness	zhýčkanosť
daintiness	rozmaznanosť
daintiness	chúlostivosť
dainty	pochúťka
dainty	jemný
dainty	roztomilý
dainty	vyberavý
dainty	lahodný
dainty	chutný
dainty	vyberaný
dainty	výberový
dainty	mľask
dainty	lahôdka
dainty	lákavý
dainty	vábny
dainty	ľúbezný
dainty	elegantný
dainty	delikátny
dainty	spôsobilý
dainty	zhýčkaný
dainty	rozmaznaný
dainty	chúlostivý
dainty	opatrný
dairy	mliekárstvo
dairy	mliekáreň
dairy	dojnica
dairy	mliečny
dairy	dojací
dairy	mliekársky
dairy cattle	dojnica
dairy farming	mliekárstvo
dairying	mliekárstvo
dairymaid	dojička
dais	stupienok
dais	pódium
daisy	stokráska
daisy	sedmokráska
daisy	skvostný
daisy	úžasný
Dalai Lama	dalajláma
dale	údolie
dale	úžľabina
dale	odtok
dalliance	flirtovanie
dalliance	koketovanie
dally	koketovať
dally	odkladať
dally	okúňať
dally	flirtovať
Dalmatian	dalmatínec
Dalmatian	dalmátsky
dam	prehradiť
dam	samica
dam	hrádza
dam	priehrada
dam	hať
dam	priehradka
dam	jamový
dam	prehradzovať
dam	zahradzovať
dam	vzduť
dam	zahatať
dam up	prehradiť
dam up	zahradiť
dam up	zatarasiť
dam up	potlačiť
damage	havária
damage	zničenie
damage	útrata
damage	cena
damage	poškodiť
damage	polámať
damage	postihnúť
damage	porucha
damage	škoda
damage	poškodenie
damage	strata
damage	odškodné
damaged	poškodený
damaged	poškodiť
damaged	skazený
damages	oškodené
damages	škoda
damages	odškodné
damages	odškodnenie
damaging	škodlivý
damaging	kompromitujúci
damascene	damaskovať
damascene	damascenský
damascene	damaský
damask	damask
damask	damašek
damask	pomaľovať
damask	damaškový
damask	damašková
damask	damaškové
damask	damaskový
dame	pani
dame	dievka
dame	dievča
dame	riaditeľka
dammar	damara
damn	zatratiť
damn	prekliať
damn	odsúdiť
damn	preklínať
damn	odmietnuť
damn	zničiť
damn	prostý
damn	totálny
damn	úplný
damn	sprostý
damn	prekliato
damn	pekelne
damn	zatratenie
damn	odmietnúť
damnable	zavržiteľný
damnable	zatratiteľný
damnable	prekliaty
damnable	odporný
damnable	ohavný
damnable	hnusný
damnation	odsúdenie
damnation	zamietnutie
damnation	prekliate
damnatory	zatracujúci
damnatory	odsudzujúci
damnatory	odmietajúci
damnatory	odmietavý
damned	zatratený
damned	prekliaty
damned	úplný
damned	celkový
damned	totálny
damned	prekliato
damned	hrozne
damned	zatratenci
damning	usvedčujúci
damning	preukazujúci
damp	vlhký
damp	vlhkosť
damp	navlhčiť
damp	mokrý
damp	vlhčiť
damp	tlmiť
damp	vlhko
damp	depresia
damp	skľúčenosť
damp	skľúčený
damp	sychravý
damp	navlhlý
damp	prevlhnutý
damp	navlhčený
damp	deprimovaný
damp	zadusiť
damp	utlmiť
damp	stlmiť
damp	podvádzať
