destroy	zruinovať
destroyed	zničený
destroyed	zrušený
destroyer	ničiteľ
destroyer	torpédoborec
destruction	deštrukcia
destruction	rozklad
destruction	rozpad
destruction	zničenie
destruction	záhuba
destruction	zánik
destruction	skaza
destructive	zhubný
destructive	deštruktívny
destructive	boriaci
destructive	ničivá
destructive	ničivé
destructive	deštrukčný
destructive	deštrukčná
destructive	deštrukčné
destructive	deštruktívna
destructive	deštruktívne
destructive	poškodenie
destructive	rozkladný
destructive	ničivý
destructive	ničiaci
desulphurize	odsíriť
desultory	nesystematický
desultory	prelietavý
desultory	povrchný
desultory	nesúvislý
detach	odpojiť
detach	oddeliť
detach	vyňať
detach	odoslať
detach	uvoľniť
detach	vztiahnuť
detach	vybrať
detach	oddeľovať
detach	oddeľovač
detach	rozpojiť
detachable	výmenný
detachable	odpojiteľný
detachable	oddeliteľný
detachable	odpojiteľná
detachable	odpojiteľné
detachable	výmenná
detachable	výmenné
detachable	snímateľný
detachable	odnímateľný
detachable	nesený
detached	oddelený
detached	objektívny
detached	detašovaný
detached	odškrtený
detached	odlúčený
detachment	odlúčenie
detachment	oddeľovanie
detachment	oddiel
detachment	oddelenie
detachment	objektivita
detachment	nezainteresovanosť
detail	detail
detail	dielec
detail	súčiastka
detail	podrobnosť
detail	súčasť
detail	detailný
detail	podrobný
detail	bodový
detail	položka
detail	jednotlivosť
detailed	podrobný
detailed	detailný
detailed	podrobná
detailed	podrobné
details	detaily
details	podklady
details	podrobne
detain	zdržať
detain	zadržať
detain	zatknúť
detain	odkladať
detain	oneskoriť
detain	zastaviť
detain	stiahnuť
detainment	zadržanie
detect	zistiť
detect	objaviť
detect	objavovať
detect	odkryť
detect	zisťovať
detect	detektovať
detect	odhaliť
detectable	detekovateľný
detectable	detekovateľná
detectable	detekovateľné
detecting	detekcia
detecting	demodulácia
detecting	detekčný
detection	zisťovanie
detection	vyhľadávanie
detection	zistenie
detection	detekcia
detection	hľadanie
detection	demodulácia
detection	postreh
detection	identifikačný
detection	objavenie
detection	odhalenie
detection	vypátranie
detection	vyšetrovanie
detective	detektív
detective story	detektívka
detector	demodulátor
detector	detektorový
detector	detektor
detent	blokovanie
detent	aretácia
detent	blokovať
detent	uzavrieť
detent	aretovať
detent	uzavretie
detent	zrážka
detent	západka
detent	zarážkový
detention	zabavenie
detention	držba
detention	vec
detention	zadržanie
detention	pozastavenie
deter	odstrašiť
deter	zabrániť
detergent	saponát
detergent	detergent
detergent	zmáčadlo
detergent	detergentný
detergent	prací
deteriorate	poškodzovať
deteriorate	znehodnocovať
deterioration	zničenie
deterioration	opotrebenie
deterioration	zhoršenie
deterioration	skazenie
deterioration	degenerácia
determent	odstrašenie
determent	zastrašenie
determinable	stanoviteľný
determinant	determinanta
determinant	determinant
determinate	determinant
determinate	rozhodovať
determinate	určitý
determinate	nemenný
determination	determinácia
determination	zistenie
determination	vymedzenie
determination	rozhodnutie
determination	vymedzovanie
determination	stanovovanie
determination	rozhodovanie
determination	určovanie
determination	zisťovanie
determination	určitosť
determination	zistený
determination	ukončenie
determination	určenie
determination	stanovenie
determine	určiť
determine	určovať
determine	stanoviť
determine	končiť
determine	stanovovať
determine	rozhodovať
determine	ustanoviť
determine	ustáliť
determine	vymedzovať
determine	vypočítať
determine	zisťovať
determine	rozhodnúť
determine	zistiť
determine	vyšetriť
determine	determinovať
determine	ukončiť
determine	vymedziť
determine	ohraničiť
determined	zistený
determined	rozhodný
determinism	determinizmus
deterministic	deterministický
deterrent	flegmatizátor
deterrent	odstrašenie
deterrent	zastrašovací
detonate	detonovať
detonation	detonácia
detonation	výbuch
detonation	detonačný
detonator	detonátor
detonator	palník
detour	obchádzka
