diagrammatical	grafický
dial	číselnica
dial	voliť
dial	voľba
dial	tanier
dial	počítadlo
dial	ukazovateľ
dial	číselníkový
dial	voliaci
dial	tanierový
dial	vytáčať
dial	číselník
dialect	nárečie
dialect	dialekt
dialectical	dialektický
dialectics	dialektika
dialog	dialóg
dialogue	dialógový
dialogue	dialógová
dialogue	dialógové
dialogue	rozhovor
dialysis	dialýza
dialysis machine	dialýza
dialyze	dialyzovať
dialyzer	dialyzátor
diamagnetic	diamagnetický
diamagnetism	diamagnetizmus
diameter	priemer
diameter	rovina
diameter	hrúbkový
diametral	priemerný
diametral	priemerná
diametral	priemerné
diametral	diametrálny
diametral	radiálny
diametric	protiľahlý
diametrical	protiľahlý
diamine	diamín
diamine	diamínový
diamond	diamant
diamond	diamantový
diamond	diamantová
diamond	diamantové
diamond	kosoštvorec
diamond	káro
diaphragm	membrána
diaphragm	diafragma
diaphragm	membránový
diaphragm	diafragmový
diarrhoea	hnačka
diary	zápisník
diary	diár
diary	denník
diatom	rozsievka
diatomaceous earth	kremelina
diatomic	dvojatómový
diatomite	diatomit
diazonium	diazóniový
dibble	sádzač
dibble	vysadzovač
dicarboxylic	dikarboxylový
dichloride	dvojchlorid
dichloride	chlorid
dichloromethane	dichlórmetán
dichotomous	dichotomický
dichroism	dichroizmus
dichromate	dvojchróman
dichromate	dichróman
dichromatic	dichromatický
dichromatic	dvojfarebný
dichromatic	dichromatická
dichromatic	dichromatické
dichromatism	dichromatizmus
dick	kokot
dicker	kšeft
dicker	zmluva
dicker	kšeftovať
dictate	diktovať
dictate	nadiktovať
dictate	predpisovať
dictate	predpísať
dictate	diktát
dictate	príkaz
dictate	ukladať
dictate	uložiť
dictate	nariadiť
dictated	prikazovať
dictation	predpisovanie
dictation	predpis
dictation	diktát
dictation	diktovanie
dictator	diktátor
diction	dikcia
dictionary	slovník
dictionary	adresár
dictum	vyhlásenie
dictum	poznámka
dictum	postreh
die	umierať
die	umrieť
die	odumierať
die	odumrieť
die	dychtiť
die	túžiť
die	spadnúť
die	matrica
die	matica
die	čip
die	ráznica
die	substrát
die	stojan
die	podstavec
die	dýza
die	forma
die	zápustka
die	lisovnica
die	hladkosť
die	okienko
die	patróna
die	závitový
die	lisovací
die	zápustkový
die	matricový
die	prievlakový
die	lisovať
die	razidlo
die	zomrieť
die off	vymrieť
die out	vymrieť
dielectric	elektrický
dielectric	dielektrická
dielectric	dielektrické
dielectric	nevodivý
dielectric	nevodivá
dielectric	nevodivé
dielectric	izolujúci
dielectric	izolujúca
dielectric	izolujúce
dielectric	dielektrikum
dielectric	dialektrický
diesel	dieselový
diesel	vznetový
diet	jedlo
diet	zhromaždenie
diet	výživa
diet	strava
diet	diéta
diet	snem
dietary	diétny
dietary	diéta
dietary	dietetický
differ	rozlíšiť
differ	nesúhlasiť
difference	rozdiel
difference	odlišnosť
difference	rozdielnosť
difference	diferencia
difference	nezhoda
difference	nejednotnosť
difference	nesúlad
difference	rozpor
difference	prírastok
difference	schodok
difference	rozdielový
difference	nesúhlas
difference	spor
difference	manko
different	rozdielny
different	odlišný
different	iný
different	rôzna
different	rôzne
different	rozdielna
different	rozdielne
different	iná
different	iné
different	rôzny
different	rozličný
differentiable	diferencovateľný
differential	diferenciálny
differential	diferenčný
differential	diferenciálna
differential	diferenciálne
differential	rozdielová
differential	rozdielové
differential	diferencia
differential	diferenciálový
differential	rozdielový
differential gear	diferenciál
differential gear	diferenciál
differentiate	rozlíšiť
differentiate	diferencovať
differentiate	derivovať
differentiate	odlišovať
differentiate	rozlišovať
differentiation	rozlišovanie
differentiation	odstupňovanie
differentiation	derivácia
differentiation	derivovanie
differentiation	diferencovanie
