differentiator	derivátor
difficult	náročný
difficult	ťažký
difficult	neľahký
difficult	svojhlavý
difficult	ťažká
difficult	ťažké
difficult	obtiažny
difficult	obtiažna
difficult	obtiažne
difficult	neľahká
difficult	neľahké
difficult	obťažný
difficult	obťažné
difficult	ťažko
difficult	neprístupný
difficulty	ťažkosť
difficulty	prekážka
difficulty	problém
difficulty	neľahkosť
difficulty	obtiažnosť
difficulty	komplikovanosť
diffidence	nedôvera
diffidence	ostýchavosť
diffident	ostýchavý
diffident	nedôverčivý
diffraction	ohyb
diffraction	difrakcia
diffraction	difrakčný
diffraction	ohybový
diffuse	vysielať
diffuse	splývať
diffuse	rozširovať
diffuse	rozptyľovať
diffuse	difundovať
diffuse	rozptylný
diffuse	rozptýlený
diffuse	difúzny
diffuse	rozpúšťať
diffuse	prelínať
diffuse	roztrúsený
diffuse	rozvláčny
diffuse	rozšíriť
diffuse	rozptýliť
diffuse	rozprášiť
diffused	rozptýlený
diffused	rozptýlená
diffused	rozptýlené
diffused	difúzny
diffused	difundovaný
diffuser	rozptyľovač
diffuser	difuzér
diffusion	difúzia
diffusion	šírenie
diffusion	rozptyl
diffusion	rozšírenie
diffusion	prelínanie
diffusion	difúzny
diffusion	rozptylný
diffusion	rozptylový
diffusive	difúzny
dig	drieť
dig	kopať
dig	vykopať
dig	ryť
dig	lopotiť
dig	dolovať
dig	zháňať
dig	pátrať
dig	pochopiť
dig	chápať
dig	rozumieť
dig	dobývať
dig up	porýľovať
digest	zhrnutie
digest	výber
digest	prehľad
digest	zhustenie
digest	tráviť
digest	zažívať
digest	skrátiť
digest	resumé
digest	zbierka
digest	príručka
digest	rukoväť
digest	zhrnúť
digest	výťah
digest	konspekt
digest	roztriediť
digestible	stráviteľný
digestion	trávenie
digestion	zažívanie
digestive	zažívací
digger	kopáč
digger	baník
digger	rýpadlo
digging	kopanie
digging	vŕtanie
digit	prst
digit	radový
digit	radová
digit	radové
digit	cifra
digit	číslica
digital	digitálny
digital	číslicový
digital	digitálna
digital	digitálne
digital	číslicová
digital	číslicové
digital	diskrétny
digital	nespojitý
digital	nespojitá
digital	nespojité
digitise	digitalizovať
digitizer	digitalizátor
digitoxin	digitoxín
dignified	dôstojný
dignify	povýšiť
dignify	poctiť
dignify	vyznamenať
dignitary	hodnostár
dignity	vznešenosť
dignity	dôstojnosť
dignity	hodnosť
dignity	titul
dignity	postavenie
digress	odbočiť
digression	odbočenie
digression	odbočka
digression	odchýlka
digs	podnájom
dike	hrádza
dike	priekopa
dike	násyp
dike	priehrada
dike	dajka
dilapidate	ošarpať
dilapidate	zvetrávať
dilapidated	zrútený
dilapidated	zrútená
dilapidated	zrútené
dilapidated	spustnutý
dilapidation	rozpad
dilatation	roztiahnutie
dilatation	dilatácia
dilatation	dilatačný
dilate	dilatovať
dilate	rozťahovať
dilate	rozširovať
dilatory	odkladný
dilemma	rozpaky
dilettante	diletant
dilettante	neodborník
diligence	usilovnosť
diligence	starostlivosť
diligence	pozornosť
diligence	bdelosť
diligent	usilovný
diligent	pilný
diligent	snaživý
diligent	starostlivý
diligent	aktívny
diligent	pracovitý
diligent	neúnavný
dill	kôpor
diluent	rozpúšťadlo
diluent	riedidlo
diluent	zrieďovadlo
dilute	zriediť
dilute	zmierniť
dilute	vyblednutá
dilute	riediť
dilute	zriedený
dilute	rozrieďovať
dilute	zrieďovať
dilute	zmierňovať
diluted	zriedený
diluted	rozriedený
dilution	roztok
dilution	rozriedenie
dilution	zrieďovanie
dilution	zrieďovací
dilution	zoslabenie
dilution	zriedenie
diluvial	diluviálny
diluvial	pleistocénny
dim	matný
dim	nejasný
dim	temný
dim	šerý
dim	kalný
dim	zakaliť
dim	zahmliť
dim	mätný
dim	prepínať
dim	stlmiť
dim	pritlmený
dim	prostoduchý
dimension	veličina
