distributed	rozptýlený
distribution	distribúcia
distribution	rozdelenie
distribution	rozvod
distribution	rozvoz
distribution	rozvrhnutie
distribution	rozloženie
distribution	roztriedenie
distribution	delenie
distribution	pridelenie
distribution	rozvádzanie
distribution	rozmetávanie
distribution	rozšírenie
distribution	rozmetanie
distribution	distribuovaný
distribution	rozvádzací
distribution	rozvodný
distribution	rozdeľovací
distribution	triediaci
distribution	rozmetací
distribution	ovládací
distribution	odbočný
distribution	rozdeľovanie
distribution list	rozdeľovník
distributive	rozdeľovací
distributive	distributívny
distributive	rozdeľujúci
distributive	distribučný
distributor	rozdeľovač
distributor	rozvádzač
distributor	dispečer
distributor	rozvod
distributor	rozstrekovač
distributor	odbočnica
distributor	roztierací
distributor	rozmetný
distributor	distribútor
distributor	veľkoobchodník
district	obvod
district	okresný
district	okresná
district	okresné
district	kraj
district	oblasť
district	okres
distrust	nedôvera
distrust	nedôverovať
disturb	vyrušovať
disturb	vzrušiť
disturb	rozčúliť
disturb	zmiasť
disturb	znepokojiť
disturb	rozrušiť
disturb	rušiť
disturb	narušiť
disturb	porušiť
disturbance	rozrušenie
disturbance	zmätok
disturbance	povstanie
disturbance	nepokoj
disturbance	výtržnosť
disturbance	odelenec
disturbance	poruchový
disturbance	rušenie
disturbance	porucha
disturbed	rušený
disturbed	porušený
disturbed	excitovaný
ditch	priekopa
ditch	jarok
ditch	stoka
ditch	kanál
ditch	zákop
ditch	jama
ditch	vykopať
ditch	vyhĺbiť
ditch	odhodiť
ditch	ukryť
dithering	zrnenie
dive	krčma
dive	zaboriť
dive	spadnúť
dive	dať
diver	potápač
diverge	divergovať
diverge	rozbiehavosť
divergence	odchýlka
divergence	nesúhlas
divergence	divergencia
divergence	rozbiehavosť
divergence	úchylka
divergent	divergentný
diverging lens	rozptylka
divers	rozmanitý
divers	rôzny
diverse	rôzny
diverse	rozličný
diverse	rozdielny
diverse	rozmanitý
diversification	striedanie
diversify	striedať
diversify	obmeňovať
diversify	obmeniť
diversify	spestriť
diversify	oživiť
diversify	rozdeliť
diversion	odbočenie
diversion	odchýlenie
diversion	deľba
diversion	rozptýlenie
diversion	vyrušenie
diversion	zábava
diversion	odvrátenie
diversion	odklonenie
diversion	obchádzka
diversion	zneužitie
diversion	sprenevera
diversity	rôznosť
diversity	rozmanitosť
divert	odviesť
divert	baviť
divert	rozptýliť
divert	odkloniť
divert	odchýliť
divert	odvrátiť
divert	spreneveriť
divide	deliť
divide	rozdeľovať
divide	delenie
divide	vydelenie
divide	oddeliť
divide	oddeľovať
divide	rozdeliť
divide	hlasovať
divided	rozdelený
divided	delený
dividend	dividenda
dividend	delenec
dividend	bonifikácia
divider	delička
divider	delič
dividing	rozdeľovanie
dividing	delenie
dividing	rozdelenie
dividing line	rozhranie
divine	duchovný
divine	božský
divine	veštiť
divine	hádať
divine	tušiť
divine	predvídať
divine	boží
divine	páter
divine service	bohoslužba
divisibility	deliteľnosť
divisible	deliteľný
division	úsek
division	diel
division	odbor
division	okres
division	rozdeľovanie
division	oddiel
division	priehrada
division	členenie
division	obvod
division	dielik
division	klad
division	nomenklatúra
division	deliaci
division	odborový
division	delenie
division	divízia
division	oddelenie
division	rozdelenie
division	deľba
division	hlasovanie
division	členitosť
divisor	deliteľ
divisor	divízor
divorce	rozsobášiť
divorce	odtrhnúť
divorce	rozvedený
divorce	rozvedená
divorce	rozvedené
divorce	rozvod
divorce	rozpor
divorce	rozviesť
divorce	vzdialiť
divorce	odlúčiť
divorced	rozvedený
divulge	prezradiť
divulge	rozhlásiť
divulge	vyzradiť
dizziness	závrat
dizzy	závratný
do	činiť
do	konať
do	robiť
do	urobiť
do	stačiť
