eligible	obsadzovaný
eliminate	eliminovať
eliminate	odstrániť
eliminate	vylúčiť
eliminate	vypustiť
eliminate	vynechať
eliminate	ignorovať
eliminate	vyradiť
elimination	odstránenie
elimination	potlačenie
elimination	vypustenie
elimination	eliminácia
elimination	vylučovanie
elimination	potlačovanie
elimination	vylúčenie
elimination	zamietnutie
eliminator	eliminátor
eliminator	eliminátorový
elite	elita
Elizabethan	alžbetínsky
elk	los
ell	lakeť
ellipse	elipsa
ellipse	výpustka
ellipsis	elipsa
ellipsis	vypustenie
ellipsoid	elipsoid
ellipsoidal	elipsoidický
ellipsoidal	elipsoidový
ellipsoidal	eliptický
elliptic	eliptická
elliptic	eliptické
elliptic	eliptický
elliptical	eliptický
elliptical	eliptická
elliptical	eliptické
elliptical	elipsovitý
elliptical	elipsovitá
elliptical	elipsovité
ellipticity	elipticita
elm	brest
elocution	prednes
elocution	deklamácia
elocutionary	rečnícky
elongate	predĺžiť
elongate	roztiahnuť
elongate	predlžovať
elongate	preťahovať
elongate	rozťahovať
elongated	pretihnutý
elongated	pretihnutá
elongated	pretihnuté
elongated	predĺžený
elongated	pretiahnutý
elongation	predĺženie
elongation	pokračovanie
elongation	výchylka
elongation	elongácia
elongation	ťažnosť
elope	utiecť
elopement	útek
elopement	únos
eloquence	výrečnosť
eloquent	výstižný
else	iný
else	inak
else	inde
else	inam
else	inokedy
else	síce
else	ešte
else	navyše
elsewhere	inde
elsewhere	inam
eluate	eluát
elucidate	vysvetliť
elucidate	objasniť
elucidation	objasnenie
elucidation	vysvetlenie
elucidation	vysvetlivka
elude	uniknúť
elude	vytočiť
elude	vykrútiť
elude	obísť
elusion	únik
elusion	klam
elusion	pasca
elusion	výhovorka
elusive	unikajúci
elusive	prchavý
elusive	vyhýbavý
elution	eluovanie
elution	elúcia
elution	elučný
emaciate	vyčerpať
emaciate	vyhladovieť
emaciated	vyziabnutý
emaciated	vychudnutý
emaciation	vychudnutosť
emaciation	vyčerpanosť
emanate	vyžarovať
emanate	prúdiť
emanate	vychádzať
emanation	prúdenie
emanation	vyžarovanie
emanation	emanácia
emanation	emanačný
emancipate	emancipovať
emancipation	emancipácia
emancipation	oslobodenie
emasculate	vyklieštený
emasculate	zženštilý
emasculation	vyklieštenie
emasculation	vysilenie
emasculation	skomolenie
embalm	balzamovať
embankment	hrádza
embankment	nábrežie
embankment	násyp
embankment	val
embargo	embargo
embargo	zakazovať
embargo	zadržiavať
embargo	skonfiškovať
embark	nalodenie
embarkation	nalodenie
embarkation	zahájenie
embarkation	naloďovanie
embarkation	naloženie
embarrass	zmiasť
embarrass	prekážať
embarrass	sťažiť
embarrass	zapliesť
embarrass	skomplikovať
embarrassed	zadĺžený
embarrassing	trápny
embarrassment	rozpaky
embarrassment	ťažkosti
embassy	veľvyslanectvo
embed	vsadiť
embed	ukladať
embed	zapustiť
embed	vkladať
embed	vložiť
embed	osadiť
embed	vnoriť
embedded	uložený
embedded	zapustený
embedded	vložený
embedded	vsadený
embedded	vložená
embedded	vložené
embedded	vsadená
embedded	vsadené
embedded	zapustená
embedded	zapustené
embedded	zaliaty
embedded	ponorený
embellish	okrášliť
embellish	vyzdobiť
embellish	prikrášliť
embellish	skrášľovať
embellishment	výzdoba
embellishment	okrasa
embellishment	príkrasa
embellishment	prikrášliť
embezzle	spreneveriť
embezzle	defraudovať
embezzlement	sprenevera
embezzler	defraudant
embitter	roztrpčiť
embitter	rozhorčiť
embitter	zhoršiť
embitterment	rozhorčenie
emblazon	ozdobiť
emblazon	vychaľovať
emblazon	vyzdobiť
emblem	znak
emblem	symbol
emblem	odznak
emblematic	obrazný
emblematic	symbolický
embodiment	stelesnenie
embody	stelesniť
embody	obsahovať
embody	zahrňovať
embody	inkarnát
embody	vyjadriť
embody	včleniť
emboss	vytepať
emboss	vyraziť
emboss	vytlačiť
emboss	vytláčať
embossed	tepaný
embossed	tepaná
embossed	tepané
embossed	vytlačený
embossed	vytlačená
embossed	vytlačené
embossed	reliéfny
