enter	uzatvoriť
entering	zápis
entering	zapísanie
enterokinase	enterokináza
enterotoxin	enterotoxín
enterprise	závod
enterprise	odvaha
enterprise	podnikateľský
enterprise	podnikavosť
enterprise	podnikavý
enterprise	podnik
enterprise	podnikanie
enterprising	priebojný
enterprising	podnikanie
enterprising	podnikavý
enterprising	iniciatívny
entertain	baviť
entertain	hostiť
entertain	udržovať
entertain	zvážiť
entertainer	hlásateľ
entertainer	konferencier
entertainer	komik
entertaining	zábavný
entertainment	pohostenie
entertainment	zábava
entertainment	pobavenie
enthalpy	entalpia
enthusiasm	nadšenie
enthusiastic	nadšený
entice	vylákať
entire	úplný
entire	všetok
entire	celá
entire	celé
entire	úplná
entire	úplné
entire	kompletný
entire	úhrnný
entire	celistvý
entire	celý
entire	nezmiešaný
entirely	úplne
entirely	celkom
entirely	naprosto
entirety	úplnosť
entirety	celistvosť
entitle	nazvať
entitle	oprávniť
entitle	titulovať
entitled	nazývaný
entitled	nazývaná
entitled	nazývané
entitled	oprávnený
entitlement	nárok
entity	podstata
entity	jednotka
entity	celok
entity	bytosť
entity	bytie
entity	teleso
entity	objekt
entity	existencia
entity	predmet
entity	entita
entrails	vnútornosti
entrails	útroby
entrance	prístup
entrance	vchod
entrance	vstupný
entrance	dvere
entrance	vstupná
entrance	vstupné
entrance	foyer
entrance	vstup
entrance	vjazd
entrance	nastúpenie
entrance fee	zápisné
entrance money	vstupné
entrance money	zápisné
entrap	chytať
entrapment	podvod
entreat	prosiť
entreat	zaprisahať
entreaty	prosba
entreaty	žiadosť
entreaty	prosebný
entrench	zabarikádovať
entrench	zakotviť
entrench	utvrdiť
entrepot	skladisko
entrepreneur	podnikateľ
entropy	entropia
entropy	entrópia
entrust	poveriť
entrust	poverovať
entrust	zverovať
entrust	zveriť
entry	záznam
entry	položka
entry	prístupový
entry	prístupová
entry	prístupové
entry	vstupná
entry	vstupné
entry	vloženie
entry	prívod
entry	zavádzanie
entry	vjazd
entry	vstup
entry	prístup
entry	zaznamenanie
entry	zápis
entry	zaknihovanie
entry	heslo
entry	údaj
entry	zaradenie
entry	vstupný
entry	vchod
entry	blok
enucleate	vyzrňovať
enucleate	vylupovať
enumerable	vypočítateľný
enumerable	sčítateľný
enumerable	spočítateľný
enumerate	vypočítať
enumerate	vymenovať
enumerate	vypočítavať
enumeration	výpočet
enumeration	vymenovanie
enumeration	vyčíslenie
enunciate	vyhlásiť
enunciate	formulovať
enunciation	výrok
enunciation	výpoveď
enunciation	vyhlásenie
enunciation	výslovnosť
envelop	zabaliť
envelop	obklopiť
envelop	ovinovať
envelop	obaľovať
envelop	obklopovať
envelop	zabaľovať
envelope	obálka
envelope	obal
envelope	obalenie
envelope	povlak
envelope	plášť
envelope	skupinový
envelopment	obal
envelopment	obalenie
envelopment	obchvat
envelopment	zabalenie
envelopment	ovinutie
enviable	závideniahodný
envious	závistlivý
envious	závistlivá
envious	závistlivé
environ	obklopiť
environment	zariadenie
environment	obkľúčenie
environment	prostredie
environment	okolie
environment	ovzdušie
environmental	okolitý
environmental	okrajový
environmental	okolný
environmental	prostredie
environmental	environmentálny
environmentalism	ekológia
environs	okolie
environs	prostredie
envisage	čeliť
envoy	vyslanec
envoy	posol
envoy	zástupca
envoy	splnomocnenec
envy	závisť
envy	závidieť
enwrap	obaliť
enwrap	zabaliť
enzymatic	enzymatický
enzyme	enzým
enzyme	enzýmový
enzyme	enzymatický
epaulet	epoleta
epaulette	epoleta
ephedrine	efedrín
epicycle	epicyklus
epicyclic	epicykloidný
epicyclic	planétový
epicycloid	epicykloida
epidemic	epidémia
epidemic	nákazlivý
epidiascope	epidiaskop
epigenesis	epigenéza
epigone	epigón
epigraphy	epigrafika
epilepsy	padúcnica
epilogue	epilóg
