fondle	hýčkať
fondness	nežnosť
fondness	láskavosť
fondness	záľuba
fondness	nerozum
fondness	ľahkovernosť
fondness	roznežnenosť
fondness	sentimentalita
font	kropenička
font	krstiteľnica
font	prameň
font	žriedlo
font	pôvod
font	zdroj
font	font
font	dutina
food	jedlo
food	strava
food	pokrm
food	potrava
food	krmivo
food	výživa
food	potravina
food	potravinový
food	potravinársky
food	výživný
fool	hlupák
fool	pochábeľ
fool	blázon
fool	šašo
fool	žartovať
fool	ošudiť
fool	blázniť
fool	idiot
fool	debil
fool	otrava
fool	oklamať
fool	napáliť
fool	podviesť
fool	prekvapiť
foolish	hlúpy
foolish	bláznivý
foolish	pochabý
foolish	nerozumný
foolish	smiešny
foolish	komický
foolish	zbláznený
foolish	pobláznený
foolishness	bláznovstvo
foolproof	jednoduchý
foolproof	prostý
foolproof	spoľahlivý
foot	chodidlo
foot	noha
foot	úpätie
foot	pechota
foot	spodok
foot	koniec
foot	krok
foot	chôdza
foot	päta
foot	pätka
foot	základ
foot	podklad
foot	podložie
foot	priesečník
foot	ísť
foot	kráčať
foot	zaplatiť
foot	uhradiť
foot	nakopnúť
foot	kopnúť
foot	zatancovať
foot	šliapať
foot	stopa
foot pedal	pedál
football	futbal
football	lopta
footballer	futbalista
footboard	schodík
footing	opora
footing	základ
footing	základňa
footing	podklad
footing	vzťah
footing	pomer
footing	pozícia
footing	súčet
footing	päta
footing	pätka
footing	zemný
footing	postavenie
footman	lokaj
footman	pešiak
footmark	stupaj
footmark	stopa
footpath	chodník
footprint	stopa
footprint	stupaj
footprint	pôdorys
footstep	krok
footstep	šľapaj
footstep	schod
footwall	podložie
for	pre
for	pretože
for	za
for	na
for	počas
for	proti
for	lebo
for	hoci
for	alebo
for	spravodlivosť
for certain	určite
for certain	iste
for example	napríklad
for good	navždy
for good	celkom
for good	nadobro
for instance	napríklad
for keeps	navždy
for keeps	úplne
for keeps	celkom
for the moment	zatiaľ
for the most part	väčšinou
for the most part	hlavne
for the most part	zvyčajne
for the most part	obvykle
for the time being	zatiaľ
forage	krmivo
foraminifer	dierkovec
forbear	zanechať
forbearance	trpezlivosť
forbearance	prepáčenie
forbearance	opomenutie
forbid	zakázať
forbidden	neprístupný
forbidden	zakázaný
forbidden	zakázané
forbidden	zakazaný
forbidden	zakazaná
forbidden	zakazané
forbidding	odpudivý
forbidding	odmietavý
force	úsilie
force	vplyv
force	moc
force	prinútiť
force	nútiť
force	vodopád
force	tlak
force	tiaž
force	oddiel
force	jednotka
force	zmysel
force	donútiť
force	vnútiť
force	vnucovať
force	vyraziť
force	otvoriť
force	vypáčiť
force	hnať
force	vháňať
force	pritlačiť
force	zintenzívniť
force	popohnať
force	urýchliť
force	zrýchliť
force	znásilniť
force	preťažovať
force	zasahovať
force	tvárnik
force	zasahovanie
force	zásah
force	útvar
force	demontážny
force	silový
force	pôsobiť
force	sila
force	násilie
force	donútenie
force	obmedzenie
force	pôsobnosť
force	platnosť
force	zbor
force	dôraz
force	účinnosť
forced	neprirodzený
forced	rýchly
forced	umelý
forced	násilný
forced	násilná
forced	násilné
forced	vynútený
forced	nedobrovoľný
forced	núdzový
forced	nútený
forced	povinný
forceful	mocný
