furfuran	furánový
furious	zúrivý
furious	divý
furious	rozzúrený
furl	zvinúť
furl	stiahnuť
furlough	dovolenka
furlough	priepustka
furnace	pec
furnace	ohnisko
furnace	pecový
furnish	opatriť
furnish	zaslať
furnish	dávať
furnish	dodávať
furnish	opatrovať
furnish	prinášať
furnish	udať
furnish	vybavovať
furnish	zariaďovať
furnish	zasielať
furnish	zaradiť
furnish	dodať
furnish	vybaviť
furnish	zariadiť
furnish	poskytnúť
furnished	opatrený
furnished	vybavený
furnished	zaslaný
furnishing	vybavenie
furnishing	zariadenie
furnishing	zariaďovanie
furniture	nábytok
furniture	zariadenie
furniture	nábytkový
furniture	nábytkársky
furniture	výplnkový
furniture	vybavenie
furred	potiahnutý
furrier	kožušník
furring	obklad
furring	obloženie
furring	vymurovka
furrow	brázda
furrow	ryha
furrow	vráska
furrow	žľab
furrow	trog
furrow	brázdový
furry	chlpatý
further	ďalej
further	ďalší
further	vzdialenejší
further	podporovať
further	onen
further	ďalšie
further	bližší
furtherance	podpora
furtherance	pomoc
furthermore	navyše
furthermost	najdlhší
furthermost	najvzdialenejší
furthest	najvzdialenejší
furthest	najďalej
furthest	naďalej
furthest	najviac
furtive	kradmý
furtive	tajný
furtive	tajne
furtive	kradmo
furtive	skryto
fury	zúrivosť
fury	zbesilosť
fury	fúria
fuse	zlúčiť
fuse	zapaľovač
fuse	poistka
fuse	rozbuška
fuse	poistka
fuse	poistkový
fuse	spojiť
fuse	splynúť
fused	vytavený
fused	zatavený
fused	odpojovací
fusible	taviteľný
fusible	tečúci
fusion	fúzia
fusion	tavenie
fusion	roztok
fusion	splynutie
fusion	výtavný
fusion	polyfúzny
fuss	krik
fussiness	hašterivosť
fusty	plesnivý
futile	márny
futile	zbytočný
futile	nepatrný
futility	ničotnosť
futility	bezvýslednosť
futility	márnosť
futility	zbytočnosť
futility	neúčinnosť
future	budúcnosť
future	nabudúce
future	ďalší
future	termínový
future	budúci
futurism	futurizmus
G-man	policajt
G.I.	vojenský
GP	univerzálny
gab	táranie
gab	huba
gab	tlachať
gab	špiciak
gabardine	gabardén
gabardine	kaftan
gabble	tárať
gabble	breptanie
gabble	hovoriť
gabby	utáraný
gabfest	beseda
gabfest	informácia
gable	štítový
gabled	štítový
gabled	štítová
gabled	štítové
gad	prepánakráľa
gad	dláto
gad	kmitať
gadabout	prelietavec
gadabout	vetroplach
gadabout	tulák
gadabout	túlavý
gadfly	ovad
gadget	strojček
gadget	prístroj
gadget	úskok
gadget	finta
gadget	súčiastka
gadget	vymyslenosť
gadget	vynález
gadget	aparát
gadget	trik
gadgeteer	vynálezca
gadgetry	mechanizmy
gadgetry	prístroje
gadgetry	aparáty
gadgetry	vynálezy
gadgetry	triky
gadoid	treskovitý
gadolinium	gadolínium
Gaelic	gaelština
Gaelic	gaelský
gaff	tančiareň
gaff	harpúna
gaff	oštep
gaff	trik
gaff	opotrebovanie
gaff	podviesť
gaff	sfalšovať
gaff	zašvindľovať
gaff	nezmysel
gaff	sprostosť
gaff	zapadák
gaff	bordel
gaffer	predák
gaffer	kritika
gaffer	majster
gaffer	vedúci
gaffer	dozorca
gaffer	šéf
gag	vtip
gag	podviesť
gag	zvracať
gag	podvod
gag	lož
gag	trik
gag	umlčať
gaga	senilný
gaga	nasprostlý
gaga	pobláznený
gaga	pomätený
gage	záloh
gage	záruka
gage	výzva
gage	záruba
gage	kaliber
gage	sľúbiť
gage	stávka
gage	stávkovať
gage	záloha
gaggle	kŕdeľ
gaggle	húf
gaggle	kýchať
gaggle	švitoriť
gaggle	gágať
gaiety	veselosť
