gene	vrod
genealogical	rodopisný
genealogist	genealóg
genealogy	genealógia
general	univerzálny
general	celkový
general	obyčajný
general	generál
general	generálsky
general	stratég
general	taktik
general	obyčajnosť
general	všeobecnosť
general	obyčajne
general	obecne
general	všeobecne
general	všeobecná
general	všeobecné
general	hlavná
general	hlavné
general	celková
general	celkové
general	všeobecný
general	hlavný
general	ústredný
general	otvorený
general	neohraničený
general	obecný
general	valný
general	plenárny
general	generálny
general	široký
general delivery	doporučene
general-purpose	univerzálny
general-purpose	mnohoúčelový
generality	všeobecnosť
generality	zákon
generality	väčšina
generality	neurčitosť
generality	nejasnosť
generality	aplikovateľnosť
generality	obecnosť
generalization	zovšeobecnenie
generalization	generalizácia
generalization	zovšeobecňovanie
generalize	zovšeobecňovať
generalize	generalizovať
generalize	popularizovať
generalize	zovšeobecniť
generalize	sprístupniť
generalized	generalizovaný
generalized	zovšeobecnený
generalized	schematický
generally	obvykle
generally	obyčajne
generally	spravidla
generally	väčšinou
generally	obecne
generally	všeobecne
generally	celkove
generalship	stratégia
generalship	diplomacia
generate	vytvárať
generate	generovať
generate	generuj
generate	vytvor
generate	tvoriť
generate	vyrobiť
generate	vyvíjať
generate	výtvor
generation	výroba
generation	generovanie
generation	vytvorenie
generation	tvorba
generation	tvorenie
generation	vytváranie
generation	vznik
generation	generácia
generation	pokolenie
generation	vyvíjanie
generation	generácia
generation	pokolenie
generational	generačný
generative	plodiaci
generative	plodný
generator	zdroj
generator	ploditeľ
generator	generátor
generator	pôvodca
generator	dynamo
generator	varník
generator	generátorový
generic	nechránený
generic	rodový
generic	spoločný
generic	generický
generic	druhový
generic	všeobecný
generosity	ušľachtilosť
generosity	štedrosť
generosity	veľkomyseľnosť
generosity	šľachetnosť
generous	štedrý
generous	ušľachtilý
generous	úrodný
generous	hojný
generous	veľkomyseľný
generous	veľkorysý
generous	šľachetný
generous	prekypujúci
generous	bujný
generous	výhodný
generous	vyzretý
generous	sýty
generous	ušľachtilá
generous	ušľachtilé
Genesis	genéza
genesis	zrod
genesis	vznik
genesis	pôvod
genesis	genéza
genet	ženeta
genetic	genetický
genetic	vývojový
geneticist	genetik
genetics	genetika
Geneva	ženevský
Geneva	maltézsky
geneva	borovička
Geneva gown	talár
Genevan	ženevský
Genevan	kalvínsky
Genevan	kalvinista
Genevan	kalvinistický
genial	žoviálny
genial	veselý
genial	spoločenský
genial	mierny
genial	teplý
genial	bradový
genial	bodrý
genial	blahodarný
genial	geniálny
genial	manželský
genial	svadobný
geniality	bodrosť
geniality	srdečnosť
geniality	žoviálnosť
geniality	blahodarnosť
geniality	miernosť
genic	génový
genic	genetický
geniculate	uzlovitý
genitals	genitálie
genitive	genitív
genitive	genitívny
genitive case	genitív
genitor	sploditeľ
genitor	otec
genius	nadanie
genius	génius
genius	genialita
genius	geniálnosť
genius	talent
genius	schopnosti
genius	duch
genius	démon
genius	škriatok
genocide	genocídium
genocide	genocída
Genoese	janovský
genotype	genotyp
genre	žáner
genre	žánrový
genre	žánrová
genre	žánrové
gens	rod
gent	pán
gent	holič
genteel	jemný
genteel	elegantný
genteel	prepiaty
genteel	nóbl
genteel	snobský
genteel	afektovaný
genteel	puritánsky
genteel	viktoriánsky
genteelness	prepiatosť
genteelness	afektovanosť
genteelness	snobstvo
genteelness	puritánstvo
genteelness	vznešenosť
genteelness	elegancia
gentian	encián
gentile	pohan
gentile	pohanský
gentile	nežidovský
gentile	kresťanský
gentile	nemormónsky
gentile	národný
