good	úrodný
good deal	hodne
good deal	veľa
good deal	značne
good looks	krása
good looks	pôvab
good luck	úspech
good luck	šťastie
good turn	odplata
good turn	láskavosť
good-bye	zbohom
good-for-nothing	darmošľap
good-for-nothing	darmožráč
good-for-nothing	nepotrebný
good-for-nothing	zbytočný
good-for-nothing	naničhodník
good-humoured	dobromyseľný
good-looking	pekný
good-looking	vzhľadný
good-natured	dobrosrdečný
good-natured	dobromyseľný
goodbye	zbohom
goodly	pekný
goodly	slušný
goodly	značný
goodness	dobrota
goodness	láskavosť
goodwill	priazeň
goodwill	povesť
goodwill	zákazníctvo
goodwill	klientela
goodwill	zákazníci
goodwill	náklonnosť
goodwill	ochota
goody	bonbón
goody	tetka
goody	kmotra
goon	hulvát
goon	bitkár
goon	hrdlorez
goon	hňup
goon	ťulpas
goose	hlupák
goose	hus
gooseberry	egreš
gore	krv
gore	klin
gore	dvojuholník
gorge	hrdlo
gorge	roklina
gorge	úžina
gorge	žliabok
gorgeous	nádherný
gorgeous	oslnivý
gorgerin	hyptotrachélión
gorgerin	hypotrachélion
gorilla	gorila
gospel	evanjelium
gossip	reči
gossip	klebetiť
gossip	klebetnica
gossip	povedačky
gossip	klebety
Gothic	gotika
Gothic	gotická
Gothic	gotické
Gothic	gotický
Gothic	gótština
Gothic	retiazkový
gouache	gvaš
gouache	gvašový
gouache	gvašová
gouache	gvašové
gouge	podvod
gouge	krádež
gouge	podvodník
gouge	drážka
gouge	ryha
gouge	vydieranie
gouge	vydierať
goulash	guláš
gourd	tekvica
gourd	dyňa
gout	lámka
gout	kvapka
gout	kropaj
gout	pakostnica
govern	panovať
govern	regulovať
govern	spravovať
govern	riadiť
govern	ovládať
govern	vládnuť
govern	upravovať
governance	vláda
governance	kontrola
governance	dozor
governance	vládnutie
governess	vychovávateľka
governing	regulácia
governing	riadenie
governing	ovládanie
governing	nadriadený
government	vláda
government	panovanie
government	správa
government	vládny
government	vládnutie
government	štát
government department	rezort
government department	ministerstvo
governmental	vládny
governmental	mocenský
governor	vladár
governor	riaditeľ
governor	správca
governor	regulátor
governor	šéf
governor	miestodržiteľ
governor	guvernér
gown	talár
gown	župan
gown	rúcho
grab	uchopenie
grab	uchmatnúť
grab	zhrabnutie
grab	vyfúknutie
grab	drapák
grab	drapákový
grab	uchopiť
grace	pôvab
grace	milosť
grace	ľúbeznosť
grace	láskavosť
grace	pocta
grace	odpustenie
grace	požehnanie
grace	priazeň
grace	ozdoba
grace	grácia
grace	šarm
grace	ztepilosť
grace	odklad
graceful	pôvabný
graceful	uhladený
graceful	vybraný
graceful	elegantný
graceful	ztepilý
graceful	elegantná
graceful	elegantné
graceful	ztepilá
graceful	ztepilé
gracefulness	pôvab
gracefulness	vnada
gracefulness	ladnosť
graceless	nepôvabný
graceless	nerestný
graceless	skazený
graceless	bezbožný
gracious	milostivý
gracious	pôvabný
gracious	dobrotivý
graciousness	milosť
graciousness	pôvab
gradate	odstupňovať
gradation	stupňovanie
grade	kvalita
grade	akosť
grade	trieda
grade	hodnosť
grade	druh
grade	odstupňovať
grade	triediť
grade	postavenie
grade	svah
grade	stupeň
grade	sklon
grade	grád
grade	akostný
grade	nivelovať
grade	profilovať
grade	stupňovať
grade	známkovať
grade	nivelizovať
grade	vyrovnávať
graded	odstupňovaný
graded	triedený
graded	klasifikovaný
graded	gradačný
graded	stupňový
graded	stupňovaný
grader	grejder
grader	triedič
grader	zrovnávač
grader	triedička
gradient	gradient
gradient	svah
gradient	vzostup
gradient	sklon
gradient	spád
