hapless	samotársky
happen	náhodou
happening	dianie
happening	udalosť
happening	príhoda
happily	šťastne
happily	šťastlivo
happiness	šťastie
happy	šťastný
happy	vhodný
happy	štastný
happy	štastná
happy	štastné
harangue	preslov
harangue	reč
harangue	rečniť
harass	sužovať
harass	týrať
harass	trápiť
harass	súžiť
harass	obťažovať
harassment	znepokojovanie
harassment	týranie
harassment	sužovanie
harassment	obťažovanie
harbinger	hlásateľ
harbinger	predzvesť
harbinger	ohlasovať
harbinger	posol
harbinger	zvestovateľ
harbor	prístav
harbor	chrániť
harbor	ukrývať
harbour	prístav
harbour	prechovávať
harbour	prístrešie
harbour	útočisko
harbourage	prístavisko
harbourage	útulok
harbourage	prístrešie
hard	pevný
hard	tvrdo
hard	usilovne
hard	ťažko
hard	namáhavý
hard	prísny
hard	krutý
hard	namáhavo
hard	tvrdá
hard	tvrdé
hard	obťažný
hard	ostro
hard	silno
hard	pevne
hard	tuhý
hard	prenikavý
hard	drsný
hard	nútený
hard	prudký
hard	návykový
hard	nepoddajný
hard	nepalatalizovaný
hard	tvrdý
hard	ťažký
hard	usilovný
hard	silný
hard	zložitý
hard	náročný
hard to please	vyberavý
hard-boiled	nesentimentálny
hard-boiled	cynický
hard-boiled	bezcitný
hard-pressed	deprimovaný
hardcore	dužina
hardcore	jadro
harden	stvrdnúť
harden	spevňovať
harden	stužiť
harden	tvrdnúť
harden	tuhnúť
harden	vytvrdzovať
harden	spevniť
harden	upevniť
harden	stabilizovať
hardened	kalený
hardened	zakalený
hardened	vytvrdený
hardened	stvrdnutý
hardening	spevnenie
hardening	kalenie
hardening	zakalenie
hardening	tvrdenie
hardening	tvrdnutie
hardening	vytvrdzovanie
hardening	tuhnúci
hardening	kaliaci
hardening	kaliteľný
hardihood	smelosť
hardihood	drzosť
hardihood	neohrozenosť
hardly	tvrdo
hardly	kruto
hardly	nerád
hardly	ledva
hardly	sotva
hardly	ťažko
hardness	tvrdosť
hardness	odolnosť
hardpan	ortštajn
hardpan	železniak
hardship	tvrdosť
hardship	strádanie
hardship	ťažkosti
hardship	nedostatok
hardship	útrapy
hardship	protivenstvo
hardship	bieda
hardware	hardver
hardware	tovar
hardware	medaila
hardware	kamenina
hardware	vyznamenanie
hardware	prostriedky
hardware	železiarstvo
hardware	výzbroj
hardy	otužilý
hardy	neohrozený
hardy	odvážny
hardy	robustný
hardy	mrazuvzdorný
hare	zajac
haricot	fazuľa
hark	načúvať
hark	zavolať
harlequin	harlekýn
harlequin	šašo
harlot	smilniť
harlot	chlípny
harlot	prostitútka
harlotry	smilstvo
harlotry	prostitúcia
harlotry	pobehlica
harm	poškodiť
harm	uškodiť
harm	ublíženie
harm	úraz
harm	škoda
harm	poškodenie
harm	ujma
harm	krivda
harm	bezprávie
harmful	škodlivý
harmful	zhubný
harmless	nevinný
harmless	neškodný
harmonic	súzvučný
harmonic	sínusoidový
harmonic	harmonický
harmonic	harmonické
harmonica	harmonika
harmonious	harmonický
harmonise	harmonizovať
harmonium	harmónium
harmonization	harmonizácia
harmonization	zosúladenie
harmonize	harmonizovať
harmonize	zladiť
harmonize	skoordinovať
harmony	súlad
harmony	harmónia
harmony	súzvuk
harness	postroj
harness	nitelnica
harness	zapriahnuť
harness	spútať
harness	pripojiť
harness	pripútať
harness	uniforma
harness	popruhy
harness	zaradiť
harness	zbroj
harness	uniformovaný
harness	uniformovaná
harness	uniformované
harness	konský
harness	konská
harness	konské
harness	zdvižný
harness	nitienkový
harness	šnúrový
harp	harfa
harpoon	harpúna
harridan	babizňa
harrow	brány
harrow	pluh
harrow	vláčiť
harsh	príkry
harsh	kyslý
harsh	trpký
harsh	nevľúdny
