hedgehog	jež
hee-haw	rehot
heed	ohľad
heed	zreteľ
heed	dbať
heedless	nedbalý
heedless	nepozorný
heedless	nerozvážny
heedless	nevšímavý
heedless	neopatrný
heel	opätok
heel	podpätok
heel	päta
heel	pätička
heel	pätníček
heel	ničomník
hegemony	hegemónia
hegemony	nadvláda
heifer	jalovica
height	vzrast
height	návršie
height	vysočina
height	výšina
height	vrchol
heighten	stupňovať
heighten	zvýšiť
heighten	zvyšovať
heighten	zväčšovať
heighten	zväčšiť
heighten	zosilniť
heighten	zosilňovať
heights	hornatina
heights	pahorkatina
heinous	hnusný
heinous	odporný
heir	dedič
heiress	dedička
heist	vlámanie
heist	lúpež
held	držal
held	držaná
held	držané
held	upnutý
held	držaný
held up	vylúpený
helical	špirálovitý
helical	skrutkovitý
helical	skrutkovicový
helical	špirálový
helicopter	vrtuľník
helicopter	helikoptéra
heliocentric	heliocentrický
heliogravure	fotogravúra
heliogravure	hielogravúra
heliotropism	heliotropizmus
helix	špirála
helix	skrutkovica
hell	peklo
hell	zapadákov
hello	ahoj
hello	haló
hello	nazdar
hello	servus
helm	kormidlo
helmet	helma
helmet	prilba
help	pomoc
help	pomôcť
help	poslúžiť
help	nápoveda
help	pomáhať
help	rušeň
help	postrkový
helper	pomocník
helper	pomocníčka
helper	postrk
helper	príprah
helper	príprahový
helper	postrkový
helpful	osožný
helpful	ochotný
helpful	pomocný
helpful	nápomocný
helpful	užitočný
helpful	prospešný
helping	porcia
helping	dávka
helpless	bezmocná
helpless	bezmocné
helpless	bezbranný
helpless	bezmocný
helpless	bezradný
helpmate	pomocník
helpmate	druh
helpmate	družka
helpmeet	druh
helpmeet	družka
helve	rúčka
helve	porisko
helve	držadlo
hem	lem
hem	olemovať
hem	hm
hem	pokašlávanie
hem	obruba
hem	hém
hematin	hematín
hematite	hematit
hematite	hematitový
hemiacetal	poloacetal
hemidemisemiquaver	šesťdesiatštvrtina
hemimorphite	hemimorfit
hemisphere	hemisféra
hemisphere	polguľa
hemisphere	polopriestor
hemispherical	polopriestorový
hemispherical	polguľový
hemoglobin	hemoglobín
hemolysis	hemolýza
hemp	konope
hen	sliepka
hen	kura
hence	odtiaľ
hence	preto
hence	odteraz
hence	teda
henceforth	naďalej
henceforth	odteraz
henceforth	nabudúce
henceforward	odteraz
henceforward	naďalej
henchman	páža
henchman	sluha
henchman	lokaj
henchman	komorník
henry	henry
heparin	heparín
heptad	sedemmocný
heptagon	heptagón
heptagon	sedemuholník
heptane	heptán
her	ju
her	jej
herald	hlásiť
herald	zvestovať
herald	hlásateľ
herald	predzvesť
herald	herold
herald	posol
heraldic	heraldický
heraldic	heraldická
heraldic	heraldické
heraldry	heraldika
herb	bylina
herbaceous	bylinný
herbaceous	bylinkový
herbal	herbár
herbicide	herbicíd
herd	dav
herd	stádo
herder	pastier
herdsman	pastier
here	tu
here	sem
hereafter	budúci
hereafter	budúcnosť
hereafter	odteraz
hereafter	potom
hereafter	neskoršie
hereby	týmto
hereditament	dedičstvo
hereditary	dedičný
hereditary	dedičský
heredity	dedičnosť
herein	tu
hereinafter	ďalej
hereinbefore	vyššie
heresy	kacírstvo
heresy	bludárstvo
heretical	kacírsky
heretofore	predtým
heretofore	doteraz
hereunder	nižšie
hereupon	nato
hereupon	potom
herewith	tým
herewith	týmto
herewith	priložené
heritable	dediteľný
heritable	dedičný
heritage	odkaz
heritage	dedičstvo
heritage	pozostalosť
heritage	posolstvo
heritor	dedič
hermetic	hermetický
hermetic	vzduchotesný
hermit	pustovník
hermitage	ermitáž
hermitage	pustovňa
