hero	hrdina
heroic	hrdinský
heroic	heroický
heroic	bohatiersky
heroic	mohutný
heroin	heroín
heroine	hrdinka
heroine	heroína
heroism	hrdinstvo
heron	volavka
herring	sleď
herself	sám
herself	sama
herself	sa
hesitant	nerozhodný
hesitant	nerozhodná
hesitant	nerozhodné
hesitant	váhavý
hesitant	váhavá
hesitant	váhavé
hesitate	váhať
hesitation	váhanie
hesitation	pozastavenie
hesitation	otáľanie
hesitation	zdráhanie
hessian	vrecovina
heterocycle	heterocyklus
heterocyclic	heterocyklický
heterodyne	heterodyn
heterodyne	zmiešavanie
heterogeneity	heterogénnosť
heterogeneity	heterogenita
heterogeneous	rôznorodý
heterogeneous	nerovnorodý
heterogeneous	nesúrodý
heterogeneous	heterogénny
heterogeneous	družka
heterogeneous	nehomogénny
heterogeneousness	rôznorodosť
heterogeneousness	nerovnorodosť
heterogeneousness	cudzorodosť
heterogenous	heterogénne
heterogenous	nemonochromatický
heulandite	heulandit
heuristic	heuristický
heuristic	objavný
hew	sekať
hew	tesať
hew	otesať
hew	vysekávať
hewer	haviar
hewn	sekaný
hewn	sekaná
hewn	sekané
hex	čary
hex	šestica
hexadecimal	šestnástkový
hexadecimal	hexadecimálny
hexagon	šesťuholník
hexagon	šesťhranný
hexagon	šesťstranný
hexagonal	šesťuhlý
hexagonal	šesťhranný
hexagonal	šesťuhlá
hexagonal	šesťuhlé
hexagonal	hexagonálny
hexagonal	šesťuholníkový
hexagram	hexagram
hexahedron	hexaéder
hexahedron	kocka
hexahedron	šesťsten
hexameter	hexameter
hexane	hexán
hexose	hexóza
heyday	rozkvet
hi	čau
hi	nazdar
hi	ahoj
hiatus	medzera
hiatus	prerušenie
hiatus	prestávka
hiatus	hiát
hibernal	zimný
hibernal	zimná
hibernal	zimné
hibernate	prezimovať
hibernation	prezimovanie
hibernation	hibernácia
hiccup	štikútať
hiccup	štikútanie
hiccup	čkanie
hiccup	čkavka
hiccup	ťažkosť
hiccup	mäkčeň
hidden	ukrytý
hidden	skrytý
hidden	tajný
hidden	tichý
hidden	zatajený
hidden	zatajené
hidden	skrytá
hidden	skryté
hidden	tajná
hidden	tajné
hidden	zatajená
hidden	zakrytý
hide	zatajiť
hide	zakrývať
hide	koža
hide	skrývať
hide	lán
hide	skryť
hide	ukryť
hideous	škaredý
hideous	príšerný
hideous	odporný
hideous	ohavný
hiding	výprask
hiding	bitka
hiding	úkryt
hiding	skrýša
hierarch	hierarcha
hierarchal	hierarchický
hierarchal	vplyný
hierarchal	hierarchická
hierarchal	hierarchické
hierarchal	vplyná
hierarchal	vplyné
hierarchical	hierarchický
hierarchical	hierarchická
hierarchical	hierarchické
hierarchy	hierarchia
hieroglyph	hieroglyf
high	vysoký
high	vrcholný
high	vznešený
high	vrchol
high	vysoko
high	hlavný
high	dôležitý
high	silný
high	mocný
high	horná
high	horné
high	horný
high	prevýšený
high	špičkový
high	značný
high	veľký
high	intenzívny
high fidelity	neskreslený
high jinks	rozpustilosť
high jinks	bujarosť
high jinks	pestvo
high jinks	kujónstvo
high jinks	pitka
high jinks	hýrenie
high jinks	fičúrstvo
high jinks	lapajstvo
high jinks	šibalstvo
high jinks	huncútstvo
high jinks	figliarstvo
high jinks	pitka
high jinks	hýrenie
high relief	hautreliéf
high school	gymnázium
high treason	velezrada
high water	príliv
high-minded	veľkodušný
high-muck-a-muck	hlaváč
high-pitched	vysoký
high-pitched	prenikavý
high-pitched	strmý
high-pitched	príkry
high-power	vysokovýkonný
high-pressure	vysokotlakový
high-speed	rýchly
high-speed	rýchlobežný
high-speed	mihový
higher	vyšší
higher-up	náčelník
highjacking	prepadávanie
highjacking	únos
highland	vysočina
highland	hornatina
highlight	osvetlenie
highlight	zdôrazniť
highlight	vypichnúť
highlight	vyzdvihnúť
highlight	vrchol
highlight	zvýraznenie
highlighting	zvýrazňovanie
highly	veľmi
highly	vysoko
highly	značne
highly	vysokovzbudený
highly	vysokoaktívny
highly	nesmierne
highness	výška
highness	výsosť
