honey	zlatíčko
honk	zahúkanie
honor	uznať
honor	zaplatiť
honor	česť
honor	vyznamenanie
honorable	ctihodný
honorable	čestný
honorary	bezplatný
honorary	čestný
honour	rešpektovať
honour	pocta
honour	uznávať
honour	počesť
honour	česť
honour	poctiť
honour	zaplatiť
honour	prijať
honour	uznať
honourable	ctihodný
honourable	čestný
honourable	počestný
honourable	poctivý
honours	vyznamenanie
hood	kapucňa
hood	kapota
hood	príklop
hood	veko
hood	čepiec
hood	sklopný
hood	sklopná
hood	sklopné
hood	poklop
hood	dymník
hoof	kopyto
hoof	laba
hoof	hnát
hook	háčik
hook	hák
hook	zahákovať
hook	zopäť
hook	zopnúť
hook	skoba
hook	zvesovať
hook	háčkovať
hook	platina
hook	dodatočný
hook up	zretiazkovať
hooked	háčkovaná
hooked	háčkované
hooked	hákový
hooked	háková
hooked	hákové
hooking	nastraženie
hookup	kondenzát
hookup	odvádzač
hooligan	chuligán
hooliganism	chuligánstvo
hoop	obruč
hoot	húkať
hoot	trúbiť
hoot	zahúkanie
hootch	pálenka
hooter	húkačka
hooter	chmeľový
hop	chmeľ
hop	poskok
hop	poskakovať
hop	tancovačka
hope	nádej
hope	dúfať
hopeful	nádejný
hopeful	priaznivý
hopeless	beznádejný
hopeless	zúfalý
hopeless	márny
hopeless	nenapraviteľný
hopper	násypka
hopper	násypník
hopper	tanečník
hops	chmeľ
horde	horda
horde	húf
horde	dav
horde	kŕdeľ
horde	stádo
horde	roj
horizon	obzor
horizon	gyrovertikála
horizon	obzorový
horizon	vedúci
horizontal	horizontálny
horizontal	vodorovný
horizontal	horizontála
horizontal	ležato
horizontal	vodorovne
horizontal	trhanie
horizontal	riadkový
horizontality	horzontalita
horizontally	horizontálne
horizontally	vodorovne
hormone	hormón
hormone	hormonálny
horn	klaksón
horn	rožok
horn	húkačka
horn	rohovina
horn	lievik
horn	zvukovod
horn	roh
horn	oblúčikový
horn	rozvidlený
horn	paroh
hornblende	amfibol
hornblende	amfibolický
hornbook	šlabikár
hornfels	amfibolovec
hornstone	rohovec
hornswoggle	premôcť
hornswoggle	poraziť
horny	mozoľnatý
horny	rozpálený
horrible	hrozný
horrible	strašný
horrid	hrozný
horrid	ohavný
horrid	ošklivý
horror	hrôza
horror	zdesenie
horror	pľuha
horror	ohava
horse	kôň
horse	stojan
horse	podstavec
horseback riding	jazdecectvo
horseman	jazdec
horseshoe	podkova
horticulture	záhradníctvo
hose	pančucha
hose	hadica
hose	hadicový
hose	pančuchy
hosiery	pletenina
hosiery	pletenie
hosiery	pletiarsky
hospice	útulok
hospitable	pohostinný
hospitable	pohostinná
hospitable	pohostinné
hospital	nemocnica
hospital	opravovňa
hospitality	pohostinnosť
host	základný
host	zástup
host	hlavný
host	hostiteľ
host	hostiteľský
host	hromada
host	starší
host	rudonosný
host	vojsko
host	vojna
hostage	záruka
hostage	rukojemník
hostel	nocľaháreň
hostel	ubytovňa
hostel	slobodáreň
hostel	internát
hostess	hostiteľka
hostess	konferenciérka
hostess	spoločnica
hostile	nepriateľský
hostile	zaujatý
hostility	nepriateľstvo
hostility	vojna
hostility	nehostinnosť
hot	teplý
hot	horúci
hot	žeravý
hot	vytopiť
hot	ohnivý
hot	rozpálený
hot	horúco
hot	ohnivá
hot	ohnivé
hot	rozpálená
hot	rozpálené
hot	teplo
hot	žiar
hot	teplovzdušný
hot	žiarový
hot	tepelný
hot	pálivý
hot	pariaci
hot	žeravený
hot	vysokoaktívny
hot	žeraviaci
hot	pikantný
hot	nahrievací
hot	vysokovyhrievaný
