hypervitaminosis	hypervitaminóza
hyphen	spojovník
hyphen	pomlčka
hypo	hypochondria
hypochlorite	chlórnan
hypochondria	hypochondria
hypocrisy	pokrytectvo
hypocrisy	pretvárka
hypocrite	pokrytec
hypocycloid	hypocykloida
hypophysis	hypofýza
hypotenuse	prepona
hypothesis	hypotéza
hypothesis	domnienka
hypothetic	hypotetický
hypothetic	ideový
hypothetic	predpokladaný
hypothetical	hypotetický
hypsography	hypsografia
hypsometer	hypsometer
hypsometer	výškomer
hypsometry	hypsometria
hysteresis	hysteréza
hysteresis	hysteréze
hysteresis	hysterézny
hysterical	hysterický
I	ja
I.D.	identifikácia
iambic	jambický
iambic	jambická
iambic	jambické
ice	ľad
ice	zmrzlina
ice	chladiť
ice	ľadový
ice	ľadová
ice	ľadové
ice	ľadovka
ice	ľadovaný
ice	zamrznúť
ice cream	zmrzlina
ice hockey	hokej
ice up	zmraziť
iceberg	ľadovec
iceberg	kryha
iceboat	ľadoborec
icebox	ľadnička
ichthyology	ichtyológia
icicle	cencúľ
icily	ľadovo
iciness	ľadovosť
iciness	zľadovatelosť
icing	námraza
icon	piktogram
icon	ikona
iconography	ikonografia
iconoscope	ikonoskop
icy	ľadový
icy	ľadové
icy	ľadová
icy	mrazivý
icy	zľadovatený
icy	studený
idea	myšlienka
idea	pojem
idea	nápad
idea	predstava
idea	idea
idea	plán
idea	úmysel
idea	motív
idea	téma
ideal	ideál
ideal	ideálny
ideal	dokonalý
ideal	teoretický
ideal	ideálna
ideal	ideálne
ideal	myšlienkový
ideal	myšlienková
ideal	myšlienkové
ideal	vzor
ideal	dokonalá
ideal	dokonalé
ideal	teoretická
ideal	teoretické
ideal	idealizovaný
ideal	schematizovaný
ideal	nevlastný
idealism	idealizmus
idealist	idealista
idealistic	idealistický
idealistic	idealistická
idealistic	idealistické
ideality	ideálnosť
idealization	idealizácia
idealize	idealizovať
idealize	zidealizovať
idealized	idealizovaný
idealized	idealizovaná
idealized	idealizované
ideate	predstava
ideate	predstavivosť
idempotent	idempotent
idempotent	idempotenčný
identical	zhodný
identical	totožná
identical	totožné
identical	zhodná
identical	zhodné
identical	identická
identical	identické
identical	rovnaká
identical	rovnaké
identical	identický
identical	totožný
identical	rovnaký
identically	totožne
identically	identicky
identically	zhodne
identically	identický
identifiable	zistiteľný
identifiable	vyčísliteľný
identifiable	identifikovateľný
identifiable	identifikovateľná
identifiable	identifikovateľné
identification	registrácia
identification	značka
identification	označenie
identification	identifikácia
identification	identifikačná
identification	identifikovanie
identification	identifikačný
identification	identifikačné
identification	zistiteľný
identification	zistiteľná
identification	zistiteľné
identification	rozpoznávanie
identification	určenie
identification	určovanie
identification	stotožňujúci
identification	poznávací
identification	značkovací
identifier	identifikátor
identifier	meno
identify	určiť
identify	označiť
identify	poznať
identify	stotožniť
identify	položiť
identify	zastávať
identify	schvaľovať
identify	identifikovať
identify	rozpoznať
identify	súhlasiť
identity	totožnosť
identity	identita
identity	zhodnosť
identity	identifikačný
identity	identifikačná
identity	identifikačné
identity	identickosť
identity	označenie
identity	identický
identity card	legitimácia
ideogram	ideogram
ideological	ideologický
ideological	ideologické
ideological	ideologická
ideology	ideológia
ideology	fantazírovanie
idiomatic	idiomatický
idiomatic	osobitý
idiomatic	osobitá
idiomatic	osobité
idiot	idiot
idiot	hlupák
idiot	podmienkový
idiotic	idiotický
idiotic	hlúpy
idiotic	hlúposť
idle	leňošiť
idle	neúčinný
idle	zaháľať
idle	lenivý
idle	neobsadený
idle	voľný
idle	nevyužitý
idle	nepracujúci
idle	pomaly
idle	zaháľavý
idle	zlý
idle	nečinný
idle	lenivá
idle	lenivé
idle	záhaľčivý
idle	záhaľčivá
idle	záhaľčivé
idle	nevyužitá
idle	nevyužité
