impel	donútiť
impeller	obežný
impending	nastávajúci
impending	hroziaci
impending	budúci
impenetrable	nepreniknuteľný
impenetrableness	nepreniknuteľnosť
impenetrableness	nepriepustnosť
imperative	prikazovací
imperative	nepodmienený
imperative	nutný
imperative	naliehavý
imperative	nevyhnutný
imperative	rozkazovačný
imperative	imperatívny
imperative	veliteľský
imperative	diktátorský
imperative	nevyhnuteľný
imperative	kategorický
imperative	rozkazovací
imperative	rozkaz
imperative	príkaz
imperative	pravidlo
imperative	požiadavka
imperative	prikazovacia
imperative	prikazovacie
imperative	nepodmienená
imperative	nepodmienené
imperative	kategorická
imperative	kategorické
imperative	imperatívna
imperative	imperatívne
imperative	výkonný
imperative	povinný
imperceptibility	nepostrehnuteľnosť
imperceptibility	nevnímateľnosť
imperfect	kazový
imperfect	neúplná
imperfect	neúplné
imperfect	zakončenie
imperfect	reálny
imperfect	defektný
imperfect	neúplný
imperfect	nedostačujúci
imperfect	nedokonalý
imperfectibility	nezdokonaliteľnosť
imperfection	porucha
imperfection	nedostatok
imperfection	závada
imperfection	nedokonalosť
imperial	cisársky
imperial	ríšsky
imperial	imperiálny
imperial	britský
imperial	majestátny
imperial	vznešený
imperial	obrovský
imperial	skvelý
imperial	vynikajúci
imperial	grandiózny
imperial	kráľovský
imperial	cisár
imperial	cisárovná
imperial	cisárska
imperial	cisárske
imperial	ríšska
imperial	ríšske
imperial	imperiálna
imperial	imperiálne
imperial	anglický
imperialism	imperializmus
imperialist	imperialista
imperialistic	imperialistický
imperil	ohroziť
imperishableness	nepominuteľnosť
imperishableness	nezničiteľnosť
imperishableness	nesmrteľnosť
imperishableness	večnosť
imperium	ríša
imperium	impérium
impermeability	nepriepustnosť
impermeable	nepremokavý
impermeable	nepriepustný
impermissibility	neprípustnosť
impermissible	neprípustný
impersonal	neosobný
impertinence	nevhodnosť
impertinence	irelevantnosť
impertinence	bezočivosť
impertinence	impertinencia
impertinent	bezočivý
impertinent	drzý
impertinent	nevhodný
impertinent	irelevantný
impertinent	nadbytočný
imperturbable	pokojný
imperturbable	neochvejný
imperturbable	chladný
imperturbable	drzý
imperturbableness	kľud
imperturbableness	chladnokrvnosť
impervious	nepriepustný
impervious	nepremokavý
impervious	neprípustný
impervious	nepriepustná
impervious	nepriepustné
impervious	nepremokavá
impervious	nepremokavé
impervious	neprípustná
impervious	neprípustné
impetus	impulz
impetus	stimul
impinge	dopadať
impinge	bombardovať
impingement	dopad
impingement	zrážka
implant	implantát
implantation	implantácia
implanted	vhojený
implanted	implantovaný
implausibility	neprijateľnosť
implausibility	nepravdepodobnosť
implausible	nepravdepodobná
implausible	nepravdepodobné
implausible	neprijateľná
implausible	neprijateľné
implausible	neprijateľný
implausible	nepravdepodobný
implement	zavádzať
implement	náradie
implement	uskutočniť
implement	nástroj
implement	uskutočňovať
implement	realizovať
implemental	pomocný
implementation	realizácia
implementation	zavedenie
implementation	implementácia
implication	zapletenie
implication	asociácia
implication	aspekt
implication	dôsledok
implication	tvrdenie
implication	implikácia
implication	narážka
implication	domnienka
implication	následky
implication	dôsledky
implicit	zahrnutý
implicit	zahrnutá
implicit	zahrnuté
implicit	vyplývajúci
implicit	vyplývajúca
implicit	vyplývajúce
implicit	predpokladaná
implicit	predpokladané
implicit	bezvýhradný
implicit	bezvýhradná
implicit	bezvýhradné
implicit	implicitná
implicit	implicitné
implicit	bezpodmienečný
implicit	implicitný
implicit	skrytý
implicit	nevyslovený
implicit	predpokladaný
implicitly	samozrejmosť
implicitly	bezvýhradne
implied	implicitný
implied	zahrnutý
implied	implikovaný
implied	predpokladaný
implied	skrytý
implied	samozrejmý
implied	odvodený
implore	prosiť
implosion	implózia
implosion	implozívny
imply	navrhovať
imply	zahŕňať
imply	obsahovať
imply	znamenať
imply	naznačovať
imply	implikovať
imply	predpokladať
imply	tvrdiť
impolite	nezdvorilý
impoliteness	nezdvorilosť
import	dovoz
import	import
import	importovať
import	doviezť
import	dosah
import	význam
import	zmysel
import	znamenať
import	prejaviť
import	importný
import	dovážať
import	zavádzať
