improbable	nepravdepodobné
improper	neplatný
improper	neslušný
improper	nesprávna
improper	nesprávne
improper	neplatná
improper	neplatné
improper	nevlastný
improper	nepravý
improper	neprístojný
improper	nečestný
improper	nevhodný
improper	neschopný
improper	nesprávny
improve	zlepšiť
improve	zlepšovať
improve	zdokonaliť
improve	zvýšiť
improve	využiť
improve	zúžitkovať
improve	meliorovať
improve	kultivovať
improve	vzdelávať
improve	spevniť
improve	upotrebovať
improve	zdokonaľovať
improve	zošľachtiť
improve	zušľachťovať
improve	vylepšiť
improve	opraviť
improved	zlepšený
improved	spresnený
improved	zošľachtený
improvement	zošľachtenie
improvement	zdokonalenie
improvement	zlepšenie
improvement	pokrok
improvement	náprava
improvement	rozvoj
improvement	zušľachťovací
improvement	zlepšovací
improver	zlepšovateľ
improvidence	ľahkomyselnosť
improvidence	bezstarostnosť
improvidently	neuvážene
improvisation	improvizácia
improvize	improvizovať
impudence	drzosť
impudence	nehanblivosť
impudent	drzý
impudent	nehanblivý
impugn	napadnúť
impugn	spochybniť
impugnable	napadnuteľný
impulse	podnet
impulse	nutkanie
impulse	pud
impulse	nával
impulse	záchvat
impulse	náraz
impulse	úder
impulse	škrtnutie
impulse	impulz
impulse	stimul
impulse	nárazový
impulse	rázový
impulse	impulzový
impulse	reaktívny
impunity	beztrestnosť
impure	nečistý
impure	necudný
impure	znečistený
impurity	nečistota
impurity	nemravnosť
impurity	prímes
impurity	premiešanina
impurity	prímesový
impurity	nevlastný
imputable	pripočítateľný
imputation	delenie
imputation	imputácia
imputation	pripočítanie
impute	pripočítať
impute	prisudzovať
impute	obviňovať
in	dnu
in	vnútri
in	pri
in	ako
in	pre
in	podľa
in	zapichovací
in	súbežný
in	záberový
in	odvadľovací
in	súmerný
in	vratný
in	priechodný
in a moment	hneď
in addition	naviac
in addition	navyše
in advance	vopred
in all	celkom
in all	dokopy
in all likelihood	pravdepodobne
in all probability	najskôr
in any case	rozhodne
in brief	stručne
in case	ak
in case	že
in chorus	zborovo
in cold blood	chladnokrvne
in common	bežne
in common	spoločný
in detail	podrobne
in detail	detailne
in detail	jednotlivo
in dispute	sporný
in due course	náležito
in due course	riadne
in due season	časom
in due season	príležitostne
in earnest	vážne
in earnest	naozaj
in effect	vskutku
in fact	naozaj
in fact	skutočný
in fact	súčasný
in front	pred
in front	vpredu
in full	úplne
in full	neskrátene
in full	úplný
in gear	zapnutý
in general	obyčajne
in general	všeobecne
in good time	načas
in hand	naporúdzi
in love	zamilovaný
in no time	okamžite
in no time	hneď
in no way	nijako
in operation	funkčný
in particular	obzvlášť
in particular	predovšetkým
in particular	najmä
in perpetuity	trvajúci
in perpetuity	naveky
in person	osobne
in place	odôvodnený
in place	opodstatnený
in place	vhodný
in place	primeraný
in place	vyhovujúci
in point of fact	vlastne
in reality	skutočne
in reality	vlastne
in secret	tajne
in secret	dôverne
in stages	postupne
in the air	neistý
in the end	nakoniec
in the first place	predovšetkým
in the first place	predovšetkým
in the long run	nakoniec
in the long run	napokon
in the main	zväčša
in the main	vcelku
in the main	hlavne
in the meantime	zatiaľ
in time	načas
in time	včas
in time	včasne
in time	počas
in toto	úplne
in toto	celkom
in vain	márne
in vain	darmo
in writing	písomne
in-between	prostredník
in-between	sprostredkovateľ
inability	neschopnosť
inability	nespôsobilosť
inaccessibility	neprístupnosť
inaccessibility	nedostupnosť
inaccessibility	nedosiahnuteľnosť
inaccessible	neprístupný
inaccessible	nedostupný
inaccessible	neprípustný
inaccessible	uzavretý
inaccessible	neprípustná
inaccessible	neprípustné
inaccessible	nedostupná
inaccessible	nedostupné
inaccessible	nedosiahnuteľný
inaccuracy	nesprávnosť
inaccuracy	nepresnosť
inaccurate	nepresný
inaccurate	nepresná
inaccurate	nepresné
