indentation	vtláčací
indented	zúbkovaný
indented	zúbkovaná
indented	zúbkované
indented	zazubený
indented	razený
indented	vrúbkovaný
indention	zarážka
indenture	vysvedčenie
indenture	vrub
indenture	jamka
indenture	zúbkovanie
indenture	vrúbkovanie
indenture	inventár
independence	osamostatnenie
independence	suverenita
independence	nezávislosť
independence	samostatnosť
independent	samostatná
independent	samostatné
independent	nezávislá
independent	nezávislé
independent	autonómny
independent	cudzí
independent	svojbytný
independent	rôzny
independent	nezávislý
independent	samostatný
independently	nezávisle
independently	samostatne
indescribable	neopísateľný
indescribable	neopísateľná
indescribable	neopísateľné
indestructibility	nezničiteľnosť
indeterminate	neurčitá
indeterminate	neurčité
indeterminate	neistý
indeterminate	neistá
indeterminate	neprijatie
indeterminate	neisté
indeterminate	neurčitý
indeterminate	nejasný
indeterminateness	neurčitosť
indeterminateness	neistota
indeterminateness	bezvýchodnosť
indeterminateness	slobodomyseľnosť
indeterminateness	sloboda
indeterminateness	bezvýchodiskovosť
indetermination	neurčitosť
index	index
index	zoznam
index	indexovať
index	koeficient
index	ukazovák
index	rozdeliť
index	ručička
index	znak
index	exponent
index	registrovať
index	zaznamenať
index	označovať
index	ukazovať
index	pootáčať
index	register
index	stupeň
index	značka
index	číslo
index	indexový
index	kartotékový
index	referenčný
index	zaznamenávať
indexation	indexácia
indexation	valorizácia
indexical	indexový
indexical	indexová
indexical	indexové
indexing	delenie
indexing	indexovanie
indexing	indexácia
indexing	indexový
indexing	deliaci
India rubber	guma
Indian	indián
Indian	indiánska
Indian	indiánske
Indian	indiánsky
Indian	indická
Indian	indické
Indian	indický
Indian club	kužeľ
indicate	naznačovať
indicate	označovať
indicate	ukázať
indicate	označiť
indicate	uvádzať
indicate	ukazovať
indicate	vyjadrovať
indicate	svedčiť
indicate	preukázať
indicate	indikovať
indicate	udávať
indication	náznak
indication	naznačenie
indication	indikácia
indication	znamenie
indication	známka
indication	predzvesť
indication	indikovanie
indication	index
indication	indícia
indication	zobrazenie
indication	symbol
indication	označenie
indicator	ukazovateľ
indicator	indikátor
indicator	indikačný
indicator	indikátorový
indicator	návestný
indict	obviniť
indict	obžalovať
indict	obviňovať
indictable	obviniteľný
indictable	žalovateľný
indictment	obvinenie
indictment	udanie
indictment	žaloba
indictment	obžaloba
indifference	ľahostajnosť
indifferent	ľahostajný
indifferent	obyčajný
indifferent	nezávislý
indifferent	indiferentný
indifferent	neutrálny
indifferent	vlažný
indifferent	bezvýznamný
indifferent	neveľký
indifferent	priemerný
indifferent	obstojný
indifferent	inertný
indifferent	nestranný
indifferent	nezaujatý
indigenous	autochtónny
indigent	chudobný
indignant	rozhorčený
indignant	pobúrený
indignation	rozhorčenie
indignity	poníženie
indignity	potupa
indigo	indigo
indirect	nepriama
indirect	nepriame
indirect	krivý
indirect	krivá
indirect	krivé
indirect	derivovanie
indirect	odrazený
indirect	indirektný
indirect	uhoľnatý
indirect	režijný
indirect	vedľajší
indirect	nepriamy
indirection	bezcieľnosť
indirectly	nepriamo
indiscreet	indiskrétny
indiscretion	indiskrétnosť
indiscriminate	nevyberavý
indiscriminate	nekritický
indiscriminate	pomiešaný
indispensable	nepostrádateľný
indispensable	nevyhnutný
indispensableness	nepostrádateľnosť
indisposed	indisponovaný
indisposed	chorý
indisposed	chorľavý
indisposition	chorľavosť
indisposition	nechuť
indisposition	odpor
indisputable	nesporný
indisputable	nepopierateľný
indissoluble	nezrušiteľný
indissoluble	nerozpustný
indistinct	nezreteľný
indistinct	zmätený
indistinguishable	nerozoznateľný
indite	zložiť
indite	napísať
indium	indium
indium	indnatý
indium	inditý
individual	jednotlivec
individual	súkromník
individual	jedinec
individual	jednotlivý
individual	súkromný
individual	samostatný
individual	zvláštny
individual	prípad
individual	celistvosť
individual	svojský
individual	osobitý
