answer	odpovedať
answerability	zodpovednosť
answerable	zodpovedný
answering	prihlásenie
answering	odpovedanie
answering	potvrdzovací
answering	dotazovací
ant	mravec
antagonist	protivník
antagonist	antagonista
antarctic	antarktický
antarctic	južný
ante	splátka
ante	záloha
ante	vklad
ante	pred
ante meridiem	ráno
ante meridiem	dopoludnia
ante meridiem	doobedie
ante meridiem	predpoludnie
antecedence	prednosť
antecedence	priorita
antecedent	predchádzajúci
antecedent	skorší
antecedent	predpokladaný
antecedent	predchádzajúca
antecedent	predchádzajúce
antecedent	predpokladaná
antecedent	predpokladané
antecedent	skoršia
antecedent	skoršie
antecedent	ukazovateľ
antecedent	antecedentný
antecedent	prioritný
antecedent	príčina
antecedent	prednosť
antechamber	predizba
antechamber	predsieň
antedate	antedatovať
antedate	antedatovanie
antediluvian	predpotopný
antefix	antefix
antefix	antefixa
antelope	antilopa
antenna	tykadlo
antenna	anténa
antenna	uzemňovací
antenna	anténový
antenna	paraboloid
antenuptial	predmanželský
anterior	predchádzajúci
anterior	predošlý
anteroom	predizba
anteroom	predsieň
anteroom	čakáreň
anthem	hymna
anther	rohovina
anthophyllite	antofylit
anthracite	antracit
anthracite	antracitový
anthracitic	antracitový
anthracosis	antrakóza
anthropocentric	antropocentrický
anthropomorphism	antropomorfismus
anthropomorphous	antropomorfný
anti-Semite	antisemita
antiaircraft	protiletecký
antiaircraft	protilietadlový
antibacterial	antibakteriálny
antibiotic	antibiotický
antibiotic	antibiotikum
antibody	protilátky
antibody	protilátka
antic	groteskný
antic	smiešny
antic	fraškovitý
antic	fraškovitá
antic	fraškovité
antic	vystrájanie
antic	šaškovanie
anticatalyst	antikatalyzátor
anticipate	predpokladať
anticipate	očakávať
anticipate	predísť
anticipate	prichádzať
anticipate	predchádzať
anticipate	predražiť
anticipate	predbiehať
anticipate	anticipovať
anticipate	tušiť
anticipate	predvídať
anticipation	predtucha
anticipation	vopred
anticipation	očakávanie
anticipation	predpoklad
anticipation	anticipácia
anticipatory	predbežný
anticlinal	antiklinála
anticlinal	antiklinálny
anticlockwise	ľavotočivý
anticoagulant	antikoagulans
anticyclone	anticyklóna
antidote	protiliek
antidote	protijed
antidote	protilátka
antidote	liek
antielectron	antielektrón
antiferromagnetic	antiferomagnetický
antiferromagnetism	antiferomagnetizmus
antifouling	antivegetatívny
antifungal	fungicídny
antiknock	antidetonačný
antiknock	vysokooktánový
antilogarithm	antilogaritmus
antilogarithm	numerus
antimatter	antihmota
antimeson	antimezón
antimonic	antimoničný
antimony	antimon
antimony	antimón
antimony	antimonit
antimony	antimonitý
antimony	antimoničný
antimony	antimónový
antineutrino	antineutríno
antineutron	antineutrón
antinode	kmitňa
antinomy	protiklad
antinomy	antinómia
antinomy	rozpor
antioxidant	antioxidant
antioxidant	antioxidačný
antiparallel	antiparalelný
antiparticle	antičastica
antipathy	antipatia
antipathy	odpor
antipode	antipód
antipodes	protinožci
antiproton	antiprotón
antipyretic	protihorúčkový
antipyretic	antipyretikum
antiquarian	starožitnícky
antiquarian	archeológ
antiquarian	zberateľský
antiquarian	archeologický
antiquarian	zberateľ
antiquarian	archeologická
antiquarian	archeologické
antiquarian	starožitnícka
antiquarian	starožitnícke
antiquarian	zberateľská
antiquarian	zberateľské
antiquary	starožitník
antiquary	antikvár
antiquated	staromódny
antiquated	zastaralý
antiquated	zastaraný
antiquated	predpotopný
antiquated	muzeálny
antique	staroveký
antique	antický
antique	starožitnosť
antique	starodávny
antique	antika
antique	staroveká
antique	staroveké
antique	nehladený
antique	starožitnosti
antique	starožitný
antique	staromódny
antiquity	starovek
antiquity	antika
antiquity	starožitnosti
antiquity	starobylosť
antiquity	staroba
antiquity	starodávno
antiquity	starožitnosť
antiseptic	antiseptický
antiseptic	antiseptikum
antiseptic	dezinfekčný
antisocial	protispoločenský
antithesis	protiklad
antithesis	antitéza
antithetic	protikonný
antithetical	disjunktívny
antithetical	záporný
antitrades	antipasát
antler	paroh
anus	konečník
anvil	kovadlina
anvil	nákova
anvil	nákovový
anxiety	túžba
anxiety	starosť
anxiety	nepokoj
anxiety	úzkosť
anxiety	úzkostlivoť
anxiety	znepokojenie
anxious	úzkostlivý
anxious	znepokojujúci
