irredeemable	nezameniteľný
irreducible	neredukovateľný
irreducible	nezmenšiteľný
irreducible	ireducibilný
irrefutable	nezvratný
irrefutable	nevyvrátiteľný
irregular	nesúmerný
irregular	nepravidelný
irregular	neusporiadaný
irregular	nezvyklý
irregular	falošný
irregular	podvodný
irregular	neviazaný
irregular	neskrotný
irregular	bujný
irregular	výstredný
irregular	tajný
irregular	občasný
irregular	nesymetrický
irregular	nesúmerná
irregular	nesúmerné
irregular	nesústavný
irregular	nesústavná
irregular	nesústavné
irregular	nečistý
irregular	nerovnaký
irregular	nepresný
irregular	nezvyčajný
irregularity	nerovnomernosť
irregularity	nepravidelnosť
irregularity	nezrovnalosť
irregularity	nerovnosť
irrelevance	bezvýznamnosť
irrelevancy	bezvýznamnosť
irrelevancy	irelevantnosť
irrelevant	nepodstatná
irrelevant	nepodstatné
irrelevant	nepodstatný
irrelevant	nezávažný
irrelevant	bezvýznamný
irrelevant	irelevantný
irremediable	nenapraviteľný
irremediable	nezmeniteľný
irreparable	nenahraditeľný
irreparable	neodčiniteľný
irreparable	nenapraviteľný
irrepressible	neskrotný
irreproachable	bezúhonný
irreproachable	dokonalý
irresistible	neodolateľný
irresolute	nerozhodný
irresolute	váhavý
irresponsibility	nezodpovednosť
irresponsibility	bezohľadnosť
irresponsibility	nespoľahlivosť
irresponsibility	nesvojprávnosť
irresponsibility	nepríčetnosť
irresponsible	nezodpovedný
irresponsible	nespoľahlivý
irretrievable	nenahraditeľný
irretrievable	nenapraviteľný
irretrievably	nenávratne
irreverent	neúctivý
irreversible	nevratný
irreversible	ireverzibilní
irreversible	ireverzibilný
irreversible	nezvratný
irrevocable	neodvolateľný
irrevocable	nevratný
irrevocable	nezmeniteľný
irrevocable	nezrušiteľný
irrigate	zavodniť
irrigate	zavlažiť
irrigate	vypláknuť
irrigate	zavodňovať
irrigate	zavlažovať
irrigate	vyplakovať
irrigation	zavlažovanie
irrigation	zavlažovací
irrigation	irigačný
irrigation	závlahový
irrigation	zadážďovací
irritant	dráždidlo
irritant	dráždivý
irritate	dráždiť
irritate	podráždiť
irritate	hnevať
irritate	nahnevať
irritate	jatriť
irritate	rozjatriť
irritate	iritovať
irritating	znervozňujúci
irruption	vpád
irruption	nájazd
irruption	vtrhnutie
isentropic	adiabatický
Islam	islam
Islam	moslim
Islamic	islamský
Islamic	moslimský
island	ostrov
island	ostrovček
islander	ostrovan
isle	ostrovček
islet	ostrovček
ism	izmus
ism	náuka
ism	teória
isobar	izobara
isobutylene	izobutylén
isochrone	izochróna
isochronous	izochrónny
isocyanate	izokyanatan
isocyclic	izocyklický
isogone	izogóna
isogonic	izogóna
isogonic	izogonálny
isogonic	rovnakouhlý
isolate	extrahovať
isolate	odlúčiť
isolate	vyňať
isolate	oddeliť
isolate	oddeľovať
isolate	rozdeliť
isolate	izolovaný
isolate	izolovaná
isolate	izolované
isolate	izolovať
isolate	lokalizovať
isolated	izolovaný
isolated	oddelený
isolated	samostatný
isolated	osamotený
isolating	izolujúci
isolating	izolujúca
isolating	izolujúce
isolating	izolačný
isolating	oddeľovací
isolating	úsekový
isolation	osamostatnenie
isolation	odlúčenie
isolation	izolácia
isolation	osamotený
isolation	oddelenie
isolation	izolovanie
isolation	izolačný
isolation	oddeľovací
isolation	separácia
isoleucine	izoleucín
isomer	izomér
isomerase	izomeráza
isomeric	izomerizačný
isomeric	izomérny
isomerism	izoméria
isomerism	izometria
isomerization	izomerizácia
isometric	izomerický
isometric	izomerická
isometric	izomerické
isometric	izometrický
isometric	kubický
isometry	izometria
isomorphic	izomorfný
isomorphism	izomorfizmus
isomorphism	izomorfia
isomorphism	izomorfný
isomorphous	izomorfný
isostasy	izostáza
isothermal	teplota
isothermal	izotermický
isothermal	izotermný
isothermal	stály
isothiocyanate	izotiokyanatan
isothiocyanate	izotiokyanát
isotonic	izotonický
isotonic	fyziologický
isotope	izotop
isotope	izotopový
isotopic	izotop
isotopic	rádioizotop
isotopic	izotopový
isotopic	izotopický
isotropic	izotropný
isotropic	izotropický
isotropic	nesmerový
isotropy	izotropia
issue	vydať
issue	vystaviť
issue	vydávanie
issue	výdaj
issue	vytekanie
issue	otázka
issue	výtok
issue	výsledok
issue	dôsledok
issue	potomstvo
issue	východ
issue	výstup
issue	spor
issue	zakončenie
