jazzman	džezista
jazzy	džezový
jazzy	divoký
jealous	žiarlivý
jealous	nežičlivý
jealous	neprajný
jealous	závistlivý
jealous	podozrievavý
jealous	nedôverčivý
jealous	starostlivý
jealous	úzkostlivý
jealous	horlivý
jealous	žiarlivá
jealous	žiarlivé
jealous	žiarlivosť
jealousy	žiarlivosť
jealousy	podozrievavosť
jealousy	starostlivosť
jealousy	závisť
jealousy	nedôvera
jealousy	bdelosť
jeep	džíp
jeer	posmešok
jeer	úštipok
jeer	posmech
jeer	výsmech
jeer	urážať
jeer	úsmešok
jeerer	posmeškár
jejune	chatrný
jejune	úbohý
jejune	biedny
jejune	neúrodný
jejune	jalový
jejune	neplodný
jejune	nudný
jejune	otravný
jejune	suchopárny
jejune	nezaujímavý
jejune	hladný
jejune	nevýdatný
jejune	chudý
jejune	prázdny
jejune	neskúsený
jejune	neinformovaný
jejune	nedospelý
jejune	nezrelý
jejuneness	nevýdatnosť
jejuneness	chudosť
jejuneness	prázdnosť
jejuneness	neskúsenosť
jejuneness	neinformovanosť
jejuneness	nezrelosť
jell	stuhnúť
jell	zrôsolovitieť
jell	kryštalizovať
jellaba	galábia
jelly	želé
jelly	puding
jelly	žlč
jelly	rôsol
jelly	studeno
jelly	huspenina
jelly	zrôsolovatieť
jelly	tuhnúť
jelly	stuhnúť
jelly	zmraziť
jelly	zmrazovať
jelly	gél
jelly	gélovatieť
jelly	rôsolovatieť
jelly	želatínovať
jellylike	rôsolovitý
jemmy	vylamovadlo
jemmy	páčidlo
jemmy	vypáčiť
jennet	poník
jennet	oslica
jenny	samička
jenny	oslica
jenny	žeriav
jeopardise	riskovať
jeopardize	ohrozovať
jeopardize	vystavovať
jeopardize	vystaviť
jeopardize	ohroziť
jeopardy	stávka
jeopardy	ohrozenie
jeopardy	nebezpečenstvo
jeopardy	riziko
jeremiad	nárek
jeremiad	žalospev
jeremiad	žaloba
jeremiad	jeremiáda
jerk	trhnutie
jerk	myknutie
jerk	cvik
jerk	šklbnutie
jerk	strčenie
jerk	svrbenie
jerk	hlupák
jerk	kretén
jerk	trhnúť
jerk	šklbnúť
jerk	vytrhnúť
jerk	hodiť
jerk	pohybovať
jerk	branec
jerk	mykať
jerk	myknúť
jerk	trhať
jerk	hádzať
jerk	vyhodiť
jerk	vyrážať
jerk	vyraziť
jerk	sekať
jerk	odseknúť
jerk	šklbať
jerk off	strhnúť
jerk-off	sprosťáčik
jerk-off	hlupáčik
jerk-off	pornografický
jerkin	kabátec
jerkin	vesta
jerkin	kazajka
jerkiness	trhavosť
jerkiness	slabošstvo
jerkiness	kostrbatosť
jerkiness	slabosť
jerkiness	nemohúcnosť
jerkwater	odľahlý
jerkwater	zapadlý
jerkwater	dedinský
jerkwater	provinciálny
jerkwater	malicherný
jerkwater	úzkoprsý
jerky	kostrbatý
jerky	hlúpy
jerky	slabý
jerky	nemohúci
Jeroboam	nočník
jerry-built	chatrný
Jersey	jerseyský
jersey	sveter
jersey	tričko
jersey	nátelník
jersey	pulóver
jersey	dres
jersey	džerzej
jersey	jersey
jessamine	jasmín
jest	žart
jest	vtip
jest	žartovať
jest	vtipkovať
jester	šašo
jester	vtipkár
jester	pajác
jester	klaun
Jesuit	jezuita
Jesuit	jezuitský
Jesuitic	jezuitský
Jesuitism	jezuitizmus
Jesuitism	jezuitstvo
jet	prúd
jet	prúdový
jet	lúč
jet	trysk
jet	tryska
jet	vtok
jet	striekať
jet	vyvierať
jet	šľahať
jet	vystrekovať
jet	chrliť
jet	postriekať
jet	vŕtať
jet	uvoľniť
jet	usadiť
jet	odstrániť
jet	jadro
jet	podstata
jet	gágať
jet	gagátový
jet	prúdiť
jet	vychrliť
jet	vyrážať
jet	vyraziť
jet	vystreknúť
jet	dýza
jet	hubica
jet	otvor
jet	spalina
jet	diera
jet	dýzový
jet	vstrekový
jet	vplachovaný
jet	vplachovací
jet	vstrekovací
jet	vplachovať
