jointly	združene
joist	trám
joist	nosník
joist	hrada
joist	brvno
joist	krokvica
joist	stropnica
joist	hranol
joist	trámový
joist	trámová
joist	trámové
joist	zvislý
joist	zvislá
joist	zvislé
joke	vtip
joke	žart
joke	žartovať
joke	vtipkovať
joke	fígeľ
joke	anekdota
joke	hračka
joker	vtipkár
joker	šibal
joker	furták
joker	žolík
jollification	veselosť
jollification	veselie
jollification	sranda
jollification	švanda
jollification	mejdan
jollify	obveseliť
jollify	popíjať
jollify	rozveseliť
jollify	rozjariť
jolliness	veselosť
jolliness	rozjarenosť
jolliness	srdečnosť
jollity	veselosť
jollity	veselie
jollity	slávnosť
jolly	veselý
jolly	pekný
jolly	milý
jolly	zábavný
jolly	príjemný
jolly	rozjarený
jolly	srdečný
jolly	sympatický
jolly	podnapitý
jolly	veľa
jolly	krásny
jolly	žartovať
jolly	špásovať
jolly	jola
jolly along	lichotiť
jolt	náraz
jolt	hegať
jolt	hegnúť
jolt	triasť
jolt	zatriasť
jolt	drgať
jolt	drgnúť
jolt	hádzať
jolt	hodiť
jolt	hegnutie
jolt	drgnutie
jolt	strčiť
jolt	vraziť
jolt	strkať
jolt	natriasať
jolt	vyhodiť
jolt	udrieť
jolt	drkotať
jolt	zakopnúť
jolt	otriasť
jolt	vytrhnúť
jolt	prebudiť
jolt	zvrátiť
jolt	rozrušiť
jolt	fetovať
jolt	šok
jolt	úder
jolt	drcnutie
jolt	šťuchnutie
jolt	rana
jolt	dávka
jolt	otras
jolt	striasať
jolting	ubíjanie
jolting	roztrasený
jolting	hegavý
jolting	rozheganý
jolting	striasanie
jolting	natriasanie
jolting	striasací
jolty	hegavý
jongleur	žonglér
jonquil	narcis
Jordan	konvalinka
Jordanian	jordánsky
josh	švanda
josh	psina
josh	žartovať
josh	prekárať
josh	špásovať
jostle	stisk
jostle	tlačenica
jostle	strkanie
jostle	zrážka
jostle	strkať
jostle	zápasiť
jostle	vystrčiť
jostle	vyhodiť
jostle	náraz
jot	maličkosť
jot	štipka
jot	písmenko
jot	zrnko
jot	zrniečko
jot	jota
jot	literka
jot	kúsok
jot	trocha
jot down	poznamenať
jotter	zápisník
jotting	záznam
jotting	poznámka
jotting	písmenko
jounce	triasť
jounce	natriasať
jounce	heganie
jounce	rozheganý
journal	žurnál
journal	zápisník
journal	noviny
journal	diár
journal	list
journal	listy
journal	časopis
journal	čap
journal	otočný
journal	kniha
journal	denník
journalism	novinárstvo
journalism	žurnalistika
journalism	žurnalizmus
journalism	noviny
journalism	časopisy
journalist	novinár
journalist	žurnalista
journalistic	novinársky
journalistic	žurnalistický
journey	cesta
journey	jazda
journey	cestovať
journey	jazdiť
journey	precestovať
journey	vandrovať
journey	cestu
journey	palubný
journeyman	robotník
journeyman	tovariš
journeyman	pomocník
journeyman	remeselník
journeyman	pracovník
journeyman	nádenník
joust	zápas
joust	súboj
joust	turnaj
Jove	prepánakráľa
jovial	veselý
jovial	žoviálny
jovial	vtipný
jovial	dobrý
joviality	veselosť
joviality	dobrota
Jovian	jupiterský
Jovian	suverénny
Jovian	majestátny
Jovian	bohorovný
Jovian	jovišovský
jowl	líce
jowl	tvár
jowl	podhrdlina
jowl	sánka
jowl	podbradok
jowl	lalok
joy	radosť
joy	potešenie
joy	pohodlie
joy	šťastie
joy	blaho
joy	výsledok
joy	úspech
joy	joystick
joyful	radostný
joyful	veselý
joyful	obšťastňujúci
joyful	šťastlivý
joyful	naradostený
