jumble	blázinec
jumbled	neusporiadaný
jumbo	nemotora
jumbo	ťarbavec
jumbo	slon
jumbo	kolos
jumbo jet	obrovský
jump	skok
jump	skočiť
jump	vyskočiť
jump	zvýšenie
jump	stúpnutie
jump	zmena
jump	premena
jump	skákať
jump	preskočiť
jump	poskakovať
jump	prechod
jump	vyskakovať
jump	stúpnuť
jump	chňapnúť
jump	utiecť
jump	pulzovať
jump	vrieť
jump	zrýchlenie
jump	vynechať
jump	obísť
jump	vystúpiť
jump	poskočiť
jump	preskok
jump	výstupok
jump	zapaľovanie
jump	prerušovaný
jump	sklápací
jump cut	prestrihnúť
jump cut	prestrih
jump off	zoskočiť
jump out	vyskočiť
jumped-up	novopečený
jumped-up	domýšľavý
jumper	skokan
jumper	halena
jumper	džamper
jumper	mostík
jumper	prepojka
jumper	závozník
jumper	pomocník
jumper	poskok
jumper	revízor
jumper	dezertér
jumper	zbeh
jumper	tričko
jumper	blúza
jumper	kazajka
jumper	spojka
jumper	sveter
jumper	prepínač
jumper	vrták
jumper cable	spojnica
jumper lead	spojnica
jumper lead	spojka
jumper lead	preponka
jumpiness	nervozita
jumpiness	nervóznosť
jumping	skákavý
jumping	skokanský
jumping	swingový
jumping	skočiť
jumping	skákavá
jumping	skákavé
jumping-off place	východisko
jumpy	nervózny
jumpy	podráždený
jumpy	hrkotajúci
jumpy	hegajúci
jumpy	rozheganý
jumpy	kostrbatý
junction	križovatka
junction	spojenie
junction	prechod
junction	dotyk
junction	uzol
junction	spojovanie
junction	spojka
junction	stanica
junction	sútok
junction	spoj
junction	kontakt
junction	styk
junction	priechod
junction	pripojenie
junction	prípojka
junction	spojovací
junction	prípojný
junction	uzlový
junction	pripojovací
junction	prepojovací
juncture	spojenie
juncture	spoj
juncture	švík
juncture	škára
juncture	chvíľa
juncture	situácia
juncture	dotykový
juncture	dotyková
juncture	dotykové
juncture	šev
June	jún
June beetle	chrúst
June beetle	babka
jungle	džungľa
jungle	húština
jungly	džungľovitý
jungly	nevychovaný
jungly	neotesaný
junior	nižší
junior	podriadený
junior	pomocný
junior	vedľajší
junior	druhý
junior	juniorský
junior	junior
junior	syn
junior	synátor
junior	malý
junior	dieťa
junior	mladší
juniper	borievka
junk	haraburdie
junk	odpadky
junk	starina
junk	peň
junk	klát
junk	vyradiť
junk	odhodiť
junk	smeti
junk	tesniaci
junket	hodovanie
junket	hostina
junket	hody
junket	piknik
junket	oslava
junket	hodovať
junketing	zábava
junketing	oslava
junketing	hodovanie
junketing	pijatika
junketing	party
junketing	banket
junky	bezcenný
junky	odpadový
junky	bezcenná
junky	bezcenné
junky	odpadová
junky	odpadové
junkyard	smetisko
junkyard	skládka
junta	junta
junta	chunta
jural	právny
jural	juristický
juridical	právny
juridical	právnický
juridical	súdny
juridical	riadny
jurisdiction	súdnictvo
jurisdiction	jurisdikcia
jurisprudence	právnictvo
jurist	advokát
jurist	sudca
juristic	jurista
juror	porotca
juror	prísažný
jury	porota
jury	jury
jury	náhradný
jury	provizórny
jury	núdzový
jury	rozhodca
jury	náhradná
jury	náhradné
jury	provizórna
jury	provizórne
juryman	porotca
jurywoman	porotkyňa
just	práve
just	celkom
just	správanie
just	zaslúžený
just	patričný
just	príslušný
just	presne
just	nedávno
just	sotva
just	iba
just	len
just	vlastne
just	plne
just	asi
just	oprávnený
