knottiness	zložitosť
knotty	zauzlený
knotty	hrčovitý
knotty	uzlovitý
knotty	zamotaný
knotty	spletitý
knout	knuta
knout	bičovať
knout	zbičovať
knout	vyšľahať
know	vedieť
know	poznať
know	ovládať
know	spoznať
know	rozoznať
know	rozlíšiť
know	skúsiť
know	oznámiť
know	rozoznávať
know	rozlišovať
know-all	vševed
know-how	skúsenosti
know-how	poznatky
know-how	informovanosť
know-how	znalosti
knowable	poznateľný
knowable	poznateľná
knowable	poznateľné
knowing	skúsený
knowing	znalý
knowing	znalecký
knowing	bystrý
knowing	chytrý
knowing	prefíkaný
knowing	módny
knowing	významný
knowing	významná
knowing	významné
knowing	skúsená
knowing	skúsené
knowing	odborný
knowing	odborná
knowing	odborné
knowing	chytrá
knowing	chytré
knowing	bystrá
knowing	bystré
knowing	informovaný
knowing	informovaná
knowing	informované
knowing	zbehlý
knowing	zbehlá
knowing	zbehlé
knowingly	znalecky
knowingly	chápavo
knowingly	vedome
knowingly	úmyselne
knowingly	inteligentne
knowingly	zámerne
knowledge	znalosť
knowledge	vedomosť
knowledge	znalosti
knowledge	vedomosti
knowledge	poznatky
knowledge	vzdelanie
knowledge	poznanie
knowledge	vedomie
knowledge	veda
knowledge	podvedomie
knowledgeability	informovateľnosť
knowledgeability	poučiteľnosť
knowledgeable	oboznámený
knowledgeable	zasvätený
knowledgeable	bystrý
knowledgeable	chytrý
knowledgeable	inteligentný
knowledgeable	informovaný
knowledgeable	informovaná
knowledgeable	informované
knowledgeable	vedomý
knowledgeable	erudovaný
known	známa
known	známe
known	poznaná
known	poznané
known	známy
known	vnímaný
known	poznaný
known	chápaný
knuckle	lakeť
knuckle	hánka
knuckle	kolienko
knuckle	udierať
knuckle	krídlo
knuckle	kĺb
knuckle	oblý
koala	koala
kook	bohém
kookie	nekonvenčný
kookie	výstredný
kookie	nekonvenčná
kookie	nekonvenčné
kookie	výstredná
kookie	výstredné
Koran	korán
Korean	kórejčan
Korean	kórejská
Korean	kórejské
Korean	kórejský
kraft	sulfátový
kremlin	pevnosť
kremlin	citadela
kremlin	kremeľ
Kremlin	pevnosť
Kremlin	citadela
krypton	kryptón
kudos	prestíž
kudos	česť
kyanite	kyanit
kyanite	distén
kymograph	kymograf
lab	laboratórium
lab	labolatórium
lab	laborka
label	menovka
label	označenie
label	vineta
label	etiketa
label	heslo
label	návestie
label	návestie
label	titulný
label	titulná
label	titulné
label	návesť
label	nálepkový
label	etiketovací
label	etiketovať
label	nálepka
label	visačka
label	štítok
label	označiť
labelled	značený
labial	pernica
labial	perný
labile	nestály
labile	nestála
labile	nestále
labile	labilný
labile	labilná
labile	labilné
labile	vratký
labile	nestabilný
labor	práca
labor	nástroj
labor	servis
laboratory	skúšobňa
laboratory	laboratórny
laboratory	zahŕňať
laboratory	laboratórium
laboratory	skúšobný
laboratory	experimentálny
laborer	robotník
laborious	pracný
laborious	ťažký
laborious	namáhavý
laborious	pracovitý
laborious	usilovný
laborious	ťarbavý
laborious	kostrbatý
laborious	nešikovný
laborious	ťažkopádny
labour	robota
labour	námaha
labour	úsilie
labour	robotníci
labour	pracovať
labour	robiť
labour	pracujúci
labour	drina
labour	práca
labour	robotníctvo
labour	odbory
labour	pracovný
labourer	nádenník
labourer	robotník
labyrinth	labyrintový
labyrinth	labyrint
labyrinth	bludisko
lac	šelak
lace	čipka
lace	šnúra
lace	lemovka
lace	šnúrka
lace	stuha
lace	páska
lace	lemovanie
lace	čipkový
lace	šnurovať
lace	biť
