laxative	preháňadlo
laxity	voľnosť
laxity	neviazanosť
laxity	nepresnosť
lay	neodborne
lay	ležal
lay	neodborný
lay	poloha
lay	zameranie
lay	smer
lay	pole
lay	rozmiestenie
lay	ukladať
lay	niesť
lay	naklásť
lay	pokrývať
lay	nanášať
lay	vyrubovať
lay	dávať
lay	umiestiť
lay	zasadiť
lay	upokojiť
lay	prestierať
lay	pripravovať
lay	predkladať
lay	zniesť
lay	umiestnený
lay	umiestnená
lay	umiestnené
lay	položený
lay	položená
lay	položené
lay	náložka
lay	laik
lay	zakrúcanie
lay	skrut
lay	predlohový
lay	ležatý
lay	vodorovný
lay	klásť
lay	položiť
lay	podiel
lay	stanoviť
lay	laický
lay	svetský
lay aside	odkladať
lay aside	odložiť
lay down	položiť
lay down	uložiť
lay down	uskladniť
lay down	zložiť
lay down	obetovať
lay down	načrtnúť
lay off	prepustiť
lay out	vyložiť
lay out	vydať
lay out	naplánovať
lay out	projektovať
lay out	usporiadať
lay out	rozvrhnúť
lay out	vystaviť
lay out	zraziť
lay out	zabiť
lay out	načrtnúť
lay out	orysovať
lay out	plánovať
lay out	rozplánovať
lay out	rozmiestňovať
lay out	rozložiť
lay out	trasovať
lay out	vymeriavať
lay out	vytyčovať
lay up	uskladniť
lay up	vyradiť
layer	rez
layer	sloj
layer	nosnica
layer	hráč
layer	odnož
layer	výhonok
layer	ložisko
layer	vrstva
layer	množiť
layer	rozmnožiť
layer	rada
layer	úroveň
layer	poloha
layer	preplástok
layer	odrezok
layer	pokladač
layer	vrstvený
layer	polohový
layer	priehradkový
laying	kladenie
laying	rysovanie
laying	orysovanie
laying	stavanie
laying	ukladací
laying	podkladací
layman	neodborník
layman	nekňaz
layman	laik
layman	neprofesionál
layoff	odstávka
layout	schéma
layout	náčrt
layout	rozmiestenie
layout	špecifikácia
layout	rozdelenie
layout	usporiadanie
layout	zadanie
layout	rozmiestniť
layout	usporiadať
layout	rozloženie
layout	zmena
layout	úprava
layout	štruktúra
layout	vymeranie
layout	trasovanie
layout	vytýčenie
layout	orysovanie
layout	návrh
layout	územný
layout	zastavovací
layout	montážny
layout	formátovací
layout	orysovací
layout	stav
layout	situácia
layout	rozmiestnenie
layout	nákres
layout	plán
layout	zámer
layout	projekt
layout	formát
laziness	lenivosť
lazy	liknavý
lazy	lenivý
lazy	lenivá
lazy	lenivé
lea	pásmica
lea	pradienko
leach	vylúhovadlo
leach	soľanka
leach	extrahovať
leach	vylúhovať
leaching	lúhovanie
leaching	extrakcia
leaching	priepustný
leaching	extrakčný
leaching	moriaci
lead	viesť
lead	vedenie
lead	prvenstvo
lead	vodcovstvo
lead	iniciatíva
lead	olovo
lead	tip
lead	tuha
lead	olovnica
lead	sonda
lead	príklad
lead	pokyn
lead	remienok
lead	vodiť
lead	predbiehať
lead	spravovať
lead	žiť
lead	pohnúť
lead	sužovať
lead	začať
lead	ovplyvňovať
lead	presviedčať
lead	grafit
lead	preložka
lead	predstih
lead	stúpanie
lead	sklon
lead	rámček
lead	prievlačnica
lead	predbiehanie
lead	vývod
lead	olovený
lead	olovnatý
lead	olovičitý
lead	vodiaci
lead	riadiť
lead	priviesť
lead	začínať
lead off	začať
lead off	začínať
lead off	otvárať
lead off	otvoriť
lead-in	zvod
lead-in	prívod
lead-in	priechodka
lead-in	uvedenie
leaded	poolovený
leaded	prekladaný
leaded	etylizovaný
