limousine	limuzína
limp	krívanie
limp	mäkký
limp	ohybný
limp	slabý
limp	nepevný
limp	chabý
limp	krívať
limp	krívavosť
limp	malátny
limp	mátožný
limpet	kliešť
limpid	jasný
limpid	čistý
limpid	priezračný
limpid	priesvitný
limpid	číry
limpidity	prehľadnosť
limpidity	priezračnosť
limpidity	čírosť
lindane	lindán
linden	lipa
line	priamka
line	krivka
line	linka
line	vedenie
line	šnúra
line	povraz
line	drôt
line	spoj
line	trať
line	rad
line	hranica
line	vráska
line	pás
line	rovník
line	smer
line	linkovať
line	lemovať
line	podšívať
line	podšiť
line	futrovať
line	vyfutrovať
line	nalinkovať
line	odbor
line	priamkový
line	krivkový
line	riadkový
line	odborový
line	lineárny
line	ryska
line	ryha
line	škrabnutie
line	škrabanec
line	trasa
line	riadková
line	riadkové
line	prenosový
line	prenosová
line	prenosové
line	líniový
line	líniová
line	líniové
line	linárny
line	linárna
line	linárne
line	lano
line	sieť
line	lanovka
line	kanál
line	riadok
line	čiarka
line	limit
line	siločiara
line	čiarkový
line	linkový
line	čiarový
line	priamočiary
line	priamy
line	línový
line	súradnicový
line	odkladať
line	obložiť
line	obmurovať
line	vylievať
line	vymazať
line	vykladať
line	vyplňovať
line	línia
line	čiara
line	rodokmeň
line block	perovka
line drawing	perovka
line drawing	rys
line drawing	črta
line drawing	perokresba
line feed	riadkovanie
line of business	obor
line of force	siločiara
line up	napojenie
line up	vyrovnať
line up	zoradiť
lineage	pôvod
lineage	rod
lineage	rodina
lineage	rodokmeň
lineage	rasa
lineage	potomstvo
lineal	priamy
lineament	črta
linear	čiarovitý
linear	lineárny
linear	čiarkovaný
linear	lineárna
linear	lineárne
linear	spojitý
linear	spojitá
linear	spojité
linear	priamkový
linear	čiarový
linear	dĺžkový
linearity	linearita
linearity	lineárnosť
lineation	šraf
lineation	šrafúra
lineation	lineácia
lined	vymurovaný
lined	obmurovaný
lined	pažený
lineman	strážnik
lineman	pochôdzkár
linen	plátno
linen	bielizeň
linen	plátený
linen	plátená
linen	plátené
linen	ľanová
linen	ľanové
linen	plátennícky
linen	plátenný
linen	ľanový
liner	puzdro
liner	podložka
liner	parník
linesman	postranný
linesman	rozhodca
linesman	rysovač
linesman	traťmajster
linger	ostávať
linger	ostať
linger	neodísť
linger	váhať
linger	odkladať
linger	otáľať
linger	neodchádzať
lingo	žargón
lingual	jazyčnica
lingual	jazykový
lingual	rečový
lining	podšívka
lining	futro
lining	obloženie
lining	obkladačka
lining	linkovanie
lining	vyloženie
lining	obkladanie
lining	vymurovanie
lining	ostenie
lining	paženie
lining	poťahovanie
lining	doštenie
lining	opevnenie
lining	podšívkový
lining	poťahovací
lining	vymurovkový
link	spojivo
link	spojka
link	puto
link	väzba
link	ohnivo
link	slučka
link	očko
link	spoj
link	článok
link	zlúčenie
link	spojovací
link	spojovacia
link	spojovacie
link	kĺb
link	spriahadlo
link	nitienka
link	kulisa
link	spoj
link	ohnivko
link	spona
link	člen
link	kulisový
link	pilotážny
link	kĺbový
link	článkový
