literally	doslova
literary	literárny
literary	spisovný
literate	gramotný
literature	literatúra
literature	písomníctvo
literature	spisba
lithe	pružný
lithe	ohybný
lithe	hybký
lithium	lítny
lithium	lítium
lithium	lítiový
lithographer	kameňorytec
lithographer	litograf
lithography	litografia
lithography	kameňotlač
litigation	proces
litigious	sporný
litmus	lakmus
litmus	lakmusový
litre	liter
litter	smrti
litter	haraburdy
litter	špina
litter	vrh
litter	nosidlá
litter	neporiadok
litter	podstieľka
litter	ustlať
litter	vystlať
litter	rozhadzovať
litter	hnoj
litter	stelivo
litter	odpadky
little	trochu
little	málo
little	malý
little	trocha
little	neveľa
little	drobný
little	maličký
little	maličkosť
little	krátky
little	úbohý
little	nízky
little	niečo
little	chvíľka
little	malicherný
little	malá
little	malé
little	maličká
little	maličké
little	krátka
little	krátke
little	mladý
little by little	postupne
little by little	pomaly
little by little	nenáhlivo
little by little	pozvoľna
little by little	zvoľna
little by little	mierne
little by little	znenazdajky
little by little	postupne
little finger	malíček
littoral	pobrežie
littoral	pobrežný
littoral	litorálny
littoral	príbežný
littoral	prímorský
liturgical	liturgický
liturgical	liturgická
liturgical	liturgické
livable	družný
livable	obývateľný
livable	znesiteľný
livable	spoločenský
livable	znášanlivý
live	živý
live	horúci
live	žeravý
live	pálčivý
live	aktuálny
live	nepoužitý
live	nabitý
live	čulý
live	aktívny
live	podnikavý
live	nevybuchnutý
live	neupotrebený
live	prežiť
live	trvať
live	pretrvať
live	hnací
live	poháňaný
live	napätie
live	žiť
live	bývať
live down	prekonať
live out	prežiť
livelihood	existencia
livelihood	živobytie
lively	živý
lively	svieži
lively	čulý
lively	rezký
lively	rušný
lively	veselý
lively	pestrý
lively	bujný
lively	rýchly
lively	temperamentný
liver	pečeň
liver	pečienka
liver	ortuťový
liver	pečeňový
liver	hustnúť
liver	zhustnúť
liverish	mrzutý
liverish	nevrlý
livery	livrej
livery	oblečenie
livery	odev
livery	háv
livery	šat
livery	zovňajšok
livery	požičovňa
livestock	dobytok
livestock	statok
living	život
living	žitie
living	životný
living	živý
living	žijúci
living	súčasný
living	silný
living	mocný
living	účinný
living	benefícium
living	živá
living	živé
living	jasný
living	jasná
living	jasné
living	obživa
living	existencia
living	prežívanie
living	živobytie
living	bývanie
living room	obývačka
living-room	obývačka
living-room	obývací
living-room	životný
lizard	jašterica
lizard	jašter
load	ukladanie
load	zavádzanie
load	nakladať
load	zamestnanosť
load	záťaž
load	náboj
load	nálož
load	ťarcha
load	váha
load	nosnosť
load	náklad
load	zavádzať
load	nasadiť
load	plniť
load	zaťažovať
load	prepchať
load	navaliť
load	zahŕňať
load	obsypať
load	nabíjať
load	preťažovať
load	uložiť
load	naplniť
load	výkon
load	bremeno
load	zaťaženie
load	únosnosť
load	závažie
load	výtlak
load	ukldanie
load	nasadenie
load	nákladný
load	zaťažkávací
load	závažový
load	pupinačný
load	rozvážací
load	zaťažený
load	režijný
load	zaťažovací
load	upnúť
load	vsadiť
load	naložiť
load	zaťažiť
load factor	zaťažovateľ
load up	nakladať
