load up	naložiť
loaded	zaťažený
loaded	nabitý
loaded	pupinovaný
loaded	zavedený
loaded	načítaný
loaded	zaťažovaný
loaded	navinutý
loaded	naplnený
loaded	zazobaný
loaded	namazaný
loaded	sfalšovaný
loader	zavádzač
loader	nakladač
loader	vkladač
loader	nakladací
loading	záťaž
loading	zaťažovanie
loading	zaťaženie
loading	zavádzanie
loading	zavedenie
loading	nahranie
loading	nakladanie
loading	plnenie
loading	vkladanie
loading	vloženie
loading	kapacita
loading	nahadzovanie
loading	plnivo
loading	ložný
loading	plniaci
loading	pupinačný
loading	zaťažovací
loading	pupinový
loading	nákladný
loading	upínací
loading	zavádzací
loading	nakladací
loading	náklad
loading	prirážka
loaf	homola
loaf	bochník
loaf	hlávka
loaf	zaháľanie
loaf	záhaľka
loaf	zaháľať
loaf	leňošiť
loaf	postávať
loaf	darebáčiť
loaf	homoľa
loaf	homoľový
loaf	chlebový
loafer	povaľač
loafer	zaháľač
loafer	darebák
loafer	leňoch
loam	íl
loam	hlina
loam	hlinený
loam	hlinitopiesočnatý
loamy	ílovitý
loamy	ílnatý
loan	pôžička
loan	požičať
loan	požičanie
loan	požičiavanie
loan	požičiavať
loan	úverový
loan	úver
loan shark	úžerník
loath	neochotný
loath	nerád
loathe	nenávidieť
loathing	odpor
loathing	hnus
loathing	averzia
lob	rebrík
lob	stupeň
lobby	vestibul
lobby	foyer
lobby	predsieň
lobby	ovplyvňovať
lobby	kuloáry
lobby	lobby
lobby	intervencia
lobby	agitovať
lobby	intervenovať
lobe	západka
lobe	lalok
lobe	vačka
lobe	zväzok
local	lokálny
local	lokálka
local	čiastkový
local	obmedzený
local	krčma
local	miestna
local	miestne
local	lokálna
local	lokálne
local	domorodec
local	miestny
localise	lokalizovať
localise	obmedziť
localise	umiestiť
localise	obmedzovať
locality	miesto
locality	oblasť
locality	miestnosť
locality	poloha
locality	umiestenie
locality	lokalita
localization	lokalizácia
localize	lokalizovať
localize	obmedziť
localized	lokalizovaný
localized	miestny
localized	sústredený
locally	miestne
locate	vyhľadávať
locate	lokalizovať
locate	určiť
locate	určovať
locate	vymedziť
locate	zisťovať
locate	položiť
locate	umiestiť
locate	vložiť
locate	umiestniť
locate	zachytiť
locate	vyhľadať
locate	zistiť
locate	nájsť
located	uložená
located	uložené
located	lokalizovaný
located	lokalizovaná
located	lokalizované
locating	umiestnenie
locating	poloha
location	umiestnenie
location	pozemok
location	pozícia
location	poloha
location	lokalizácia
location	uloženie
location	vyhľadávanie
location	zistenie
location	situačný
location	rozkladací
location	zakladací
location	miesto
location	montážny
locator	rádiolokátor
locator	hľadač
locator	lokalizátor
locator	vyhľadávač
locator	lokátor
loch	jazero
loch	fjord
lock	zámka
lock	uzáver
lock	stavidlo
lock	vzdúvadlo
lock	zátarasa
lock	kader
lock	kučera
lock	zámok
lock	uzamknutý
lock	zaistiť
lock	prehradiť
lock	zamknúť
lock	zvierať
lock	stláčať
lock	prehrádzať
lock	blokujú
lock	blokovanie
lock	blokovací
lock	blokovacia
lock	blokovacie
lock	záverný
lock	poistný
lock	zabezpečovací
lock	svetlíkový
lock	závorníkový
lock	retiazkový
lock	preplátovací
lock	prítužný
lock	zafixovať
lock	blokovať
lock away	schovať
lock away	uschovať
lock in	zamknúť
lock out	vymknúť
lock out	vylúčiť
lock up	zatvoriť
lock up	uschovať
lock up	zamknúť
lock up	uväzniť
locked	zablokuje
