lonely	osamelé
long	dlhý
long	dlho
long	dĺžka
long	ďaleký
long	dávno
long	dlhá
long	dlhé
long ago	dávno
long distance	diaľkový
long time	dlho
long-distance	diaľkový
long-legged	dlhonohý
long-legged	nohatý
long-lived	dlhoveký
long-lived	zakorenený
long-lived	odolný
long-range	dlhodobý
long-range	výhľadový
long-range	perspektívny
long-range	ďalekonosný
long-range	diaľkový
long-run	dlhodobý
long-standing	dlodobý
long-standing	dlhoročný
long-term	dlhodobý
long-term	dlhoročný
longer	dlhší
longer	dlhšie
longing	túžba
longing	bažiaci
longing	túžobný
longing	dychtivý
longitude	dĺžka
longitudinal	podlhovastý
longitudinal	pozdĺžny
look	vyzerať
look	vzhľad
look	výraz
look	pohľad
look	pozerať
look	hľa
look	hľadieť
look	prezerať
look	skúmať
look	preskúmať
look	hľadať
look for	hľadať
look for	dúfať
look like	vyzerať
look like	ako
look out	pozornosť
look out	opatrnosť
look out	výhľad
look up	vzhliadnuť
look up	vyhľadávanie
looker-on	divák
looking	pohľad
looking	pozerajúci
lookout	strážny
lookout	strážnik
lookup	vyhľadávanie
loom	krosná
loop	očko
loop	premet
loop	looping
loop	krúžok
loop	kruh
loop	obrúčka
loop	obruč
loop	slučka
loop	cyklus
loop	loping
loophole	strielňa
loophole	medzera
loose	voľný
loose	rozkývaný
loose	nepresný
loose	nespútaný
loose	uvoľnený
loose	kyprý
loose	sypký
loose	laxný
loose	neporiadny
loose	strácať
loose	prehrať
loose	meškať
loose	prerábať
loose	doplatiť
loose	škodovať
loose	rozväzovať
loose	nezachytiť
loose	voľná
loose	voľné
loose	nepresná
loose	nepresné
loose	neurčitý
loose	neurčitá
loose	neurčité
loose	nespojitý
loose	nespojitá
loose	nespojité
loose woman	nemravnica
loosely	lúpež
looseness	nepresnosť
loot	korisť
loot	lup
loot	plieniť
loot	drancovať
loot	lúpiť
loot	zbíjať
loot	ukoristiť
loot	vyplieniť
loot	vypaľovať
loot	olúpiť
loot	ozbíjať
loot	vydrancovať
lop	vetvičky
lop	konáre
lop	obsekávať
lop	obsekať
lop	obtínať
lop	obťať
lop	odseknúť
lop	odťať
lop	visieť
lop	ovisnúť
lop	spúšťať
lop	opustiť
lope	hopkanie
lope	poskakovanie
lope	hopkať
lope	skackať
lope	poskakovať
lope	vyskakovať
loquacious	mnohovravný
loquacious	zhovorčivý
loquacious	džavotavý
loquacious	štebotavý
loquacity	zhovorčivosť
loquacity	mnohovravnosť
lord	pán
lord	šľachtic
lord	vládca
lord	boh
lord	majiteľ
lord	lord
lordly	veľkolepý
lordly	vznešený
lordly	dôstojný
lordly	namyslený
lordly	pyšný
lordly	panovačný
lordly	veľkopanský
Lordship	lordstvo
lordship	vláda
lordship	moc
lordship	panstvo
lordship	milosť
lordship	výsosť
lordship	jasnosť
lordship	vlastníctvo
lordship	veľkostatok
lordship	urodzenosť
lore	náuka
lore	vedomosti
lore	tradícia
lore	podanie
lorry	kamión
lorry	plošniak
lose	stratiť
lose	prehrať
lose	zruinovať
lose	zničiť
loser	porazený
loser	prehrávajúci
loser	stroskotanec
loss	prehra
loss	nevýhoda
loss	strata
loss	úbytok
loss	pokles
loss	straty
loss	škoda
loss	stratový
loss	škodový
loss	ujma
lossless	bezstratový
lossy	stratový
lossy	stratová
lossy	stratové
lost	stratená
lost	stratené
lost	nespracovaný
lost	nespracovaná
lost	nespracované
lost	stratený
lot	veľa
lot	množstvo
lot	miesto
