mandate	smernica
mandatory	direktívny
mandatory	zaviazaný
mandatory	povinný
mandible	čeľusť
mandible	zobák
mandibular	mandibulárny
mandolin	mandolína
mandolin	mandolínovitý
mandrel	priebojník
mandrel	tŕň
mandrel	vreteno
mandrel	mandrelový
mandrill	mandril
mane	hriva
manful	mužný
manful	smelý
manful	rozhodný
manful	odhodlaný
manful	statočný
manful	chlapský
manfulness	mužnosť
manfulness	statočnosť
manfulness	rozhodnosť
manfulness	odhodlanosť
mangabey	mangabej
manganate	mangánan
manganate	manganičitan
manganate	vápenatý
manganese	mangán
manganite	manganitan
manganite	manganit
mange	prašivina
mange	svrab
manger	žľab
manger	válov
manger	jasle
manger	koryto
manger	korýtko
manginess	ošúchanosť
manginess	špinavosť
mangle	mangeľ
mangle	mangľovať
mangle	rozsekať
mangle	roztrhať
mangle	rozbiť
mangle	kaličiť
mangle	dokaličiť
mangle	mrzačiť
mangle	zmrzačiť
mangle	kaziť
mangle	okypťovať
mangle	znetvoriť
mangle	lis
mangle	lisovať
mango	mango
mango	mangovník
mangy	zanedbaný
mangy	biedny
mangy	špinavý
mangy	zaprašivený
mangy	ošúchaný
manhandle	viesť
manhandle	pohybovať
manhandle	zbiť
manhandle	stĺcť
manhandle	tĺcť
manhandle	biť
manhole	prielez
manhole	studňa
manhood	zrelosť
manhood	mužnosť
manhood	zmužilosť
manhood	odvaha
manhood	muži
manhood	dospelosť
mania	zúrivosť
mania	mánia
maniac	maniak
maniac	šialenec
maniac	nadšenec
manic	maniacký
manic	šialený
manic	manický
manic	maniakálny
Manichaean	manichejský
Manichaean	manichejec
manicure	manikúra
manicure	manikér
manicure	manikérka
manicurist	manikér
manicurist	manikérka
manifest	jasný
manifest	očividný
manifest	evidentný
manifest	pochopiteľný
manifest	odhaľovať
manifest	odhaliť
manifest	dokazovať
manifest	dokázať
manifest	prejavovať
manifest	manifestovať
manifest	zapisovať
manifest	súpis
manifest	zrejmý
manifest	zjavný
manifestation	prejav
manifestation	prejavovanie
manifestation	prejavenie
manifestation	manifestácia
manifestation	zjavenie
manifestation	materializácia
manifestation	vyhlásenie
manifestation	oznámenie
manifestation	vyhláška
manifesto	prevolanie
manifesto	vyhlásenie
manifesto	proklamácia
manifesto	prehlásenie
manifesto	manifest
manifold	odklep
manifold	obťah
manifold	potrubie
manifold	početný
manifold	rozmanitý
manifold	rozličný
manifold	mnohoraký
manifold	mnohonásobný
manifold	všelijaký
manifold	mnohotvárny
manifold	pestrý
manifold	rozmnožovať
manifold	rozmnožiť
manifold	hektografovať
manifold	varieta
manifold	rozvetvujúci
manifold	rozvádzací
manikin	človiečik
manikin	trpaslík
manikin	model
manikin	figurína
manikin	panák
manikin	manekýnka
manikin	manekýn
manikin	piadimužík
manikin	mužíček
manikin	škriatok
manikin	trpasličí
manila	manila
manila	manilový
manioc	maniok
manioc	manioka
manipulability	manipulovateľnosť
manipulate	zaobchádzať
manipulate	narábať
manipulate	vplývať
manipulate	ovplyvňovať
manipulate	ovplyvniť
manipulate	manipulovať
manipulate	spracovať
manipulate	operovať
manipulate	falšovať
manipulation	manipulovanie
manipulation	manipulácia
manipulation	spracovanie
manipulation	falšovanie
manipulative	manipulujúci
manipulative	podvodný
manipulative	nápravný
manipulator	manipulátor
manipulator	obracač
manipulator	ovládač
mankind	muži
mankind	ľudstvo
manky	podradný
manky	zlý
manky	špinavý
manlike	mužský
manlike	chlapský
manlike	mužný
manliness	mužnosť
manliness	statočnosť
manliness	srdnatosť
manliness	odvážnosť
manly	mužný
manly	statočný
manly	srdnatý
manly	odvážny
manned	pilotovaný
manned	riadený
mannequin	manekýn
mannequin	manekýnka
mannequin	figurína
manner	metóda
manner	chovanie
manner	správanie
manner	maniery
manner	mravy
manner	sloh
manner	štýl
