abortive	abortívny
aboulia	abúlia
abound	oplývať
about	skoro
about	dookola
about	pri
about	na
about	ohľadom
about	hore
about	nablízku
about	opačne
about	po
about	info
about	približne
about	okolo
about	asi
about-face	otočiť
about-face	obrat
above	nad
above	nahor
above	predovšetkým
above	navrchu
above	nažive
above	mimo
above	ponad
above	vyše
above	hore
above	zhora
above	naviac
above	vyššie
above all	predovšetkým
aboveboard	čestný
aboveboard	úprimný
aboveboard	riadny
aboveboard	čestne
aboveboard	úprimne
abracadabra	abrakadabra
abracadabra	zaklínadlo
abracadabra	hatlanina
abradant	brúsivo
abrade	odrať
abrade	oškrabávať
abrade	pieskovať
abrade	obrusovať
abrade	zbrusovať
abrader	odierač
abrader	obrusovač
abrasion	obrusovanie
abrasion	odrenina
abrasion	odieranie
abrasion	trenie
abrasion	obrúsenie
abrasion	opotrebovanie
abrasion	oter
abrasion	brúsenie
abrasion	obrúsiť
abrasion	abrázia
abrasive	brúsny
abrasive	odierajúci
abrasive	drsný
abrasive	hrubý
abrasive	brusivo
abrasive	brúsna
abrasive	brúsne
abrasive	retušovací
abrasive	retušovacia
abrasive	retušovacie
abrasive	korund
abrasiveness	hrubosť
abrasiveness	drsnosť
abreact	odreagovať
abreaction	odreagovanie
abreaction	uvoľnenie
abreast	naproti
abridge	obmedziť
abridge	zostručniť
abridge	zmenšiť
abridge	znížiť
abridge	zhustiť
abridge	skrátiť
abridged	skrátené
abridged	skrátená
abridged	skrátený
abridgement	zhustenie
abridgement	skrátenie
abridgement	krátenie
abridgement	výťah
abridgement	výňatok
abridgment	výťah
abridgment	výňatok
abridgment	skrátenie
abridgment	zhustenie
abroach	načatý
abroad	zoširoka
abroad	obšírne
abroad	široko
abroad	vonku
abroad	platný
abroad	prístupný
abroad	zahraničie
abroad	von
abroad	mimo
abroad	zahraničný
abroad	rozšírený
abrogate	odstrániť
abrogate	anulovať
abrogate	zrušiť
abrogate	odvolať
abrogation	odstránenie
abrogation	zrušenie
abrogation	odvolanie
abrupt	prudký
abrupt	strmý
abrupt	trhavý
abrupt	strohý
abrupt	britký
abrupt	ostrý
abrupt	pretrhnutý
abrupt	prerušený
abrupt	zlomený
abrupt	trhaný
abrupt	príkry
abrupt	úsečný
abrupt	náhle
abrupt	strmo
abrupt	britká
abrupt	britké
abrupt	náhla
abrupt	strmá
abrupt	strmé
abrupt	nesúvislý
abrupt	náhly
abrupt	neočakávaný
abruption	zlomenie
abruption	prerušenie
abruption	pretrhnutie
abruption	odlomenie
abruptly	náhle
abruptly	neočakávane
abruptness	trhanosť
abruptness	strohosť
abruptness	úsečnosť
abruptness	neočakávanosť
abruptness	príkrosť
abruptness	náhlosť
abscess	hľuza
abscess	nádor
abscess	vred
abscess	absces
abscissa	súradnica
abscissa	úsečka
abscissa	abscisa
abscission	odrezanie
abscission	odstrihnutie
abscission	oddelenie
abscission	odňatie
abscond	uniknúť
abscond	ujsť
abscond	unikať
absence	nedostatok
absence	nedostavenie
absence	neexistencia
absence	roztržitosť
absence	absencia
absence	neprítomnosť
absent	roztržitý
absent	nepozorný
absent	chýbajúci
absent	neexistujúci
absent	zamyslený
absent	neprísť
absent	neprítomná
absent	neprítomné
absent	neprítomný
absentee	absentér
absenteeism	absentérstvo
absolute	úplný
absolute	neobmedzený
absolute	zvrchovaný
absolute	naprostý
absolute	absolútne
absolute	absolútny
absolute	vonkoncom
absolute	hotový
absolute	absolutistický
absolute	presvedčivý
absolute	pozitívny
absolute	nepochybný
absolute	bezpodmienečný
absolute	dôrazný
absolute	absolútno
absolute	plný
absolute	absolútna
absolute	presvedčivá
absolute	presvedčivé
absolute	pevný
absolute	pevná
absolute	pevné
absolute	nepodmienený
absolute	totálny
