medallist	medailista
meddler	dotieravec
meddlesome	dotieravý
meddlesome	obťažujúci
mediaeval	stredoveký
mediaeval	stredoveká
mediaeval	stredoveké
medial	stredný
medial	priemerný
medial	prostredný
medial	obyčajný
medial	bežný
medial	stredná
medial	stredné
medial	prostredné
medial	stredový
medial	stredová
medial	stredové
medial	priemerná
medial	priemerné
medial	prostredná
median	striedavý
median	prostredný
median	stredový
median	medián
median	ťažnica
median	neutrálny
mediate	stredový
mediate	stredný
mediate	vyjednávať
mediate	vyjednať
mediate	urovnať
mediate	zmieriť
mediate	sprostredkovať
mediate	sprostredkovaná
mediate	sprostredkované
mediate	nepriama
mediate	nepriame
mediate	priamy
mediate	nepriamy
mediate	sprostredkovaný
mediate	sprostredkovávať
mediation	sprostredkovanie
mediation	interpolácia
mediator	sprostredkovateľ
mediatorial	sprostredkovateľský
mediatory	sprostredkovateľský
mediatrix	sprostredkovateľka
medic	medik
medic	doktor
medic	zdravotník
medical	medik
medical	lekársky
medical	liečebný
medical	liečivý
medical man	doktor
medical man	lekár
medical record	chorobopis
medical student	medik
medical student	medička
medicament	liek
medicament	liečivo
medicament	medikament
medicate	liečiť
medication	liečenie
medicinal	lekársky
medicinal	liečivý
medicinal	hojivý
medicine	čary
medicine	mágia
medicine	fetiš
medicine	lekárstvo
medicine	liek
medicine	medicína
medicine	kúzlo
medicine	liečiť
medicine	liečivo
medicine ball	medicinbal
medicine chest	lekárnička
medico	doktor
medico	medik
medico	zdravotník
medieval	stredoveký
medieval	medieválny
mediocre	priemerný
mediocre	obyčajný
mediocre	prostredný
mediocrity	priemernosť
mediocrity	prostrednosť
mediocrity	tuctovosť
meditate	rozmýšľať
meditate	meditovať
meditate	premýšľať
meditate	rozjímať
meditate	uvažovať
meditate	hĺbať
meditate	plánovať
meditation	premýšľanie
meditation	uvažovanie
meditation	meditácia
meditative	premýšľavý
meditative	meditatívny
meditativeness	premýšľavosť
meditativeness	meditatívnosť
Mediterranean	stredozemný
medium	prostriedok
medium	spôsob
medium	stredný
medium	stred
medium	priemerný
medium	mierny
medium	prostredie
medium	rozrieďovač
medium	prostredný
medium	prostredníctvo
medium	kompromis
medium	médium
medium	materiál
medium	roztok
medium	medián
medium	médium
medium	stredná
medium	stredné
medium	náplň
medium	nositeľ
medium	nálev
medley	zmes
medley	miešanina
medley	zmiešaný
medley	pestrý
medley	pomiešať
medley	zmiešať
medley	bitka
medulla	dreň
medullary	dreňový
Medusa	medúza
medusoid	medúzovitý
meek	mierny
meek	trpezlivý
meek	pokorný
meek	poddajný
meekness	miernosť
meekness	poddajnosť
meekness	trpezlivosť
meekness	pokora
meerschaum	sépiolit
meet	stretnúť
meet	poznať
meet	stretnutie
meet	zraz
meet	preteky
meet	správny
meet	primeraný
meet	vhodný
meet	súci
meet	splniť
meet	vyhovovať
meet	odpovedať
meet	zvládnuť
meet	čeliť
meet	riešiť
meet	pristúpiť
meet	zápas
meet	križovatka
meet	zodpovedať
meet	vítať
meet	jednať
meet	prichádzať
meet	prienik
meet	hradiť
meet	uspokojovať
meet	zaplatiť
meet	vyrovnať
meet	uhradiť
meet	vyhovieť
meet	uspokojiť
meeting	zraz
meeting	súboj
meeting	preteky
meeting	zápas
meeting	križovatka
meeting	rázcestie
meeting	sútok
meeting	zasadanie
meeting	míting
meeting	zjazd
meeting	schôdzka
meeting	stretnutie
meeting	schôdza
meeting	zhromaždenie
megabit	megabit
megabyte	megabajt
megabyte	slabika
megabyte	megabyte
megacycle	megacyklus
megacycle	megahertz
megaflop	megaflop
megahertz	megahertz
megalith	megalit
megalomania	velikášstvo
