megalopolis	veľkomesto
megalosaurus	megalosaurus
megaphone	megafón
megaphone	vytrubovať
megaton	megatona
megawatt	megawatt
megohm	megaohm
megohm	odporový
megrim	vrtoch
megrim	rozmar
megrim	clivosť
megrim	motolica
megrim	skľúčenosť
megrim	depresia
megrim	melanchólia
megrim	migréna
megrim	nápad
megrims	motolica
megrims	skľúčenosť
megrims	závrat
melamine	melamínový
melamine	melamín
melancholia	melanchólia
melancholiac	melancholik
melancholic	melancholický
melancholic	zádumčivý
melancholic	melancholik
melancholy	melanchólia
melancholy	zádumčivosť
melancholy	depresia
melancholy	melancholický
melancholy	zádumčivý
melancholy	depresívny
melancholy	smutný
melange	zmes
melanin	melanín
meld	zmes
meld	hlásiť
meld	hlásenie
melee	šarvátka
melee	zmätok
melee	tlačenica
melee	bitka
meliorate	zlepšiť
melioration	meliorácia
mellifluous	medový
mellow	rozvážny
mellow	aromatický
mellow	bodrý
mellow	podnapitý
mellow	zmäkčiť
mellow	sladiť
mellow	zjemniť
mellow	zmäknúť
mellow	dozrieť
mellow	dozrievať
mellow	mäkčiť
mellow	mäknúť
mellow	kypriť
mellow	skypriť
mellow	kyprieť
mellow	skyprieť
mellow	zladený
mellowness	jemnosť
mellowness	lahodnosť
mellowness	zladenosť
mellowness	vyrovnanosť
mellowness	múdrosť
mellowness	porozumenie
mellowness	bodrosť
mellowness	podnapitosť
melodic	melodický
melodious	melodický
melodious	ľúbezný
melodiousness	melodičnosť
melodrama	melodráma
melodramatic	melodramatický
melody	melódia
melody	nápev
melody	spievať
melody	melodizovať
melon	melón
melon	korisť
melt	roztopiť
melt	roztaviť
melt	rozpustiť
melt	zmäknúť
melt	obmäkčiť
melt	prejsť
melt	prechádzať
melt	ukludňovať
melt	tavenina
melt	tavba
melt	roztápať
melt	topenie
melt	homogenizačný
melt	topiť
melt	taviť
melt	vytápať
melt down	roztaviť
melt down	taviť
meltable	topiteľný
meltable	taviteľný
meltdown	tavenie
melted	rozpustený
melter	tavič
melter	rozohrievač
melting	jemný
melting	nežný
melting	rozcitlivený
melting	sentimentálny
melting	upokojujúci
melting	tavenina
melting	zlievárenský
melting	zlievárenská
melting	zlievárenské
melting	tavenie
melting	topenie
melting	roztopenie
melting	rozpúšťanie
melting	taviaci
melting	výtavný
melting	roztápací
member	úd
member	príslušník
member	súčasť
member	orgán
member	veta
member	končatina
member	článok
member	prút
member	strana
member	člen
member	poslanec
Member of Parliament	poslanec
membered	rozčlenený
membered	rozčlenená
membered	rozčlenené
membered	článkovaný
membered	článkovaná
membered	článkované
memberless	nečlenený
memberless	nerozčlenený
memberless	nerozčlenená
memberless	nerozčlenené
memberless	nečlánkovaný
memberless	nečlánkovaná
memberless	nečlánkované
membership	členovia
membership	členská
membership	členské
membership	členstvo
membership	členský
membership card	legitimácia
membrane	membrána
membrane	blana
membrane	membránový
membranous	blanovitý
membranous	membránový
membranous	blanitý
memento	memento
memento	pripomienka
memento	stopa
memento	pozostatok
memento	spomienka
memo	poznámka
memo	memorandum
memo	záznam
memoir	správa
memoir	popis
memoir	história
memoir	spomienka
memoir	monografia
memorability	pozoruhodnosti
memorable	pamätný
memorable	pamätihodný
memorable	nezabudnuteľný
memorable	pozoruhodný
memorable	vynikajúci
memoranda	poznámky
memoranda	záznamy
memorandum	poznámka
memorandum	pripomienka
memorandum	zápisnica
memorandum	vyhlásenie
memorandum	memorandum
memorandum	list
memorandum	prípis
memorandum	zaznamenať
memorandum	stanovy
memorandum	záznam
memorandum	zápis
memorandum	dokument
memorandum	prehlásenie
memorial	pamätník
memorial	pomník
memorial	petícia
memorial	pamätný
memorial	kronika
memorial	letopis
