monotypic	monotypický
monovalent	jednomocný
monovalent	monovalentný
monoxide	monoxid
monsoon	monzún
monster	obluda
monster	príšera
monster	netvor
monster	ohromný
monster	velikánsky
monster	obor
monster	kolos
monster	znetvorený
monster	hrozný
monster	obrovský
monstrance	monštrancia
monstrosity	znetvorenosť
monstrosity	hrôza
monstrosity	absurdnosť
monstrosity	nezmyselnosť
monstrosity	nezmysel
monstrous	obludný
monstrous	ohromný
monstrous	obrovský
monstrous	obrovitý
monstrous	ozrutný
monstrous	odporný
monstrous	ohavný
monstrous	hnusný
monstrous	absurdný
monstrous	znetvorený
monstrous	neuveriteľný
monstrous	škandalózny
monstrous	gigantický
monstrous	mamutí
monstrous	kolosálny
monstrous	príšerný
montage	fotomontáž
montage	strih
montane	horský
month	mesiac
monthly	mesačný
monthly	mesačne
monthly	mesačník
monthly	perióda
monthly	menštruácia
monument	pamätihodnosť
monument	pamätník
monument	pomník
monument	pamiatka
monument	pomníkový
monument	pomníková
monument	pomníkové
monumental	monumentálny
monumental	veľkolepý
monumental	mohutný
monumental	pamätný
monumental	úžasný
monumental	strašný
monumental	masívny
monumental	kolosálny
monumental	obrovitý
monumental	obrovský
monumental	pomníkový
monumental	monumentálna
monumental	monumentálne
monumentalize	zväčniť
moo	bučanie
moo	mučanie
moo	bučať
moo	zabučať
moo	mučať
moo	zamučať
moo-cow	kravička
moo-cow	bučinka
mooch	využívať
mooch	vyjedať
moocher	flákač
moocher	príživník
moocher	parazit
mood	nálada
mood	spôsob
mood	režim
mood	modus
mood	forma
mood	kondícia
moodiness	náladovosť
moody	náladový
moody	chvíľkový
moody	nestály
moody	mrzutý
moody	nevrlý
moody	ťažkomyseľný
moody	stiesnený
moody	podfuk
moon	družica
moon	luna
moon about	halaškovať
moonless	bezmesačný
moonlight	jasný
moonshine	nezmysly
moonstruck	sentimentálny
moony	roztržitý
moony	nepozorný
moony	sentimentálny
moony	mesačný
moony	mesiacovitý
moor	vresovisko
moor	slatina
moor	močiar
moor	zakotviť
moor	pripútať
moor	priviazať
moor	uviazať
moor	pripevniť
moorage	zakotvenie
moorage	uviazanie
mooring	uviazanie
mooring	kotvište
mooring	zakotvenie
Moorish	maurská
Moorish	maurské
Moorish	maurský
moorland	slatina
moot	schôdza
moot	zhromaždenie
moot	prediskutovať
moot	sporný
moot	problematický
moot	diskutabilný
mop	mop
mop	zmeták
mop	tampón
mop	hriva
mop	vlasatec
mop	stierať
mop	strieť
mop	mapovať
mop	utierať
mop	utrieť
mop	zotrieť
mop up	vylogať
mop up	dokončiť
mope	depresia
mope	skľúčenosť
moped	moped
moppet	dieťatko
moppet	slaboch
moraceous	morušovitý
moraine	moréna
moral	morálka
moral	mravnosť
moral	mravy
moral	správanie
moral	etika
moral	mravnostný
moral	morálny
moral	mravný
moral philosophy	etika
morale	morálka
moralisation	moralizovaný
moralisation	umravňovanie
moralise	umravniť
moralise	moralizovať
moralism	moralizovaný
moralism	mravouka
moralist	moralista
moralistic	moralistický
moralistic	moralizujúci
morality	morálka
morality	mravouka
morality	etika
morality	mravnosť
morality	moralita
morally	morálne
morally	mravne
morally	prakticky
morally	vlastne
morally	pravdepodobne
morally	praktický
morally	skutočne
morass	bahno
morass	blato
morass	močiar
moratorium	moratórium
moratorium	zmrazenie
Moravian	moravský
morbid	chorobný
morbid	nezdravý
morbid	patologický
morbidity	chorobnosť
morbidity	morbidnosť
morbidity	choroba
morbidity	morbidita
mordant	žeravina
mordant	moridlo
mordant	ostrý
mordant	pichľavý
mordant	štipľavý
mordant	žieravý
