mother	vychovávať
mother country	vlasť
mother country	otčina
mother country	metropola
mother-in-law	svokra
mother-in-law	testiná
mother-of-pearl	perleť
mother-of-pearl	perleťový
motherhood	materstvo
motherland	vlasť
motherlike	materský
motherliness	materskosť
motherly	materský
motherly	materinský
motif	námet
motif	téma
motile	pohyblivý
motile	motorik
motility	pohyblivosť
motion	chod
motion	činnosť
motion	stolica
motion	vyprázdňovanie
motion	posudok
motion	hnutie
motion	impulz
motion	podnet
motion	vôľa
motion	ukazovať
motion	ukázať
motion	naznačiť
motion	pokynúť
motion	naznačovať
motion	pohyb
motion	posunok
motion	gesto
motion	návrh
motion picture	film
motional	pohybový
motional	kinetický
motionless	nehybný
motivate	motivovať
motivate	odôvodniť
motivate	odôvodňovať
motivate	podnietiť
motivate	stimulovať
motivate	zdôvodniť
motivation	stimul
motivation	zaujímavosť
motivation	motivácia
motivational	motivačný
motivator	stimul
motive	pohnútka
motive	podnet
motive	popud
motive	myšlienka
motive	hybný
motive	pohybový
motive	hnací
motive	motorický
motive	motivovať
motive	odôvodniť
motive	odôvodňovať
motive	dôvod
motive	príčina
motive	motív
motiveless	neodôvodnený
motiveless	bezdôvodný
motiveless	nemotivovaný
motivity	hybnosť
motley	zmes
motley	miešanina
motley	strakatý
motley	jarabý
motley	pestrý
motley	miešaný
motley	zmiešaný
motley	rôznorodý
motley	rôznofarebný
motley	nesúrodý
motley	šašo
motor	motor
motor	auto
motor	nerv
motor	motorový
motor	motorický
motor	pohybový
motor	automobilový
motor	odviezť
motor	zaviesť
motor scooter	skúter
motorbike	motorka
motorcycle	motocykel
motorcycle	motorka
motored	motorizovaný
motoring	motorizmus
motoring	automobilizmus
motoring	mototuristika
motoring	mototuristický
motoring	automobilový
motoring	dopravný
motorise	motorizovať
motorise	zmotorizovať
motorist	motorista
motorless	bezmotorový
motorman	vodič
mottle	strakatosť
mottle	škvrnitosť
mottle	strakatiť
mottle	mramorovať
mottle	vyšrafovať
mottle	vybodkovať
mottled	jarabý
mottled	strakatý
mottled	rôznofarebný
mottled	škvrnitý
mottled	bodkovaný
mottled	pestrý
mottled	mramorovaný
moue	úškrn
moue	grimasa
moujik	mužík
mould	forma
mould	kadlub
mould	puding
mould	odliatok
mould	šablóna
mould	tvar
mould	podoba
mould	povaha
mould	vlastnosť
mould	črta
mould	charakter
mould	pleseň
mould	ornica
mould	pôda
mould	zemina
mould	plieseň
mould	plesnivieť
mould	humus
mould	čiernozem
mould	druh
mould	typ
mould	štýl
mould	sformovať
mould	tvarovať
mould	lisovať
mould	zdôrazňovať
mould	utvárať
mould	odlievať
mould	liať
mould	odliať
mould	miesiť
mould	zamiesiť
mould	hniesť
mould	modelovať
mould	formovať
mould	tvoriť
mould	splesnivieť
moulder	odlievač
moulder	formovač
moulder	formovačka
moulder	hniť
moulder	práchnivieť
moulder	premárniť
moulder	spráchnivieť
moulder	zhniť
moulder	zrúchnivieť
moulding	lišta
moulding	výlisok
moulding	formovací
moulding	formovacia
moulding	formovacie
moulding	zlievárenský
moulding	zlievárenská
moulding	zlievárenské
mouldy	plesnivý
mouldy	stuchnutý
mouldy	zastaraný
mouldy	nudný
mouldy	zdĺhavý
mouldy	otravný
mouldy	torpédo
mouldy	staromódny
mouldy	biedny
mouldy	úbohý
moult	pŕchnuť
moult	opŕchnuť
mound	násyp
mound	val
mound	mohyla
mound	vŕšok
mound	kopček
mound	trávnik
mound	hromada
mound	kopa
mound	kopec
mound	vyvýšenina
mound	nakopiť
mound	nahromadiť
