move	prisp
move back	zatlačiť
move out	vytiahnuť
move over	bokom
move up	stúpať
move up	vystupovať
move up	zdvíhať
move up	povýšiť
move up	zdvihnúť
moved	posunutý
moved	posunutá
moved	posunuté
movement	presun
movement	posuv
movement	dynamika
movement	vývin
movement	stroj
movement	chod
movement	veta
movement	stolica
movement	mechanizmus
movement	ústrojenstvo
movement	jazda
movement	beh
movement	plavba
movement	let
movement	postup
movement	posun
movement	manéver
movement	krok
movement	aktivita
movement	trend
movement	tendencia
movement	sklon
movement	smerovanie
movement	tempo
movement	rytmus
movement	živosť
movement	pohyb
movement	hnutie
mover	iniciátor
mover	autor
mover	činiteľ
mover	navrhovateľ
mover	podnecovateľ
mover	presunovač
mover	sťahovanie
mover	sťahovák
movie	film
movie	kino
movie	filmový
moving	dojímavý
moving	dojemný
moving	patetický
moving	hybný
moving	pohyblivý
moving	vzrušujúci
moving	hnací
moving	pálčivý
moving	úchvatný
moving	pohyblivá
moving	pohyblivé
moving	hybná
moving	hybné
moving	hnacia
moving	hnacie
moving	úchvatná
moving	úchvatné
moving	dojemná
moving	dojemné
moving	dojímavá
moving	dojímavé
moving picture	kino
mow	senník
mow	stoh
mow	kozol
mow	sekať
mow	posekať
mow	kosiť
mow	pokosiť
mow	grimasa
mow	kopa
mow	hromada
mow	žať
mow	zožať
mower	kosec
mower	žnec
mower	kosačka
mown	žatý
mown	kosený
mown	kosená
mown	kosené
Mozartean	mozartovská
Mozartean	mozartovské
Mozartean	mozartovský
much	mnoho
much	veľmi
much	často
much	skoro
much	takmer
much	asi
much	rozmaznávať
mucilage	sliz
mucilage	hlien
mucilage	lepidlo
muck	hnoj
muck	špina
muck	kal
muck	svinstvo
muck	bahno
muck	blato
muck	černozem
muck	chliev
muck	neporiadok
muck	zašpiniť
muck	pohnojiť
muck	špiniť
muck up	zababrať
muck up	zbabrať
muck up	sfušovať
mucky	špinavý
mucky	hnusný
mucous	hlienistý
mucous	sliznatý
mucous	membrána
mucous	sliznica
mucus	hlien
mucus	sliz
mud	blato
mud	bahno
mud	kal
mud	usadenina
mud	zakaliť
muddle	zmätok
muddle	chaos
muddle	neporiadok
muddle	spliesť
muddle	zakaliť
muddle	omámiť
muddle	otupiť
muddle	miešať
muddle	popliesť
muddle	pomotať
muddle	zbabrať
muddle	zmiasť
muddy	rozblatený
muddy	blatistý
muddy	zablatený
muddy	blativý
muddy	kalný
muddy	mútny
muddy	špinavý
muddy	temný
muddy	tmavý
muddy	nejasný
muddy	popletený
muddy	zmätený
muddy	zakalený
muddy	rozmazaný
muddy	blatový
muddy	bahnový
muddy	deprimovaný
muddy	skleslý
muddy	ušpiniť
muddy	zatemniť
muddy	blatiť
muddy	zablatiť
muddy	špiniť
muddy	zašpiniť
muddy	kaliť
muddy	zakaliť
muddy	mútiť
muddy	pomútiť
muddy	pliesť
muddy	popliesť
muddy	miasť
muddy	zmiasť
muddy up	zakaliť
mudguard	blatník
muff	rukávnik
muff	muf
muff	ťarbavec
muff	nemehlo
muff	babrák
muff	chyba
muff	zbabranie
muff	nešikovný
muff	nemotorný
muff	tupec
muff	pokaziť
muff	premárniť
muff	premeškať
muff	zbabrať
muffin	dolka
muffle	tlmiť
muffle	stlmiť
muffle	tíšiť
muffle	stíšiť
muffle	dusiť
muffle	udusiť
