namby-pamby	skleníkový
name	meno
name	názov
name	označenie
name	identifikátor
name	slovo
name	reputácia
name	pomenovanie
name	rod
name	klan
name	sláva
name	vážnosť
name	stanoviť
name	ponúknuť
name	názov
name	nazývať
name	volať
name	menovať
name	určiť
name	citovať
name	napomínať
name	kormový
name	menný
name	vymenovať
name	ustanoviť
name	uviesť
name	povesť
name	pomenovať
name	nazvať
named	pomenovaný
nameless	odporný
nameless	hnusný
nameless	nemenovaný
nameless	nepomenovaný
nameless	nevýslovný
nameless	nemanželský
nameless	neopísateľný
nameless	neznáma
nameless	neznáme
nameless	bezmenný
nameless	neznámy
nameless	anonymný
namely	totiž
namely	menovite
names	názvy
names	mená
namesake	menovec
namesake	menovkyňa
nankeen	nankin
nankeen	nankinský
nanny	pestúnka
nanny-goat	koza
nanosecond	nanosekunda
nap	zdriemnutie
nap	zamat
nap	tip
nap	výsledok
nap	driemať
nap	vlas
nap	uzlík
nap	vlasový
nap	česať
nap	vyčesávať
nape	šija
nape	tylo
nape	zátylok
naphtha	nafta
naphthalene	naftalén
naphthalene	naftalénový
naphthol	naftol
naphthol	hydroxynaftalén
naphthoquinone	naftochinón
napkin	servítok
napkin	plienka
napkin	obrúsok
Naples	neapolská
Naples	neapolské
Naples	neapolský
Napoleonic	empírová
Napoleonic	empírové
Napoleonic	empírový
napping	oduzlíkovanie
napping	česanie
napping	vyčesávací
nappy	silný
nappy	opojný
nappy	podnapitý
nappy	vrtkavý
nappy	miska
nappy	podnos
nappy	vlasový
narcotic	narkotický
narcotic	narkotikum
nark	donášač
nark	špiceľ
nark	udavač
nark	denunciant
narrate	rozprávať
narrate	vyrozprávať
narrate	naratívny
narrate	naratívna
narrate	naratívne
narrative	povesť
narrative	poviedka
narrative	rozprávka
narrative	epický
narrative	výpravný
narrative	rozprávanie
narrative	rozprávačský
narrator	rozprávač
narrow	úžina
narrow	dôkladný
narrow	úzkoprsý
narrow	stiesnený
narrow	lakomý
narrow	presný
narrow	malicherný
narrow	predpojatý
narrow	tesný
narrow	chudý
narrow	prísny
narrow	úzka
narrow	úzke
narrow	rokľa
narrow	roklina
narrow	ostrý
narrow	uberať
narrow	zužovať
narrow	úzky
narrow	obmedzený
narrow down	obmedziť
narrow gauge	úzkorozchodný
narrow gauge	úzkokoľajný
narrow gauge	obmedzený
narrow gauge	malicherný
narrow-minded	úzkoprsý
narrow-minded	obmedzený
narrow-minded	malicherný
narrow-minded	predpojatý
narrow-mindedness	úzkoprsosť
narrow-mindedness	bigotnosť
narrow-mindedness	obmedzenosť
narrow-mindedness	malichernosť
narrowing	zužovanie
narrowing	uberanie
narrowing	uberací
narrowly	úzko
narrowly	dôkladne
narrowly	podrobne
narrowly	pozorne
narrowly	zblízka
narrowly	ledva
narrowly	starostlivo
narrowly	tesne
narthex	nartex
nasal	nosový
nascent	vznikajúci
nasty	nechutný
nasty	protivný
nasty	ošklivý
nasty	špinavý
nasty	odporný
nasty	hanebný
nasty	hnusný
nasty	neslušný
nasty	zlý
nasty	hrozivý
nasty	ťažký
nasty	nepríjemný
nasty	nebezpečný
nasty	riskantný
nasty	sprostý
nasty	nemravný
nasty	podlý
nasty	nepoctivý
nasty	nedovolený
nasty	ohava
nasty	ohavnosť
nasty	škaredý
nasty	škaredá
nasty	škaredé
natal	rodný
natal	vrodený
natality	natalita
natality	pôrodnosť
natation	plávanie
nation	národ
nation	národnosť
nation	krajina
nation	štát
nation	federácia
national	štátny
national	krajan
national	vnútroštátny
national	domáci
national	tuzemský
national	národnostný
national	ľudový
national	vlastenecký
national	nacionálny
