ne'er-do-well	smoliar
near	blízky
near	neďaleký
near	vedľa
near	priamy
near	krátky
near	dôverný
near	tesný
near	babravý
near	piplavý
near	lakomý
near	pri
near	napodobenina
near	približný
near	susedný
near	susediaci
near	hraničiaci
nearby	blízky
nearby	neďaleký
nearby	vedľajší
nearest	najbližší
nearly	skoro
nearly	takmer
nearly	blízko
nearly	tesne
nearly	úzko
nearly	veľmi
nearly	bezmála
neat	upravený
neat	vkusný
neat	pôvabný
neat	pekný
neat	čistý
neat	čistotný
neat	šikovný
neat	úsečný
neat	obratný
neat	chutný
neat	nezriedený
neat	lichva
neat	ladnosť
neat	paznechtový
neat	nadzákladový
neb	hrot
nebula	nebula
nebula	hmlovina
nebulizer	zhmľovač
nebulous	hmlovinný
nebulous	oblačný
nebulous	nejasný
nebulous	hmlistý
nebulous	mútny
nebulous	kalný
necessarily	nevyhnutne
necessarily	nutne
necessary	nutný
necessary	potrebný
necessary	povinný
necessary	záväzný
necessary	potreba
necessary	neodvratný
necessary	nevyhnutá
necessary	nevyhnuté
necessary	nevyhnutnosť
necessary	nevyhnutný
necessary	vynútený
necessary	nútený
necessitate	vyžadovať
necessitate	žiadať
necessitate	vyžiadať
necessitate	vynucovať
necessitate	vynútiť
necessitate	pôsobiť
necessitate	spôsobiť
necessitate	vyvolať
necessitous	núdzny
necessitous	chudobný
necessitous	biedny
necessity	potreba
necessity	nezbytnosť
necessity	núdza
necessity	tieseň
necessity	bieda
necessity	chudoba
necessity	nedostatok
necessity	nutnosť
necessity	nevyhnutnosť
neck	krk
neck	krkovička
neck	šija
neck	úžina
neck	prieliv
neck	hrdlo
neck	výstrih
neck	golier
neck	zúženie
neck	zaškrtenie
neck	zapichnutie
neck	objať
neck	hrdličkovať
neck	kŕčok
neck	krčný
neck	ústny
neck	vytvárať
neck	zužovať
neck and neck	zarovno
necking	zaškrtenie
necking	zapichovací
necklace	náhrdelník
necklet	náhrdelník
necktie	viazanka
necktie	kravata
neckwear	kravaty
neckwear	šatky
neckwear	goliere
necropsy	pitva
need	potreba
need	potrebovať
need	potrebný
need	nutný
need	nutnosť
need	núdza
need	bieda
need	nedostatok
need	chudoba
need	musieť
need	vyžadovať
need	požiadavka
needed	potrebný
needful	peniaze
needful	groše
needful	dôležitý
needful	potrebnosť
needful	dôležitosť
needful	hotovosť
needful	potrebný
needful	nutný
needful	nevyhnutný
needle	ihla
needle	ukazovateľ
needle	hrot
needle	ručička
needle	háčik
needle	strelka
needle	ihličie
needle	obelisk
needle	končiar
needle	ihlička
needle	ihlica
needle	tréma
needle	šiť
needle	zošiť
needle	vyšívať
needle	vpichovať
needle	očkovať
needle	prepichnúť
needle	okoreniť
needle	nervozita
needle	rozčúlenie
needless	zbytočný
needless	nepotrebný
needlework	šitie
needlework	vyšívanie
needlework	výšivka
needlework	krajka
needs	potreby
needs	nutné
needs	potrebné
needs	rozhodne
needs	určite
needs	práve
needs	nevyhnutne
needy	biedny
needy	núdzny
needy	chudobný
needy	nutný
needy	potrebný
nefarious	zlý
nefarious	mrzký
nefarious	nezákonný
negate	poprieť
negate	zaprieť
negate	zrušiť
negate	vylúčiť
negate	negovať
negate	popierať
negate	anulovať
negation	zápor
negation	popretie
negation	popieranie
negation	vyvrátenie
negation	zničenie
negation	inverzia
negation	obrátenie
negation	prevrátenie
negation	opak
negation	anulovanie
negation	negácia
negative	záporný
negative	negatívny
