nepotism	protekcia
nerve	nerv
nerve	odvaha
nerve	drzosť
nerve	smelosť
nerve	šľacha
nerve	sila
nerve	energia
nerve	nervový
nerve	sebaistota
nerve	posmeliť
nerve	posmeľovať
nerve	rebro
nerve	žilka
nerveless	slabý
nerveless	chabý
nerveless	nevládny
nerveless	rozvláčny
nerveless	nevýrazný
nerves	nervstvo
nerves	nervozita
nervous	nervózny
nervous	nervový
nervous	nepokojný
nervous	rozčúlený
nervous	vznetlivý
nervous	bojazlivý
nervous	nesmelý
nervous	plachý
nervous	silný
nervous	jadrný
nervous	výrazný
nervous	podráždený
nervous	šľachovitý
nervy	nervózny
nervy	vzrušený
nervy	statný
nervy	svalnatý
nervy	silný
nervy	dúži
nervy	odvážny
nervy	smelý
nervy	chladnokrvný
ness	mys
nest	mláďatá
nest	roj
nest	útočište
nest	skrýša
nest	pelech
nest	brloh
nest	súprava
nest	garnitúra
nest	hniezdočko
nest	hniezdiť
nest	vkladať
nest	vložiť
nest	zasúvať
nest	zasunúť
nest	zostava
nest	zväzok
nest	vtrúsenina
nest	hniezdo
nest	hniezdový
nestle	lipnúť
nestle	prilipnúť
nestling	vtáčatko
nestling	mláďa
net	pasca
net	klepec
net	osídla
net	sieťovina
net	pletivo
net	pavučina
net	sieť
net	čistý
net	pliesť
net	získať
net	chytať
net	lapiť
net	vynášať
net	zarábať
net	loviť
net	uloviť
net	rozkladať
net	rozložiť
net	dať
net	obložiť
net	pokryť
net	nastavovať
net	spojený
net	stretnutý
net	sieťka
net	normálny
net	elučný
net	netto
nether	dolný
nether	spodný
nethermost	najnižší
nethermost	najspodnejší
netted	sieťkový
netted	sieťovaný
netting	sieť
netting	sieťovina
netting	sietiarstvo
netting	háčkovanie
netting	pletivo
netting	háčkovací
netting	pletivový
nettle	pŕhľava
nettle	žihľava
nettle	dráždiť
nettle	rozčuľovať
nettle	hnevať
nettle	dopaľovať
nettle	dopáliť
nettle	nahnevať
nettle	podráždiť
nettle rash	pŕhľavka
nettle rash	žihľavka
network	reťazec
network	pletivo
network	obvod
network	sieť
network	sieť
network	mriežka
network	schéma
network	mriežkotvorný
network	sieťovitý
network	systém
neurogenic	neurogénny
neurohypophysis	neurohypofýza
neuron	neurón
neurosis	neuróza
neurotic	neurotický
neurotic	nervózny
neurotic	nervový
neurotic	neurotik
neuter	neutrum
neuter	neutrál
neuter	neplodný
neuter	neutrálny
neuter	neprechodný
neuter	bezpohlavný
neuter	kastrovaný
neuter	vykastrovať
neutral	nepohlavný
neutral	bezfarebný
neutral	nevyhranený
neutral	neutrál
neutral	nulový
neutral	uzlový
neutral	zemniaci
neutral	neutrálny
neutral	nestranný
neutral	nezaujatý
neutral	neangažovaný
neutrality	neutralita
neutrality	nestrannosť
neutrality	nevyhranenosť
neutrality	bezpohlavnosť
neutralization	neutralizácia
neutralization	neutralizovanie
neutralization	neutralizačný
neutralize	neutralizovať
neutrino	neutríno
neutrino	neutrínový
neutron	neutrón
neutron	neutrónový
neutron	reaktorový
never	nikdy
never-ending	nekonečný
never-ending	večný
never-ending	trvácny
never-never	pustina
never-never	vymyslený
never-never	neexistujúci
never-never	bájny
never-never	splátkový
nevertheless	jednako
new	nový
new	nová
new	nové
new	iný
new	druhý
new	zmenený
new	neskúsený
new	čerstvý
new	mladý
new	najnovší
new	súčasný
new	pokrokový
new	nenavyknutý
new	neoboznámený
new	panenský
new	posledný
new	moderný
new	čerstvo
new	práve
new	znovu
new	nedávno
