nonce	nateraz
nonchalant	ľahostajný
nonchalant	netečný
nonchalant	nedbalý
nonchalant	nevšímavý
nonchalant	nevzrušený
nonchalant	chladný
nonconformist	rozkolník
nonconformist	sektár
nondescript	neopísateľný
nondescript	neurčitý
nondescript	zvláštny
nondescript	nezaraditeľný
nondescript	nevyhranený
none	nikto
none	žiadny
none	nič
none	nijaký
none	žiaden
none	nijako
none	dosť
none	prestaň
nonentity	nebytie
nonentity	nič
nonentity	niktoš
nonentity	nula
nonentity	nejestvovanie
nonesuch	vzor
nonpareil	jedinečný
nonpareil	nevídaný
nonpareil	výnimočný
nonpareil	nevyrovnateľný
nonpayment	neplatenie
nonperformance	nedodanie
nonplus	zmätok
nonplus	pomykov
nonplus	rozpaky
nonplus	zmiasť
nonplus	popliesť
nonsense	nezmysel
nonsense	hlúposť
nonsensical	nezmyselný
nonsensical	smiešny
nonsensical	hlúpy
nonsmoker	nefajčiar
noodle	hlupák
noodle	blázon
noodle	trkvas
noodle	rezance
noodle	slíže
nook	kút
nook	kútik
nook	zákutie
nook	ústranie
noon	poludnie
noon	obed
noon	poludňajší
noonday	poludnie
noose	slučka
noose	oko
noose	pasca
noose	osídlo
noose	chytiť
noose	lapiť
noose	lapať
noose	lákať
noose	zlákať
noose	vábiť
noose	zvábiť
norm	norma
normal	normál
normal	priemer
normal	kolmica
normal	zvyčajný
normal	stredný
normal	kolmý
normal	pravidelný
normal	normálny
normal	normálne
normal	normálový
normal	obyčajný
normal	bežný
normalisation	normalizácia
normalise	normalizovať
normally	bežne
normally	spravidla
normally	normálne
normative	normotvorný
normative	normatívny
Norse	nórčina
Norse	škandinávčina
Norse	severčina
Norse	nórsky
Norse	škandinávsky
Norse	severský
north	severný
north	severne
north	sever
north	severák
north by east	severovýchodne
north wind	severák
north-east	severovýchod
north-east	severovýchodný
north-east	severovýchodne
north-west	severozápad
north-west	severozápadný
north-west	severozápadne
northerly	severný
northerly	severne
northerly	severský
northern	severný
northernmost	najsevernejší
northward	severný
Norwegian	nórčina
Norwegian	nórska
Norwegian	nórske
Norwegian	nórsky
nose	nos
nose	čuch
nose	ňuch
nose	vôňa
nose	pach
nose	ústie
nose	predok
nose	výbežok
nose	čumák
nose	rypák
nose	špička
nose	výstupok
nose	výčnelok
nose	ňuchať
nose	čuchať
nose	vyňuchať
nose	vysliediť
nose	nájsť
nose	ísť
nose out	vyňuchať
nose out	vystopovať
nose out	vypátrať
nose out	vysliediť
nose out	objaviť
nose out	odhaliť
nosh	jedlo
nosh	desiata
nosh	reštaurácia
nosh	bufet
nostril	nozdra
nostrum	všeliek
nosy	nosatý
nosy	voňavý
nosy	smradľavý
nosy	citlivý
nosy	zvedavý
nosy	všetečný
nosy	zatuchnutý
nosy	potuchnutý
nosy	zapáchajúci
nosy	voňajúci
nosy	nosáč
nosy	nosatec
not	bez
not guilty	nevinný
not only	nielen
notability	hodnostár
notability	pozoruhodnosť
notability	pamätihodnosť
notable	znamenitý
notable	význačný
notable	markantný
notable	dobrý
notable	praktický
notable	značný
notable	citeľný
notable	vynikajúci
notable	starostlivý
notable	nápadný
notable	dôležitý
notable	pozorovateľný
notable	schopný
notable	šikovný
notable	rozpoznateľný
notable	zistiteľný
notably	nápadne
notably	pozoruhodne
notably	zvlášť
notably	obzvlášť
notably	najmä
notary	notár
notary public	notár
notation	notácia
notation	záznam
notation	poznámka
notation	zapisovanie
notation	zaznamenávanie
notation	poznámky
notation	skica
notation	zápis
notch	zásek
notch	drážka
notch	vrub
