nowhere	bezvýznamný
nowise	nijako
noxious	škodlivý
noxious	nezdravý
noxious	otravný
noxious	zhubný
noxious	neprístojný
nozzle	otvor
nozzle	chrlič
nozzle	odkvap
nozzle	násadec
nozzle	nástavec
nozzle	náustok
nuance	odtieň
nuance	zmysel
nuance	odtieňovať
nuance	nuansa
nub	kôstka
nub	orech
nub	kúsok
nub	hrudka
nub	zostatok
nub	uzlík
nub	jadro
nub	podstata
nuclear	nukleárny
nuclear	jadrový
nuclear	atómový
nuclear	prvopočiatočný
nucleus	jadro
nucleus	zárodok
nucleus	podstata
nucleus	základ
nucleus	centrum
nude	obnažený
nude	akt
nude	holý
nude	bezobalný
nude	nahota
nude	nahotinka
nude	nahý
nudge	drgnutie
nudge	ďugnutie
nudge	štuchnutie
nudge	postrčiť
nudge	dráždiť
nudge	postrkovať
nudge	dosahovať
nudge	drgať
nudge	drgnúť
nudge	štuchať
nudge	štuchnúť
nudge	strkať
nudge	strčiť
nudge	sácať
nudge	sotiť
nudge	džugať
nudge	džugnúť
nugatory	malicherný
nugatory	márny
nugatory	neplatný
nuisance	nepríjemnosť
nuisance	protiva
nuisance	mrzutosť
nuisance	zlosť
nuisance	otrava
nuisance	pliaga
nuisance	otravný
nuisance	neplecha
nuisance	nepríjemný
nuisance	neporiadok
nuisance	obťažovanie
nuisance	rušenie
nuisance	neprístojnosť
null	prázdny
null	nevýrazný
null	neplatný
null	nula
nullification	anulovanie
nullify	zrušiť
nullify	anulovať
nullity	ničota
nullity	nula
nullity	niktoš
nullity	neplatnosť
nullity	zmätočnosť
numb	skrehnutý
numb	necitlivý
numb	meravý
numb	ustrnutý
numb	nehybný
numb	zmeravený
numb	stŕpnutý
numb	znecitlivený
numb	ochromený
numb	otupený
numb	tupý
numb	strnulý
numb	mŕtvy
numb	umŕtvený
numb	ochromiť
numb	znecitlivieť
numb	strnúť
numb	zmeravieť
numb	umŕtviť
numb	prekvapiť
numb	ohromiť
numb	omráčiť
numb	znecitliviť
number	číslo
number	číslica
number	počet
number	množstvo
number	počítať
number	spočítať
number	niekoľko
number	kus
number	kúsok
number	šaty
number	výtvor
number	výrobok
number	číslovať
number	čítať
number	prežiť
number	očíslovať
number	rátať
number	zrátať
number	obsahovať
numbering	číslovanie
numberless	nesčíselný
numberless	nespočitateľný
numbers	čísla
numbers	mnoho
numeral	číslica
numeral	číslovka
numeral	číselný
numeral	cifra
numeral	numerál
numeral	numerál
numerator	počítač
numerator	číslovač
numerator	čitateľ
numeric	numerický
numeric	číselný
numeric	číslicový
numerical	číselný
numerical	numerický
numerical	číslicový
numerical	poradový
numerical	počtársky
numerous	početný
numerous	mnohí
numinous	nadprirodzený
numinous	posvätný
numinous	kúzelný
numinous	magický
numinous	duchovný
numinous	estetický
numinous	záhadný
numinous	neznámy
numismatics	numizmatika
numismatist	numizmatik
numskull	hlupák
numskull	chmuľo
numskull	truľo
nun	mníška
nun	rehoľníčka
nuptial	sobáš
nuptial	svadba
nuptial	sobášny
nuptial	svadobný
nuptial	snubný
nuptials	svadba
nurse	dojka
nurse	ošetrovateľka
nurse	pestúnka
nurse	ochranca
nurse	opatrovateľka
nurse	opatrovať
nurse	ošetrovať
nurse	kojiť
nurse	piť
nurse	sať
nurse	vychovať
nurse	živiť
nurse	podporovať
nurse	posilňovať
nurse	priložiť
nurse	pridržať
nurse	nadájať
nurse	dojčiť
nurse	kŕmiť
nurse	pestovať
nurse	varovať
nurse	liečiť
nurseling	chovanec
nurseling	priesada
nurseling	sadenica
nurseling	šteňa
nurseling	odchovanec
