nurseling	dojča
nursery	inkubátor
nursery	semenište
nursery	jasle
nursing	opatera
nursing	pestúnsky
nursing	opatrovanie
nursing	ošetrovanie
nursing	pestúnstvo
nursing	opatrovnícky
nursing	opatrovníctvo
nursing	ošetrovateľstvo
nursing	ošetrovateľský
nursing home	sanatórium
nursling	chovanec
nursling	priesada
nursling	sadenica
nurture	strava
nurture	výživa
nurture	výchova
nurture	výcvik
nurture	pestúnstvo
nurture	starostlivosť
nurture	opatrovníctvo
nurture	vychovanie
nurture	potrava
nurture	vychovať
nurture	chovať
nurture	vychovávať
nurture	cvičiť
nurture	vycvičiť
nurture	pestovať
nurture	vypestovať
nurture	prechovávať
nurture	živiť
nut	orech
nut	oriešok
nut	matica
nut	matka
nut	kotrba
nut	švihák
nut	fičúr
nut	frajer
nut	seladón
nut	jadro
nut	zub
nut	oberať
nut	zbierať
nutcracker	luskáčik
nutrient	výživný
nutriment	živina
nutrition	živenie
nutrition	potrava
nutrition	výživa
nutrition	stravovanie
nutritious	výživný
nutritive	živina
nutritive	potravina
nutritive	výživný
nutritive	potravinový
nutty	chutný
nutty	pochabý
nutty	praštený
nutty	buchnutý
nutty	zbláznený
nutty	orechovitý
nutty	orechový
nutty	orieškový
nutty	jadrový
nuzzle	ňuchať
nuzzle	oňuchať
nuzzle	ryť
nuzzle	rýpať
nuzzle	strkať
nuzzle	pchať
nylon	nylon
nylon	nylonky
nylon	nylonový
nymph	nymfa
nymph	víla
o'clock	hodinu
O.K.	súhlasím
O.K.	správne
O.K.	dobre
O.K.	súhlasiť
O.K.	schváliť
O.K.	schvaľovať
O.K.	správny
O.K.	správne
O.K.	prijaté
O.K.	postačujúce
O.K.	súhlasím
OK	dobre
oak	dubina
oak	dubový
oak	dub
oak	dubová
oak	dubové
oaken	dubový
oakum	kúdeľ
oakum	kúpeľ
oar	veslo
oar	veslár
oar	veslovať
oarlock	havlenka
oarsman	veslár
oasis	oáza
oast	sušiareň
oat	ovos
oat	píšťala
oat	flauta
oaten	ovsený
oath	sľub
oath	prísaha
oath	kliatba
oath	nadávka
obdurate	zaťatý
obdurate	neoblomný
obdurate	zanovitý
obdurate	zatvrdnutý
obdurate	zatvrdilý
obdurate	zarytý
obdurate	tvrdohlavý
obdurate	neústupný
obedience	obediencia
obedience	veriaci
obedience	podriadenosť
obedience	poslušnosť
obedient	poslušný
obedient	oddaný
obeisance	úklon
obeisance	poklona
obeisance	úcta
obeisance	pocta
obeisance	hold
obelisk	oblisk
obelisk	obelisk
obey	uposlúchnuť
obey	počúvať
obey	poslúchať
obey	poslúchnuť
obey	vykonať
obey	počúvnuť
obfuscate	zatemniť
obfuscate	otupiť
obfuscate	popliesť
obfuscate	zmiasť
obit	odchod
obit	smrť
obituary	úmrtný
obituary	nekrológ
object	vec
object	zámer
object	úmysel
object	strašidlo
object	protestovať
object	nesúhlasiť
object	oponovať
object	cieľový
object	namietnuť
object	výsledný
object	objekt
object	predmetový
object	strojový
object	účel
object	predmet
object	cieľ
object	namietať
object	obsah
object glass	objektív
objection	nechuť
objection	odpor
objection	prekážka
objection	protestovanie
objection	vada
objection	námietka
objection	nesúhlas
objection	chyba
objection	nedostatok
objection	protest
objection	závada
objection	reklamácia
objectionable	nepríjemný
objectionable	protivný
objectionable	odporný
objectionable	chybný
objectionable	nechutný
objectionable	problematický
objectionable	sporný
objectionable	nevyhovujúci
objectionable	nežiadúci
objective	cieľový
objective	reálny
objective	skutočný
objective	nestranný
objective	nezaujatý
objective	neosobný
objective	nepredpojatý
objective	predmetový
objective	objektívový
