organdie	organtín
organic	organický
organic	ústrojný
organic	organická
organic	organické
organic	základný
organic	ustanovujúci
organic law	ústava
organisation	organizácia
organisation	usporiadanie
organisation	organizovať
organisation	ustrojenie
organisation	spolok
organisation	útvar
organisation	organizovanie
organisation	organizmus
organise	zorganizovať
organise	utriediť
organise	zostaviť
organise	usporiadať
organiser	organizátor
organiser	usporiadateľ
organism	organizmus
organism	mikroflóra
organist	varhaník
organization	organizačný
organization	organizácia
organization	usporiadanie
organization	inštitúcia
organizational	organizačný
organize	organizovať
organize	zostaviť
organize	usporiadať
oriel	arkier
oriel	výklenok
orient	orient
orient	orientálny
Oriental	orientálna
Oriental	orientálne
Oriental	orientálny
oriental	orientálny
orientalism	ornamentalizmus
orientate	orientovať
orientate	postaviť
orientate	určovať
orientation	orientácia
orientation	orientovanosť
orientation	rozhľadenosť
orientation	orientovanie
orientation	orientačný
orientation	oboznamovací
oriented	orientovaný
oriented	zameraný
orienting	orientovanie
orienting	orientačný
orifice	otvor
orifice	ústie
orifice	hradlo
orifice	clonka
orifice	hrdlo
origanum	tymianový
origanum	temianový
origin	začiatok
origin	zdroj
origin	počiatok
origin	rod
origin	pôvod
origin	vznik
original	svojrázny
original	začiatočný
original	východzí
original	nový
original	tvorivý
original	počiatočný
original	prapôvodný
original	vynaliezavý
original	originálna
original	originálne
original	originál
original	primárny
original	zdrojový
original	pôvodný
original	originálny
original	prvotný
original	najstarší
original	pravý
original	samostatný
original	rodený
original	vrodený
originality	originálnosť
originality	originalita
originally	originálne
originate	vznikať
originate	skrsnúť
originate	pochádzať
originate	prameniť
originate	vytvoriť
originate	stvoriť
originate	vynájsť
originate	začať
originate	spôsobiť
originate	zapríčiniť
originate	vzniknúť
origination	pôvod
origination	počiatok
origination	vznik
ornament	ozdoba
ornament	okrasa
ornament	ornament
ornament	dekorácia
ornament	zdobenie
ornament	zdobiť
ornament	ozdobiť
ornament	krášliť
ornament	okrášliť
ornamental	okrasný
ornamental	ornamentálny
ornamental	okrasná
ornamental	okrasné
ornamental	ornamentálna
ornamental	ornamentálne
ornamental	ozdobná
ornamental	ozdobné
ornamental	ornamentový
ornamental	ozdobný
ornamentation	ornamentika
ornamentation	ozdobovanie
ornate	ozdobený
ornate	vyzdobený
ornate	kvetnatý
ornate	vyumelkovaný
ornithine	ornitín
ornithopter	ornitoptéra
ornithopter	krídelník
orogeny	orogenéza
orography	orografia
orography	horopis
orphan	osirelý
orphan	osirotiť
orphan	sirota
orphanage	sirotinec
orphanage	osirotenosť
orpiment	autipigment
orthicon	ortikon
orthoclase	ortoklas
Orthodox	pravoslávna
Orthodox	pravoslávne
Orthodox	pravoslávny
Orthodox	ortodoxná
Orthodox	ortodoxné
Orthodox	ortodoxný
orthodox	ortodoxný
orthodox	bežný
orthodox	obvyklý
orthodox	konvenčný
orthodox	tradičný
orthodox	pravoverný
orthogonal	ortogonálny
orthogonal	pravouhlý
orthogonality	ortogonálnosť
orthographic	ortografický
orthographic	kolmý
orthography	pravopis
orthopaedist	ortopéd
orthopedic	ortopedický
orthophosphate	fosforečnan
orthophosphate	ortofosforečnan
ortolan	strnádka
oscillate	kmitať
oscillate	oscilovať
oscillate	váhať
oscillate	kolísať
oscillate	chvieť
oscillate	vibrovať
oscillate	rozkolísať
oscillating	oscilovanie
oscillating	oscilujúci
oscillating	kmitavý
oscillating	vibračný
oscillating	striedavý
oscillation	oscilácia
oscillation	kývanie
oscillation	chvenie
oscillation	kolísanie
oscillation	kyv
oscillation	kmitanie
oscillation	vibračný
oscillation	kmitací
oscillator	oscilátor
oscillograph	oscilograf
oscillograph	osciloskop
oscilloscope	osciloskop
osier	vrbina
osier	tŕstie
osier	prútie
ossification	skostnatenie
ossification	skostnatenosť
ossify	kostnatieť
ossify	skostnatieť
ostensible	udávaný
