petty bourgeoisie	malomeštiactvo
phalanx	falanga
phallic	falický
phallic	falická
phallic	falické
phallus	falus
phantasm	fatazma
phantasm	prelud
phantasma	prelud
phantom	fantóm
phantom	umelý
phantom	združený
phantom	domnelý
phantom	vymyslený
pharmaceutical	farmaceutický
pharmaceutical	lekárnický
pharmaceutics	framaceutický
pharmaceutics	framaceutická
pharmaceutics	framaceutické
pharmaceutics	lekárnictvo
pharmaceutics	farmácia
pharmaceutics	lekárnictvo
pharmacological	farmakologický
pharmacologist	farmakológ
pharmacopoeia	lekáreň
pharmacopoeia	liekopis
pharmacy	lekáreň
pharmacy	lekárnictvo
pharmacy	lekárnička
pharmacy	farmácia
pharos	maják
phase	stav
phase	fázový
phase	fázovací
phase	stavový
phase	sfázovať
phase	štádium
phase	etapa
phase	fáza
pheasant	bažant
phenacetin	fenacetín
phenobarbital	luminál
phenol	fenol
phenol	fenolový
phenolic	fenolový
phenolic	fenolitický
phenolic	fenoplastický
phenolphthalein	fenolftaleín
phenomenal	značný
phenomenal	neobyčajný
phenomenal	fenomenálny
phenomenal	fenomenálna
phenomenal	fenomenálne
phenomenon	úkaz
phenomenon	vlastnosť
phenomenon	zjav
phenomenon	jav
phenomenon	fenomén
phenothiazine	fenotiazín
phenotype	fenotyp
phenotypic	fenotypický
phenylalanine	fenylalanín
phenylamine	fenylamín
phenylamine	anilín
phenylethylene	fenyletylén
phial	ampulka
phial	fiola
philanderer	záletník
philatelic	filatelistický
philatelic	filatelistická
philatelic	filatelistické
philatelist	filatelista
philatelist	filatelistika
philharmonic	filharmonický
philharmonic	filharmonická
philharmonic	filharmonické
philological	filologický
philological	jazykovedný
philological	lingvistický
philological	filologická
philological	filologické
philological	jazykovedná
philological	jazykovedné
philological	lingvistická
philological	lingvistické
philologist	filológ
philologist	literát
philologist	lingvista
philologist	učenec
philology	filológia
philology	lingvistika
philosopher	filozof
philosophic	filozofický
philosophic	filozofická
philosophic	filozofické
philosophical	filozofický
philosophical	filozofická
philosophical	filozofické
philosophize	filozofovať
philosophy	koncepcia
philosophy	filozofia
philosophy	múdrosť
phlegm	flegma
phlegm	flegmaičnosť
phlegm	ľahostajnosť
phlegmatic	flegmatický
phloem	lyko
phlogopite	flogopit
phon	fón
phone	telefón
phone	telefonovať
phone	hláska
phone	telefonický
phone	telefónny
phonetic	fonetický
phonetic	fonetika
phonetic	fonetická
phonetic	fonetické
phonetician	fonetik
phonetics	fonetika
phoney	nepravý
phoney	nepravá
phoney	nepravé
phoney	falzifikát
phonic	akustický
phonic	zvukový
phonics	akustika
phonics	zvukotechnika
phonogram	fonogram
phonograph	gramofón
phonologist	fonológ
phosgene	fosgén
phosphatase	fosfatáza
phosphatase	fosfatázový
phosphate	fosfát
phosphate	foforečnan
phosphate	fosforečnan
phosphate	fosfátový
phosphate	fosforečný
phosphine	fosfín
phosphine	fosfán
phosphoprotein	fosfoproteín
phosphor	luminofor
phosphor	fosforový
phosphorescence	fosforescencia
phosphorescence	svetielkovanie
phosphorescent	fosforeskujúci
phosphorescent	svetielkujúci
phosphoric	fosforečný
phosphoric	fosforečná
phosphoric	fosforečné
phosphoric	fosforový
phosphoric	fosforová
phosphoric	fosforové
phosphorous	fosforový
phosphorous	fosforovitý
phosphorous	fosforovitá
phosphorous	fosforovité
phosphorous	fosforová
phosphorous	fosforové
phosphorous	fosfornatý
phosphorous	fosforitý
phosphorus	fosfor
phosphorus	fosfornatý
phosphorus	fosforový
photo	fotiť
photo	fotka
photo	fotografia
photocathode	fotokatóda
photocell	fotónka
photocell	fotoelektrický
photochemical	fotochemický
photochemical	fotochemická
photochemical	fotochemické
photocopier	kopírka
photocopier	kopírovačka
photocopy	fotokópia
photoelectric	fotoelektrický
photoelectric cell	fotónka
photoelectric emission	fotoemisia
photogenic	fotogenický
photogenic	fotogénny
photogenic	fotogenická
photogenic	fotogenické
photogenic	fotogénna
photogenic	fotogénne
photograph	fotografia
photograph	fotografovať
photographer	fotograf
photographic	fotografický
photography	fotografia
photography	fotografovanie
photography	fotografický
photography	fotografická
photography	fotografické
photogravure	fotogravúra
photogravure	hĺbkotlač
photometric	fotometrický
photometric	fotometrická
photometric	fotometrické
