photometry	fotometria
photomicrograph	mikrofotografia
photon	fotón
photophobia	svetloplachosť
photosynthesis	fotosyntéza
phrase	zvrat
phrase	obrat
phrase	fráza
physical	fyzický
physical	hmotný
physical	fyzikálny
physical	telesný
physically	fyzicky
physician	lekár
physician	doktor
physics	fyzika
physiological	fyziologický
physiotherapy	fyzioterapia
pi	pí
pi	nábožný
pi	pobožný
pi	nábožná
pi	nábožné
pi	pobožná
pi	pobožné
pianist	klavirista
piano	klavír
piano	piano
piano player	pianista
pick	nabudiť
pick	zbierať
pick	trhať
pick	budiť
pick off	vyberať
pick out	vybrať
pick up	vyzdvihnúť
pick up	zdvihnúť
pick-off	snímač
pick-off	vysielač
pickpocket	vreckár
picnic	piknik
picosecond	pikosekunda
pictograph	piktograf
pictorial	obrázkový
pictorial	obrázková
pictorial	obrázkové
picture	obraz
picture	obrázok
picture	vzor
picture	maska
picture	ilustrácia
picture	vyobrazenie
picture	príloha
picture	maľba
picture	vyobraziť
picture	zobraziť
picture	obrázokový
picture	obrázoková
picture	obrázokové
picture gallery	obrazáreň
picture postcard	pohľadnica
picture tube	obrazovka
picturesque	farebný
picturesque	malebný
picturesque	pitoreskný
picturesque	farebná
picturesque	farebné
picturesque	malebná
picturesque	malebné
picturesque	pitoreskná
picturesque	pitoreskné
picturesqueness	malebnosť
piece	kus
piece	kúsok
piece	časť
pier	pilier
pier	stĺp
pier	pylón
pier	rubrika
pier	kolonka
pier	stojan
Pierrot	pierot
piezoelectric	piezoelektrický
pig	ošípaná
pig	prasa
pigeon	holub
pigment	farbička
pigment	pigment
pigment	farbivo
pilaster	pilaster
pilaster	pilier
pile	kopa
pile	stoh
pile	hromada
pile up	navrstviť
pilfer	ukradnúť
pilferage	vykrádanie
pill	tabletka
pill	pilulka
pillage	korisť
pillage	plienenie
pillage	drancovanie
pillar	stĺp
pillar	pilier
pillory	pranier
pillow	vankúš
pilot	riadiť
pilot	riadiaci
pilot	kontrolný
pilot	skúšobný
pilot	poloprevádzkový
pimp	pasák
pimp	udavač
pimp	kupliar
pin	koľko
pin	vývod
pin	kolík
pin	čap
pin	prišpendliť
pin	špendlík
pin	pripevniť
pinch	vyklinovanie
pinch	zoškrtenie
pinch	vťažný
pinch	odťahovací
pinch	zvárací
pinch	štiepať
pine	borovica
pineapple	ananás
pinion	pastorok
pinion	pastorkový
pinion	hrebeňový
pink	ružová
pink	ružové
pink	ružový
pink	ružovosť
pinkish	naružovelý
pinkish	ružovkastý
pinkish	zaružovatelý
pinkish	naružovelá
pinkish	naružovelé
pinkish	ružovkastá
pinkish	ružovkasté
pinkish	zaružovatelá
pinkish	zaružovatelé
pinnacle	fiála
pinnacle	ihlanec
pinnacle	šiška
pinnacle	štít
pinning	spojenie
pinning	oihlenie
pinning	vaľkanie
pins and needles	pichanie
pins and needles	mravčenie
pins and needles	meravenie
pint	krčah
pint	holba
pintle	čapový
pioneer	priekopník
pip	hviezdička
pip	frčka
pipe	dátovod
pipe	rúra
pipe	rúrka
pipe	potrubie
pipe	rúrový
pipe	potrubný
pipe	rovnovážny
pipeline	potrubie
piper	gajdoš
piperazine	piperazín
piperine	piperín
pipette	pipeta
pipette	pipetovať
piping	potrubie
piping	lunker
piping	potrubný
piquant	pikantný
piquant	ostrý
pique	piket
pique	pikovať
piracy	pirátstvo
pirate	pirát
pistol	pištoľ
pistol	revolver
pistol	zastreliť
pistol	strieľať
piston	piest
piston	piestnica
piston	piestový
piston	piestny
piston	zdvihový
pit	jama
pit	jamka
pit	baňa
pit	šachtový
pit	odkôstkovať
pitch	odstup
pitch	krok
pitch	rozstup
