planning	plánovanie
planographic	plocha
planography	plocha
plant	závod
plant	továreň
plant	cech
plant	dielňa
plant	prevádzkáreň
plant	zariadenie
plant	sústava
plant	vložiť
plant	prevádzka
plant	agregát
plant	podnik
plant	položiť
plant	umiestniť
plant	vkladať
plant	vysadiť
plant	rastlina
plant	sadenica
plant	sadiť
plant	vysadzovať
plantation	plantážový
plantation	koloniálny
plantation	kolonizácia
plantation	usídlenie
plantation	plantáž
plantation	osada
plantation	kolónia
plantation	sadzba
plantation	pole
plantation	sad
planter	vysadzovač
planter	sejačka
planting	vysadzovací
planting	štrbinový
plaque	plaketa
plasma	plazma
plasma	plazmový
plaster	náplasť
plaster	sadra
plaster	sadrový
plaster	sadrová
plaster	sadrové
plaster	omietka
plaster	omietať
plaster	sadrovať
plaster of Paris	sadra
plastered	omietnutý
plastered	omietnutá
plastered	omietnuté
plasterer	fasádnik
plasterer	štukatér
plasterer	omietkár
plastering	omietanie
plastering	sadrovanie
plastering	omietací
plastering	sadrový
plastering	murársky
plastic	plast
plastic	výrobok
plastic	plastický
plastic	tvárny
plastic	plastická
plastic	plastické
plastic	termoplast
plastic	plastotypový
plastic	trvalý
plastic art	plastika
plasticity	plastičnosť
plasticity	tvárnosť
plasticity	plastickosť
plasticity	plasticita
plasticize	plastifikovať
plasticize	zvláčňovať
plasticizer	zmäkčovadlo
plasticizer	plastikátor
plat	plán
plat	parcela
plate	tabuľka
plate	tanier
plate	doštička
plate	doska
plate	platnička
plate	podložka
plate	štočok
plate	šľapka
plate	plech
plate	plocha
plate	plôška
plate	kotúčový
plate	plochý
plate	plnostenný
plate	platňový
plate	vnútorný
plate	tanierový
plate	etážový
plate	doštičkový
plate	rektifikačný
plate	tabuľový
plate	plátovať
plate	pokovovať
plateau	planina
plateau	kontinentálny
platen	valec
platen	príklopový
platen	etážový
platform	nástupište
platform	stupeň
platform	stupienok
platform	platforma
platform	pódium
platform	rampa
platform	plošina
platform	perónny
platform	valníkový
plating	pokovovanie
plating	plátovanie
plating	obšívka
plating	pokovenie
plating	pokovovací
platinum	platina
platinum	platinový
platinum	platinovaný
platinum	platnatý
platinum	platitý
platinum	platičitý
platoon	čata
plausibility	hodnovernosť
plausibility	prijateľnosť
plausible	prijateľný
plausible	hodnoverný
play	hra
play	hrať
play	vôľa
play	medzera
play	tolerancia
playback	reprodukcia
playback	prehrávanie
playback	snímací
playback	prehrávaný
player	hráč
playground	ihrisko
playhouse	divadlo
playing	hranie
playing field	ihrisko
plea	obhajoba
plea	obrana
plea	námietka
plea	žiadosť
plea	prosba
plea	ospravedlnenie
plea	výhovorka
plea	vysvetlenie
plea	zámienka
plea	proces
plea	spor
plead	prednášať
plead	zastupovať
plead	obhajovať
plead	žiadať
plead	prosiť
pleading	proces
pleasant	zábavný
pleasant	veselý
pleasant	šťastný
pleasant	radostný
pleasant	prítomný
please	prosím
please	potešiť
pleased	potešený
pleased	rád
pleasure	potešenie
pleasure	radosť
pleat	plisovať
pleating	plisovanie
plebiscite	plebiscit
pledge	zastaviť
pledge	záloha
pledge	záruka
pledge	záväzok
pledge	vinkulovať
pledge	prísľub
pledge	rukojemníctvo
plenary	plenárny
plenary	valný
plenary	všeobecný
plenary	úplný
plenary	celkový
plenary	neobmedzený
plenary	plný
plenary	absolútny
plenipotentiary	splnomocnenec
plenipotentiary	splnomocnený
plenipotentiary	úplný
plenipotentiary	plný
plenty	spústa
plenum	pretlakový
plethysmograph	pletysmograf
pliability	poddajnosť
