auriferous	zlatonosný
aurora	zore
aurous	zlatný
auspicate	otvoriť
auspicate	začať
auspicate	inaugurovať
auspices	ochrana
auspices	záštita
auspices	patronát
auspicious	priaznivý
austenite	austenit
austenitic	austenitický
austere	prísny
austere	strohý
austere	prostý
austere	sparťanský
austere	strohá
austere	strohé
austere	prísna
austere	prísne
Austrian	rakúšan
autarchy	autarkia
autarky	autarkia
autarky	sebestačnosť
authentic	pôvodný
authentic	pôvodná
authentic	pôvodné
authentic	pravá
authentic	pravé
authentic	autentická
authentic	autentické
authentic	platný
authentic	nefalšovaný
authentic	nespredstieraný
authentic	hodnoverný
authentic	vierohodný
authentic	overený
authentic	pravý
authentic	autentický
authentic	pravdivý
authentic	skutočný
authentic	čistý
authentic	spoľahlivý
authentic	dôveryhodný
authentically	vierohodne
authentically	vlastnoručná
authentically	vlastnoručné
authentically	vlastnoručný
authentication	autentifikácia
authentication	autorizácia
authentication	autentický
authentication	autentická
authentication	autentické
authentication	verifikácia
authentication	verifikačný
authentication	overenie
authentication	legalizácia
authenticity	autentičnosť
authenticity	pôvodnosť
authenticity	autentický
authenticity	autentická
author	autorský
author	autorská
author	autorské
author	páchateľ
author	autor
author	pôvodca
author	tvorca
author	spisovateľ
authoress	spisovateľka
authoritarianism	režim
authoritarianism	autoritárstvo
authoritative	spoľahlivý
authoritative	autoritatívny
authoritative	smerodajný
authoritative	závažný
authorities	úrady
authorities	úrady
authorities	orgány
authority	oprávnenie
authority	právomoc
authority	odborník
authority	úrady
authority	právo
authority	vážnosť
authority	zmocnenie
authority	kompetencia
authority	poverenie
authority	kapacita
authority	autorita
authority	dovolenie
authority	moc
authority	úrad
authority	závažnosť
authority	znalec
authority	povolenie
authority	splnomocnenie
authorization	zmocnenie
authorization	oprávnenie
authorization	autorizácia
authorization	splnomocnenie
authorization	autorizovanie
authorize	zmocniť
authorize	poveriť
authorize	autorizovať
authorize	oprávniť
authorize	oprávňovať
authorize	povoliť
authorize	splnomocniť
authorize	schváliť
authorized	kompetentný
authorized	autorizovaná
authorized	autorizované
authorized	základný
authorized	autorizovaný
authorized	oprávnený
authorship	autorstvo
authorship	spisovateľstvo
auto	auto
auto	automobilový
auto	automatický
auto	karosériový
autobahn	diaľnica
autobiography	autobiografia
autobus	autobus
autocatalysis	autokatalýza
autocatalytic	autokatalytický
autochthon	autochtón
autochthonous	autochtónny
autochthonous	vzniknutý
autoclave	autokláv
autoclave	autoklávový
autocracy	absolutizmus
autocracy	autokracia
autocracy	samovláda
autocrat	absolutista
autogenous	autogénny
autogiro	vírnik
autogiro	autogíra
autograph	autogram
autograph	podpísaný
autograph	podpísaná
autograph	podpísané
autograph	autograf
autograph	rukopis
autogyro	autogíra
autolysis	autolýza
automate	automatizovať
automated	automatizovaný
automated	automatický
automated	automatizovaná
automated	automatizované
automated teller machine	bankomat
automatic	samočinný
automatic	automatický
automatic	samozrejmý
automatic	samočinný
automatic	automaticky
automatic	automatická
automatic	automatické
automatic	samočinná
automatic	samočinné
automatic	automatový
automatic	automatizovaný
automatic	mechanický
automatic	automat
automatic pilot	autopilot
automatic teller machine	bankomat
automatically	automaticky
automatically	samočinne
automatically	samostatne
automation	automatizácia
automation	mechanizácia
automation	automatizácia
automation	automatizácie
automatism	automatický
automatism	automatizácia
automatism	automatická
automatism	automatické
automatism	automatizmus
automatize	automatizovať
automaton	automat
automaton	robot
automaton	automatický
automobile	automobil
automobile	auto
automobile	karoséria
automobile	automobilový
autonomic	autonómny
autonomous	autonómny
autonomous	samosprávny
autonomous	nezávislý
autonomous	samostatný
autonomous	autonómná
autonomous	autonómné
autonomous	nezávislá
autonomous	nezávislé
autonomy	samospráva
autonomy	autonómia
autopilot	autopilot
