poplar	topoľ
poppet	výstuha
poppet	tanierový
popping	pľuzgier
popping	tvorenie
popping	spätný
poppy	ópium
poppy	maková
poppy	makové
poppy	makový
poppy seed	mak
poppycock	blbosť
poppycock	kecy
popular	obľúbený
popular	populárna
popular	populárne
popular	obľúbená
popular	obľúbené
popular	ľudový
popular	všeobecný
popular	všeľudový
popular	populárny
popularity	obľuba
popularity	populárnosť
popularity	popularita
popularization	populárizácia
popularization	populárizovanie
popularize	popularizovať
populate	obývať
populate	osídľovať
populate	zaľudňovať
populate	zaľudniť
populate	osídliť
populated	zaľudnený
population	obyvateľstvo
population	populácia
population	obsadenie
population	obsadenosť
populism	populizmus
populist	populista
populous	ľudnatý
populous	zaľudnený
populous	ľudnatá
populous	ľudnaté
populous	zaľudnená
populous	zaľudnené
porcelain	porcelán
porcelain	porcelánový
porch	veranda
porch	portál
porch	drevený
pore	prieduch
pore	pórotvorný
pore	pórovitý
pork	bravčové
pork	bravčovina
pork	bravčový
pornography	pornografia
porosity	pórovitosť
porosity	poréznosť
porous	porézny
porous	porovit
porous	pórovitý
porous	bublinatý
porous	spekaný
porousness	pórovitosť
porphyrin	porfyrín
porphyry	porfýr
port	brána
port	vráta
port	port
port	portské
port	prístavisko
port	portský
port	prístav
port	letisko
portability	prenositeľnosť
portability	prenosný
portability	presnosť
portable	prenosný
portable	cestovný
portable	kufríkový
portable	pojazdný
portable	cestovná
portable	cestovné
portable	kufríková
portable	kufríkové
portable	pojazdná
portable	pojazdné
portable	prenosový
portage	doprava
portage	prenesenie
portage	prenos
portage	transport
portal	portál
portal	portál
portal	brána
portal	vystužovadlo
portal	portálový
portal	krajný
porter	porter
porter	sluha
portfolio	portfólio
portfolio	kmeň
portico	arkáda
portico	portiko
portico	stĺpový
portico	portikus
portico	stĺporadie
porticoed	portikový
porticoed	portiková
porticoed	portikové
portion	porcia
portion	prídel
portion	diel
portion	podiel
portion	časť
portion	veno
Portland	portlandská
Portland	portlandské
Portland	portlandský
portrait	portrét
portrait	portrétny
portrait	portrétna
portrait	portrétne
portraitist	portrétista
portraiture	portrétovanie
portray	spodobniť
portray	sportrétovať
portray	vyobraziť
pose	predstavovať
position	pozícia
position	stav
position	umiestenie
position	miesto
position	pracovisko
position	postavenia
position	položenie
position	súradnica
position	stanovište
position	hovor
position	poloha
position	zavedenie
position	pozičný
position	postavenie
position	funkcia
position	stanovisko
position	postoj
positional	polohový
positional	pozičný
positioner	polohovadlo
positioning	umiestenie
positioning	nastavenie
positioning	umiestnenie
positive	pozitív
positive	plus
positive	sklz
positive	klad
positive	kladný
positive	jasný
positive	pevný
positive	definitívny
positive	spoľahlivý
positive	praktický
positive	konštruktívny
positive	dokonalý
positive	presvedčivý
positive	zistený
positive	zistiteľný
positive	konkrétny
positive	hotový
positive	úplný
positive	pozitívny
positive	skutočný
positive	reálny
positive	daný
positive	empirický
positive	platný
positive	priamy
positively	kladne
positron	pozitrón
positron	pozitrónový
posse	možnosť
possess	vlastniť
possess	držať
possess	mať
possess	ovládať
possess	poznať
possession	vlastníctvo
possession	držba
possession	držanie
possession	majetok
possessive	privlastňovací
possessive	vlastnícky
possessive	majetkový
possessor	držiteľ
possibility	možnosť
possible	možný
possible	možno
possible	možná
