predicate	predikátový
predict	predvídať
predict	predpokladať
predict	predpovedať
predict	prorokovať
prediction	predvídanie
prediction	predpoveď
prediction	prognóza
prediction	predikcia
prediction	proroctvo
predictor	prediktor
predictor	prognostik
predictor	predikačný
predisposition	sklon
predisposition	predispozícia
predisposition	spôsobilosť
predisposition	dispozícia
predominant	hlavný
predominant	silnejší
predominant	vládnúci
predominant	riadiaci
predominant	rozhodujúci
predominant	prevládajúci
predominant	prevažný
predominant	dominantný
predominant	prevažujúci
predominantly	prevažne
predominantly	hlavne
predominantly	najmä
predominate	prevládať
predominate	prevažovať
preemption	zabranie
preen	česačka
prefabricate	prefabrikovať
prefabricated	prefabrikovaný
prefabrication	prefabrikácia
prefabrication	montáž
prefabrication	predbežný
preface	predslov
preface	predhovor
prefect	prefekt
prefer	uprednostňovať
prefer	preferovať
prefer	povýšiť
prefer	uprednostniť
prefer	pokračovať
preferable	vhodnejší
preferable	výhodnejší
preferable	lepší
preference	preferencia
preference	prednosť
preference	povýšenie
preference	predvoľba
preference	výhoda
preference	priorita
preferential	výberový
preferential	prednostný
preferential	preferenčný
preferred	prednostný
preferred	preferenčný
preferred	prioritný
preferred	normálny
preferred	uprednostnený
preferred	preferovaný
prefix	predpona
prefix	prefix
prefix	predčíslie
preform	predlisok
preform	predformovací
preform	predlisovať
preform	predtvarovať
pregnancy	tehotnosť
pregnancy	gravidita
pregnancy	úrodnosť
pregnancy	nápaditosť
pregnant	tehotná
preheat	predhrievací
preheat	predhrievať
prehistoric	predhistorický
prejudge	prejudikovať
prejudice	predsudok
prejudice	zaujatosť
prejudice	ujma
prejudice	škoda
prejudice	poškodenie
prejudice	úkor
prejudicial	zaujatý
prelate	prelát
preliminary	predradený
preliminary	predbežný
preliminary	úvodný
preliminary	prípravný
preliminary	predchádzajúci
preliminary	prijímajúci
preliminary	kvalifikačný
preliminary	iniciatívny
preliminary	dočasný
preliminary	vstupný
premature	predčasný
premature	unáhlený
premature	nedozretý
prematurity	zrelostný
premeditate	vopred
premeditation	premyslenosť
premeditation	úkladnosť
premeditation	zámer
premise	premisa
premise	predpoklad
premise	pozemok
premises	pozemok
premises	miestnosť
premises	prevádzka
premises	preambula
premises	predpoklady
premises	súdy
premises	budova
premises	prevádzkáreň
premises	predajňa
premises	lokál
premium	cena
premium	prirážka
premium	odmena
premium	prémia
premium	poistné
premium	príplatok
premium	poplatok
premix	premixový
preoccupation	predpojatosť
preoccupation	zaujatosť
preoccupation	záujem
preoccupation	starosť
prep	prípravňa
prepaid	predplatený
preparation	preparácia
preparation	zhotovenie
preparation	preparačný
preparation	prípravný
preparation	príprava
preparation	prípravok
preparation	preparát
preparation	prostriedok
preparation	liek
preparation	anticipácia
preparation	pohotovosť
preparative	preparatívny
preparatory	prípravný
preparatory	predbežný
preparatory school	prípravka
prepare	pripraviť
prepare	zostaviť
prepare	pripravovať
prepare	chystať
prepare	upravovať
prepare	urobiť
prepare	vyrobiť
prepare	nacvičovať
prepare	anticipovať
prepared	umelý
prepared	pohotový
prepared	pripravený
prepayment	platenie
prepayment	predplatné
prepayment	predplatný
preponderance	prevažovanie
preponderance	prevaha
preponderance	väčšina
preponderate	prevažovať
preponderate	prevládať
preposition	predložka
prerequisite	predpoklad
prerogative	privilégium
prerogative	výsada
prerogative	výsadný
prerogative	privilegovaný
prerogative	prednosť
presbyopia	presbyopia
prescribe	predpísať
prescribe	stanoviť
prescribe	nariadiť
prescribe	naordinovať
prescription	príkaz
prescription	recept
prescription	premlčanie
prescription	predpisovanie
prescription	stanovenie
prescription	nariadenie
prescription	predpis
prescription	vydržanie
prescriptive	normatívny
presence	prítomnosť
presence	blízkosť
presence	družina
presence	postava
presence	vystupovanie
presence	správanie
presence	charakter
presence	výskyt
presence of mind	duchaprítomnosť
present	dar
present	darček
