progressive	vzostupný
prohibit	zakázať
prohibit	zabrániť
prohibit	nedovoliť
prohibit	zamedziť
prohibited	zakázané
prohibition	prohibícia
prohibition	zákaz
prohibition	zakázanie
prohibition	zabránenie
prohibitive	zabraňujúci
prohibitive	znemožňujúci
prohibitive	zabraňujúca
prohibitive	zabraňujúce
prohibitive	znemožňujúca
prohibitive	znemožňujúce
prohibitive	prohibitívny
prohibitory	prohibičný
project	projekt
project	plán
project	návrh
project	projektovať
project	navrhnúť
project	zobraziť
project	vyčnievať
projection	projekt
projection	návrh
projection	projektovanie
projection	navrhovanie
projection	premietanie
projection	premietnutie
projection	naplánovanie
projection	plán
projection	nákres
projection	nárys
projection	pohľad
projection	predstava
projection	obraz
projection	zrkadlenie
projection	kontakt
projection	vrhanie
projection	strielanie
projection	striekanie
projection	chrlenie
projection	prečnievanie
projection	výstupok
projection	výbežok
projection	zväčšovací
projection	zväčšovacia
projection	zväčšovacie
projection	premietací
projection	premietacia
projection	premietacie
projectionist	premietač
projector	navrhovateľ
projector	premietačka
proletarian	proletár
proletariat	proletariát
proletariat	pracujúci
proletariat	robotníctvo
proletariat	lumpenproletariát
proliferate	množiť
prolific	plodný
prolific	plodná
prolific	plodné
prolixity	rozvláčnosť
prolixity	veľavravnosť
prolongation	predĺženie
prolongation	prolongácia
prominent	popredný
prominent	význam
promiscuity	zmes
promiscuous	premiešaný
promiscuous	promiskuitný
promise	sľub
promise	prísľub
promise	sľubovať
promise	sľubujúci
promise	nádej
promise	sľúbiť
promise	vyhlasovať
promise	ubezpečovať
promisor	sľubujúci
promisor	zviazaný
promissory	sľubujúci
promissory	sľubový
promissory note	zmenka
promote	podporovať
promote	pomáhať
promote	povýšiť
promote	založiť
promote	podporiť
promote	napomáhať
promote	povzbudiť
promote	nastoliť
promote	usporiadať
promote	premeniť
promote	propagovať
promoter	podporovateľ
promoter	navrhovateľ
promoter	špekulant
promotion	postup
promotion	reklama
promotion	podporovanie
promotion	povznesenie
promotion	povýšenie
promotion	akvizícia
promotional	náborový
promotional	propagačný
prompt	ochotný
prompt	znak
prompt	prompt
prompt	výzva
prompt	okamžitý
prompt	bezprostredný
prompt	priamy
promptly	okamžite
promptly	promptne
promptly	pohotovo
promulgate	vyhlásiť
promulgate	uverejniť
promulgate	oznámiť
promulgation	vyhlásenie
promulgation	vyhláška
promulgation	oznámenie
promulgation	ohlásenie
promulgator	oznamovateľ
pronoun	zámeno
pronounce	vyhlásiť
pronounce	oznámiť
pronounce	vysloviť
pronounce	zvolať
pronounce	udeliť
pronounce	vyslovovať
pronounce	artikulovať
pronunciation	výslovnosť
pronunciation	rozsudok
pronunciation	rozhodnutie
proof	odolnosť
proof	skúška
proof	kontrola
proof	previerka
proof	dôkaz
proofread	korigovať
proofreader	korektor
prop	propaganda
prop	nábor
prop	vrtuľa
propaganda	nábor
propaganda	propagácia
propaganda	propagovanie
propaganda	reklama
propaganda	propaganda
propagandist	propagátor
propagandistic	propagačný
propagandistic	propagandistický
propagandistic	propagačná
propagandistic	propagačné
propagandistic	propagandistická
propagandistic	propagandistické
propagandize	propagovať
propagate	rozmnožiť
propagate	rozšíriť
propagate	preniesť
propagate	vzbudiť
propagate	šíriť
propagate	propagovať
propagation	šírenie
propagation	množenie
propagation	rozmnožovanie
propagator	propagátor
propagator	rozširovateľ
propagator	šíriteľ
propane	propán
propeller	vrtuľa
propelling	patentný
propelling	patentná
propelling	patentné
propensity	sklon
proper	poriadny
proper	vlastný
proper	pravý
proper	sám
proper	vhodný
proper	správny
proper	náležitý
proper	riadny
proper	zvláštny
proper	charakteristický
proper	príhodný
proper	normálny
proper	zodpovedajúci
proper	slušný
proper	hotový
properly	poriadne
properly	riadne
properly	správne
properly	náležite
properly	vhodne
propertied	majetný
