prove	vyskúšať
provenance	pôvod
provenance	provinencia
proverb	príslovie
provide	obstarať
provide	zadovážiť
provide	poskytnúť
provide	poskytovať
provide	zabezpečiť
provide	zásobiť
provide	vybaviť
provide	zaopatriť
provide	dodať
provide	zaobstarať
provide	pripraviť
provide	umožňovať
provide	dovoľovať
provide	zriadiť
provide	chrániť
provide	zostaviť
provide	stanoviť
providence	obozretnosť
providence	prezieravosť
providence	prozreteľnosť
province	provincia
province	oblasť
province	vidiek
province	kraj
province	odbor
provision	ustanovenie
provision	zásoba
provision	doložka
provision	zabezpečovanie
provision	zaopatrenie
provision	zabezpečenie
provision	poskytnutie
provision	predpoklad
provision	obstaranie
provision	znemožnenie
provision	zabránenie
provision	nariadenie
provision	predpis
provision	štatút
provision	výhrada
provision	klauzula
provision	úhrada
provision	krytie
provision	zásobovanie
provision	nákup
provision	odmena
provision	provízia
provision	rezerva
provision	podmienka
provisional	predbežný
provisional	dočasný
provisional	prechodný
provisional	provizórny
provisions	podmienky
provisions	ustanovenia
provisions	proviant
proviso	podmienka
proviso	výhrada
provisory	podmienený
provisory	podmienečný
provocation	podnet
provocation	popud
provocation	impulz
provocation	provokovanie
provocation	provokácia
provocation	hnev
provocation	pobúrenie
provoke	dopáliť
provoke	vydráždiť
provoke	vyprovokovať
provoke	provokovať
provoke	vzrušiť
provoke	vzbudiť
provoke	podnietiť
provoke	prinútiť
provost	dekan
provost	prebošt
proximate	blízky
proximate	bezprostredný
proximate	prvý
proximate	najbližší
proximate	primárny
proximate	priamy
proximate	približný
proximity	blízkosť
proximity	príbuzenstvo
proximity	spriaznenosť
proxy	splnomocnenec
proxy	zástupca
proxy	zastúpenie
proxy	náhrada
proxy	oprávniť
proxy	splnomocniť
prudence	opatrnosť
prudence	obozretnosť
prudence	prezieravosť
prudence	bdelosť
prudence	múdrosť
prudence	rozvážnosť
prudent	šetrný
prudent	prezieravý
prudent	rozšafný
prudent	opatrný
prudent	obozretný
prudent	múdry
prudent	rozumný
prudent	rozvážny
prudent	uvážlivý
prudential	zaopatrovací
prudential	finančný
prune	prerezávať
Prussian	pruská
Prussian	pruské
Prussian	pruský
pseudo	falošný
pseudo	nepravý
pseudo	falšovaný
pseudo	predstieraný
psychiatric	psychiatrický
psychological	psychologický
psychological	psychologická
psychological	psychologické
psychosis	psychóza
psychotherapy	psychoterapia
pub	hostinec
pub	krčma
puberty	puberta
public	štátny
public	verejnosť
public	verejný
public	verejná
public	verejné
public	ľudový
public	ľudová
public	ľudové
public	spoločenský
public	návštevníci
public	obecenstvo
public	obyvateľstvo
public	ľud
public	národ
public	mestský
public	obecný
public	národný
public nuisance	výtržnosť
public prosecutor	prokurátor
public trust	fond
public trust	nadácia
publican	hostinský
publication	publikácia
publication	publikovanie
publication	uverejnenie
publication	oznámenie
publication	vyhlásenie
publication	vydanie
publicist	publicista
publicity	propagácia
publicity	publicita
publicity	propagačný
publicity	propagačná
publicity	propagačné
publicity	verejnosť
publicly	verejne
publish	uverejniť
publish	zverejniť
publish	publikovať
publish	oznámiť
publish	rozhlásiť
publish	rozšíriť
publish	prezentovať
publish	vydať
publisher	vydavateľ
publisher	nakladateľ
publisher	vydavateľstvo
publisher	nakladateľstvo
publishing house	vydavateľstvo
publishing house	nakladateľstvo
puck	kotúč
pudding	nákyp
pudding	puding
pueblo	ľud
pueblo	ľudia
pueblo	mestečko
pueblo	mesto
pueblo	obec
puerility	detstvo
pug	mopslík
pug	pes
pull	vytiahnuť
pull	vyhrnúť
pull	ťah
pull	ťahať
pull	pritiahnuť
pull	sem
pull	trhať
pull	protekcia
