pull down	zbúrať
pulley	remenica
pulpit	kazatelňa
pulsation	pulzácia
pulse	tep
pulse	pulz
pulse	impulz
pulse	podnet
pulsed	impulzový
pumice	pemza
pump	pumpovať
pump	pumpa
punch	dierovať
punch	raziť
punch	dierovač
punch out	vydierovať
punctual	dochvíľny
punctual	presný
punish	potrestať
punish	trestať
punishable	trestný
punishable	trestateľný
punishment	trest
punishment	trestanie
punishment	potrestanie
punitive	represívny
punitive	trestný
punitive	kárny
pupil	žiak
pupil	žiačka
puppet	bábka
puppet	bábkový
puppet	maňuška
purchase	kúpa
purchase	nákup
purchase	kúpiť
purchase	získať
purchase	nadobudnutie
purchase	získanie
purchase	výnos
purchase	cena
purchase	hodnota
purchaser	kupujúci
purchaser	kupec
purchaser	odberateľ
purchaser	zákazník
purchaser	nadobúdateľ
purchasing	nákupný
purchasing	kúpny
purchasing agent	nákupca
purchasing agent	nákupca
pure	pravý
pure	číry
pure	číra
pure	číre
pure	absolútny
pure	úplný
pure	jednoduchý
pure	nezmiešaný
pure	čistý
pure	nepodmienený
pure	neobmedzený
pure	holý
pure	prostý
purgation	očista
purge	očistiť
purge	uvoľnenie
purge	uvoľniť
purging	uvoľňovanie
purifier	čistidlo
purity	čistota
purity	rýdzosť
purity	neporušenosť
purl	bordúrovanie
purple	fialová
purple	fialové
purple	nach
purple	purpur
purple	nachový
purple	nachová
purple	nachové
purplish	nafialovelý
purplish	nafialovelá
purplish	nafialovelé
purport	význam
purport	zmysel
purport	zámer
purport	podstata
purport	účinnosť
purport	znamenať
purport	chcieť
purported	domnelý
purported	údajný
purpose	účel
purpose	cieľ
purpose	zámer
purpose	úmysel
purpose	plán
purpose	projekt
purpose	zmysel
purpose	cena
purposeful	zámerný
purposeful	úmyselný
purposeful	zmysluplný
purposeless	neúmyselný
purposely	zámerne
purposely	úmyselne
purposely	vedome
purse	pokladňa
purse	kapitál
purse	odmena
purse	cena
purse	prémia
purse	zbierka
purser	pokladník
pursuance	konanie
pursuance	plnenie
pursuance	realizovanie
pursuant	neodbytný
pursue	pokračovať
pursue	sledovať
pursue	robiť
pursue	prevádzkovať
pursue	oznamovať
pursue	dbať
pursue	stíhať
pursue	žalovať
pursue	prenasledovať
pursue	vykonávať
pursue	realizovať
pursue	plniť
pursue	uskutočňovať
pursuer	prenasledovateľ
pursuer	žalobca
pursuit	snaha
pursuit	úsilie
pursuit	prenasledovanie
pursuit	stíhanie
pursuit	žaloba
pursuit	povolanie
pursuit	činnosť
pursuit	cieľ
pursuit	sledovanie
pursuit	prevádzkovanie
purvey	dodávať
purvey	zásobovať
purveyance	dodávanie
purveyance	zásobovanie
purveyor	dodávateľ
purveyor	zásobovač
purview	rozsah
purview	odbor
purview	kompetencia
purview	intencia
push	zatlačiť
push	odstaviť
push	zmačknúť
push	tlačiť
push	poháňať
push	tam
push button	tlačidlo
push-down list	zásobník
push-down stack	zásobník
pusillanimousness	nestatočnosť
pusillanimousness	neodvážnosť
pusillanimousness	malomyseľnosť
pusillanimousness	skleslosť
pusillanimousness	zbabelosť
pusillanimousness	ustrašenosť
pusillanimousness	sklesnutosť
pusillanimousness	bojazlivosť
pussy	mačička
put	položený
put	dať
put	zapísať
put	odložiť
put	vložiť
put	vkladať
put	klásť
put	položil
put	položená
put	položené
put	položiť
put	opcia
put aside	odložiť
put away	ukladať
put in	doplň
put in	doplňte
put off	odložený
put off	vyzliecť
put off	odložiť
put to death	popraviť
put up	postaviť
putative	domnelý
putative	zdanlivý
putative	predpokladaný
putative	údajný
putting	nasadenie
putty	tmel
putty	git
