putty	zatmeliť
puzzling	záhadný
pygmy	piaďmužík
pygmy	trpaslík
pyjama	pyžamový
pyjama	pyžamová
pyjama	pyžamové
pyknic	piknický
pyknic	piknická
pyknic	piknické
pylon	stĺp
pylon	pilier
pylon	pylón
pylon	rubrika
pylon	kolonka
pylon	stojan
pyramid	ihlan
pyramid	pyramída
pyramidal	pyramidálny
pyramidal	pyramidálna
pyramidal	pyramidálne
pyroxene	pyroxén
quack	lekár
quack	felčiar
quack	šarlatán
quad	štvorec
quad	štvornásobný
quad	štvorček
quad	obkladať
quadrangle	štvoruholník
quadrant	kvadrant
quadrant	segment
quadrant	segmentový
quadrant	kvadrantný
quadrant	kvadrantový
quadrate	kvadrát
quadrate	kvadratický
quadrate	druhý
quadratic	kvadratický
quadratic	štvorcový
quadrature	kvadratúra
quadrature	integrácia
quadrature	kvadratúrny
quadrature	priečny
quadrature	reaktačný
quadric	kvadrika
quadrilateral	štvoruholník
quadrilateral	štvoruholníkový
quadrilateral	štvorstranný
quadruple	štvornásobný
quadruple	štvornásobok
quadruplex	kvadruplex
quaestor	kvestor
quagmire	močiar
quagmire	slatina
quaint	zvláštny
quaint	čudný
quaint	podivný
quaint	kuriózny
quake	trasenie
quake	zemetrasenie
qualification	kvalifikácia
qualification	spôsobilosť
qualification	označenie
qualification	podmienka
qualification	výhrada
qualification	cenzus
qualification	predpoklad
qualification	kvalifikačný
qualification	schopnosť
qualification	obmedzenie
qualification	vymedzenie
qualification	požiadavka
qualification	oprávnenie
qualified	limitovaný
qualified	kvalifikovaný
qualified	prispôsobený
qualified	oprávnený
qualified	schopný
qualified	kompetentný
qualified	vhodný
qualified	spôsobilý
qualified	vymedzený
qualified	chybný
qualifier	označenie
qualifier	kvalifikátor
qualify	označiť
qualify	posúdiť
qualify	kvalifikovať
qualify	oprávniť
qualify	vymedziť
qualitative	kvalitatívny
qualitative	akostný
qualitative	kvalitný
quality	vlastnosť
quality	selektívnosť
quality	presnosť
quality	kvalitný
quality	akostný
quality	kvalita
quality	akosť
qualm	pochybnosť
qualm	slabosť
quantic	kvantový
quantifiable	merateľný
quantification	vyčíslenie
quantification	kvantifikácia
quantifier	kvantifikátor
quantify	vyčísliť
quantitative	kvantitatívny
quantitative	veľkostný
quantity	množstvo
quantity	veličina
quantity	stavený
quantity	kvantita
quantization	dávkovanie
quantization	kvantovanie
quantization	kvantovací
quantize	kvantovať
quantum	množstvo
quantum	kvantum
quantum	vlnový
quantum	kvantový
quarantine	karanténny
quarantine	karanténa
quarrel	spor
quarrel	hádka
quarrelsome	hádavý
quarrelsome	hašterivý
quarry	korisť
quarry	lov
quarry	lom
quarry	zhruba
quarry	podlahový
quarter	štvrtina
quarter	kvartál
quarter	kvalita
quarter	milosť
quarter	pardon
quartering	ubytovanie
quartering	odber
quarterly	štvrťročník
quarterly	trojmesačník
quarterly	štvrťročný
quarterly	štvrťročne
quartermaster	loďmajster
quarters	bydlisko
quarters	byt
quarters	ubytovanie
quarters	ubytovňa
quartet	kvarteto
quartet	polslabika
quartile	kvartil
quartz	kryštál
quartz	kremeň
quartz	kremenný
quartzite	kremenec
quartzite	kvarcit
quartzite	kremencový
quasar	kvazar
quash	zastaviť
quash	zrušiť
quash	anulovať
quash	zvrhnúť
quash	zmenšiť
quasi	akoby
quaternary	štvorkový
quaternary	kvartérny
quaternion	štvorica
quaternion	kvaternión
quay	prístav
quay	nábrežný
quay	prístavný
quay	pobrežný
quay	nábrežie
quay	prístavisko
quayage	nábrežné
queen	škridla
queen	dvojnásobný
queen	hrozienkový
queen	lichobežníkový
queen	kráľovná
queen regnant	kráľovná
queen regnant	vladárka
queer	homosexuálny
queer	zvláštny
queer	nesvoj
quench	stlmiť
quench	sklovito
quench	zhasínať
quenched	zhášací
quenched	hasený
quenched	fritovaný
quenching	hasenie
quenching	kalenie
quenching	zakalenie
quenching	schladenie
quenching	utlmenie
quenching	hasiaci
quenching	zhašací
