radiometer	rádiometer
radiophone	rádiotelefón
radioscopy	prežarovanie
radioscopy	prežiarenie
radiotherapy	rádioterapia
radiothorium	rádiotórium
radish	reďkovka
radium	rádium
radium	rádiový
radius	dosah
radius	okruh
radius	rádius
radius	lúč
radius	dolet
radius	zaoblenie
radius	polomer
radius	vyloženie
radius	spica
radius	oblý
radius	pólový
radius	polohový
radius	zaobľovací
radix	rádový
radix	odmocnina
radix	koreň
radix	základ
radix	radix
radome	radom
radon	radón
radon	rádiový
raffinose	rafinóza
raffle	tombola
raffle	lotéria
raft	plť
raft	prievoz
raft	kryha
raft	kompa
raft	preplaviť
raft	pltníčiť
raft	plaviť
raft	prístavište
raft	prístavisko
raft	pódium
raft	mostík
raft	most
raft	mnoho
raft	pramica
raft	rošt
rafter	pltník
rafter	krokvina
rafter	hrada
rafter	krokva
rafter	pažnica
rafter	krokvový
rafter	pažnicový
rafter	spodný
raftsman	pltník
rag	handra
rag	hurhaj
rag	vystrájať
rag	zdrap
rag	hrešiť
rag	byľka
rag	odpadok
rag	karhať
rag	zblo
rag	trocha
rag	chumáč
rag	úlomok
rag	kúsok
rag	reči
rag	plátok
rag	vynadať
rag	nadávať
rag	otravovať
rag	zábava
rag	karneval
rag	komédia
rag	vyvádzanie
rag	handrová
rag	handrové
rag	handrovina
rag	varák
rag	zásek
rag	handrový
rag	trhať
ragamuffin	otrhanec
ragamuffin	šklban
rage	vášeň
rage	zúriť
rage	besnieť
rage	vyčínať
rage	zúrivosť
rage	hnev
rage	nadšenie
rage	besnenie
rage	zápal
rage	žiadostivosť
rage	zlosť
rage	zúrenie
rage	búrka
rage	vytrženie
rage	extáza
rage	tranz
ragged	otrhaný
ragged	roztrhaný
ragged	strapatý
ragged	chybný
ragged	nerovný
ragged	obnosený
ragged	neupravený
ragged	nedokonalý
ragged	zodraný
ragged	potrhaný
ragged	roztrepaný
ragged	ostrý
ragged	špicatý
ragged	zubatý
ragged	zdrsnený
ragged	hrboľatý
ragged	kostrbatý
ragged	chraptivý
ragged	nezladený
ragged	nepravidelný
ragged	nedorobený
ragged	nehotový
ragged	nedotiahnutý
ragged	rozhádzaný
ragged	nejednotný
ragged	vyčerpaný
ragged	zarastený
ragged	pustý
ragged	drsný
raggedness	roztrhanosť
raggedness	rozodranosť
raggedness	otrhanosť
raggedness	strapatosť
raggedness	odretosť
raggedness	roztrepanosť
raggedness	špicatosť
raggedness	zubatosť
raggedness	drsnosť
raggedness	zdrsnenosť
raggedness	nerovnosť
raggedness	hrboľatosť
raggedness	kostrbatosť
raggedness	chraptivosť
raggedness	nezačistenosť
raggedness	nezladenosť
raggedness	nepravidelnosť
raggedness	nehotovosť
raggedness	nedotiahnutosť
raggedness	rozhádzanosť
raggedness	nejednotnosť
raggedness	vyčerpanosť
raggedness	zarastenosť
raggedness	spustlosť
raglan	štíhly
ragout	ragú
ragtag	čvarga
ragtag	zberba
ragtag	háveď
ragtime	komický
ragtime	humorný
raid	nájazd
raid	lup
raid	vtrhnúť
raid	lúpež
raid	vpád
raid	útok
raid	nálet
raid	výpad
raid	nápor
raid	záťah
raid	napadnutie
raid	prepad
raid	prepadnutie
raid	razia
raid	prepadnúť
raid	vylúpiť
raider	útočník
raider	zlodej
raider	lupič
raider	nájazdník
raiding	prebiehanie
rail	koľajnica
rail	koľaj
rail	železnica
rail	zábradlie
rail	ohrada
rail	vyhrešiť
rail	pokarhať
rail	tyč
rail	tyčka
rail	vešiak
rail	držiak
rail	obrubník
rail	mantinel
rail	odrazník
railing	zábradlie
