raven	havran
ravening	dravý
ravenous	dravý
ravenous	nenažratý
ravenous	pažravý
ravenous	vyhladnutý
ravine	dravosť
ravine	korisť
ravine	úžľabina
ravine	plen
ravine	úplaz
ravine	výmoľ
ravine	roklina
raving	vyžarovanie
ravish	uniesť
ravish	očariť
ravish	strhnúť
ravish	uchvacovať
ravish	znásilniť
ravish	uchvátiť
ravisher	násilník
ravishment	znásilnenie
ravishment	únos
ravishment	nadšenie
ravishment	extáza
raw	surový
raw	nespracovaný
raw	surovo
raw	základný
raw	prvotný
raw	odretý
raw	citlivý
raw	sychravý
raw	neskúsený
raw	boľavý
raw	vlhký
raw	nezaučený
raw	neuvarený
raw	čistý
raw	neriedený
raw	nerafinovaný
raw	nepálený
raw	nenaklíčený
raw	panenský
raw	nezačistený
raw	neosvetlený
raw	nevyhodnotený
raw	hrubý
raw	neostrieľaný
raw	živý
raw	čerstvý
raw	krvácajúci
raw	otvorený
raw	nezacelený
raw	nezahojený
raw	otlačený
raw	páliaci
raw	nekultivovaný
raw	nevybrúsený
raw	primitívny
raw	hanebný
raw	sprostý
raw	krutý
raw	nepokrytý
raw	nezarastený
raw	neslušný
raw	surovina
raw	netriedený
raw	surovinový
raw	nepražený
raw	neupravený
raw material	surovina
rawness	surovosť
rawness	neskúsenosť
rawness	neostrieľanosť
rawness	nevycvičenosť
rawness	nespracovanosť
rawness	nezacelenie
rawness	nezahojenosť
rawness	odretosť
rawness	otlačenosť
rawness	sychravosť
rawness	vlhkosť
rawness	nekultivovanosť
rawness	nevybrúsenosť
rawness	primitívnosť
rawness	hrubosť
rawness	nahota
rawness	krutosť
rawness	hanebnosť
rawness	neslušnosť
ray	lúč
ray	záblesk
ray	žiariť
ray	ožarovať
ray	vyžarovať
ray	zákmit
ray	polomer
ray	polpriamka
ray	ožiariť
ray	rovnoľahlosť
ray	lúčovitý
rayon	rajón
rayon	celulóza
rayon	regenerovaný
raze	zničiť
raze	vyhladiť
raze	zbúrať
raze	vyškrtnúť
raze	vymazať
raze	vyškrabať
razor	britva
razor	žiletka
razor	oholiť
razor	vyholiť
re	vec
re-create	pretvárať
re-create	pretvoriť
re-create	prerábať
reach	dosah
reach	rozhľad
reach	dohľad
reach	obzor
reach	siahať
reach	podať
reach	dosiahnuť
reach	podávať
reach	dočahovať
reach	zasahovať
reach	naťahovať
reach	okruh
reach	dosahovať
reach	natiahnuť
reach	siahnuť
reach	docieliť
reach	dôjsť
reach	prísť
reach	doplávať
reach	priplávať
reach	doletieť
reach	priletieť
reach	letieť
reach	získať
reach	dočítať
reach	dopísať
reach	zahŕňať
reach	doľahnúť
reach	preniknúť
reach	dohliadnuť
reach	pamätať
reach	doniesť
reach	dobehnúť
reach	zastihnúť
reach	chytiť
reach	usilovať
reach	výstredníkový
reach	prienikový
reach	doraziť
reach	dospieť
react	účinkovať
react	reagovať
react	ovplyvňovať
react	pôsobiť
react	odpovedať
reactance	reaktancia
reactance	kapacitancia
reactance	reaktančný
reactance	parametrický
reactant	reaktant
reaction	slabosť
reaction	únava
reaction	vyčerpanie
reaction	odpoveď
reaction	ohlas
reaction	protiútok
reaction	reakčný
reaction	reaktívny
reaction	pretlakový
reaction	newattový
reaction	prúdový
reaction	reakcia
reaction	odozva
reactionary	reakcionár
reactionary	spiatočník
reactionary	reakcionársky
reactive	reaktívny
reactive	reakčný
reactive	reaktančný
reactivity	reaktívnosť
reactivity	reaktivita
reactivity	reakčný
reactor	reaktor
reactor	cievka
reactor	tlmivka
reactor	otravný
read	čítať
read	snímať
read	znieť
read	čítaný
read	čítanie
