backbiter	nactiutrhač
backbone	chrbtica
backbreaking	vyčerpávajúci
backbreaking	únavný
backdate	antedatovať
backdown	ústup
backdown	ustúpenie
backed	podkladaný
backed	kašírovaný
backed	stužený
backed up	zálohovné
backed up	zálohovaný
backer	pomocník
backer	typujúci
backer	indosant
backer	ručiteľ
backer	stávkujúci
backer	podporovateľ
backer	prívrženec
backer	stúpenec
backfire	zlyhať
background	pozadie
background	minulosť
background	vzdelanie
background	podklad
background	výchova
background	informovať
background	podložie
background	základný
background	zázemie
background	pôvod
background	príprava
background	okolnosti
background	prostredie
backhanded	rozpačitý
backhanded	váhavý
backing	opora
backing	vonkajší
backing	podloženie
backing	vystuženie
backing	výplň
backing	podložka
backing	nadmurovka
backing	obmurovka
backing	vymurovka
backing	podklad
backing	podpera
backing	ľavotočivý
backing	oporný
backing	podlepovací
backing	glejací
backing	podkladací
backing	zalievací
backing	prídavný
backing	rubový
backing	podpora
backing	krytie
backing	pomoc
backing	rubopis
backing	stúpenci
backing	prívrženci
backlash	vôľa
backlog	nedoplatok
backlog	rezerva
backlog	príspevok
backlog	zadĺženosť
backlog	oneskorovanie
backmost	najzadnejší
backpedal	brzdiť
backrest	operadlo
backside	zadnica
backside	zadok
backslide	recidivovať
backslide	odpadnúť
backslider	odpadlík
backspace	vrátenie
backspace	späť
backspace	vrátiť
backspace	návrat
backstage	zákulisie
backstage	zákulisný
backstage	organizačný
backstair	tajný
backstair	nepoctivý
backstitch	štep
backstop	zarážka
backstop	dôraz
backstop	sieť
backstop	doraz
backtrack	ustúpiť
backup	podpora
backup	zálohovanie
backup	nazhromaždenie
backup	povzbudzovať
backup	rezerva
backup	opora
backup	stlačenie
backup	natlačenie
backup	zálohovať
backup	záloha
backup	reprodukcia
backup	podporný
backup	záložný
backup	náhradník
backup	náhrada
backward	spätný
backward	zlý
backward	cúvačky
backward	nesmelý
backward	späť
backward	naspäť
backward	nazad
backward	reakčný
backward	nepokrokový
backward	ostýchavý
backward	dozadu
backward	spať
backward	spätne
backward	spiatočný
backward	lenivý
backward	návrat
backward	zaostávajúci
backward	nerozvinutý
backward	rekurentný
backward	opačný
backward	zostupný
backward	plachý
backward	zaostalý
backward	ťažkopádny
backward	oneskorený
backward	pomalý
backward	liknavý
backwardness	zaostalosť
backwardness	ťažkopádnosť
backwardness	nesmelosť
backwardness	váhavosť
backwards	dozadu
backwards	späť
backwards	obrátene
backwards	spätne
backwater	vzdutie
backwater	hniezdo
backwoods	zálesie
backwoods	provinciálny
backwoodsman	zálesák
backwoodsman	neotesanec
bacon	slanina
bacteria	baktéria
bacterial	bakteriálny
bacterial	mikrobiologický
bacterial	mikrobiálny
bacterial	mikroorganizmus
bactericidal	baktericídny
bactericide	baktericíd
bacteriological	bakteriologický
bacteriologist	bakteriológ
bacteriology	bakteriológia
bacteriolysis	bakteriolýza
bacteriolytic	bakteriolytický
bacteriophage	bakteriofág
bacterium	baktéria
baculiform	tyčinkovitý
bad	zlý
bad	skazený
bad	pokazený
bad	špatný
bad	zle
bad	nevhodný
bad	nepríjemný
bad	škaredý
bad	hrubý
bad	katastrofálny
bad	chorý
bad	zlá
bad	zlé
bad	skazená
bad	skazené
bad	vadný
bad	špatná
bad	špatné
bad	silno
bad	škodlivý
bad	nespravodlivý
bad	nekrytý
bad	nedobytný
bad	pochybný
bad	zradný
bad	chybný
bad luck	nešťastie
bad luck	neúspech
bad luck	smola
bad-tempered	mrzutý
badge	znak
badge	znamenie
badge	vyznamenanie
badge	medaila
badge	značka
badge	menovka
badge	príznak
badge	prejav
