reductive	redukčný
redundance	nadmernosť
redundance	nadbytok
redundance	prebytok
redundance	hojnosť
redundance	nadbytočnosť
redundancy	prebytok
redundancy	nadbytok
redundancy	nadbytočnosť
redundancy	redundancia
redundant	nadmerný
redundant	prebytočný
redundant	nepotrebný
redundant	navyše
redundant	hojný
redundant	oplývajúci
redundant	prekypujúci
redundant	nadbytočný
redundant	zbytočný
redundant	zvyšujúci
reduplicate	opakovať
reduplicate	zdvojovať
reduplicate	reduplikovať
reduplication	reduplikácia
reduplication	opakovanie
reduplication	zdvojenie
redwood	sekvoja
reed	bidlo
reed	šíp
reed	trstina
reed	píšťala
reed	strela
reed	tŕstie
reed	jazýček
reed	plátok
reed	lúč
reedy	trstinovitý
reedy	slabý
reedy	trstený
reedy	prenikavý
reedy	útly
reedy	trstinový
reedy	ostrý
reef	útes
reef	bralo
reef	skala
reef	podkasávať
reef	rif
reef	rudný
reefer	marihuana
reek	zápach
reek	páchnuť
reek	dymiť
reek	čadiť
reek	dym
reek	para
reek	výpary
reek	hmla
reek	čmud
reek	zapáchať
reel	valec
reel	natočiť
reel	závrat
reel	navijak
reel	navíjať
reel	namotať
reel	tackanie
reel	víriť
reel	navíjadlo
reel	roztočiť
reel	zatočiť
reel	rozkymácať
reel	vyvádzať
reel	roztancovať
reel	cievka
reel	navíjačka
reel	kladka
reel	prípustný
reel	navíjací
reel off	odvíjať
reeler	navijak
reevaluation	prehodnotenie
reeve	richtár
reeve	starosta
reeve	gazda
reeve	hospodár
reeve	šafár
refection	občerstvenie
refection	oprava
refectory	refektár
refer	položiť
refer	pripísať
refer	zveriť
refer	vzťahovať
refer	datovať
refer	umiesťovať
refer	pripisovať
refer	predkladať
refer	pričítať
refer	prisudzovať
refer	odvodzovať
refer	riadiť
refer	priraďovať
refer	zaraďovať
refer	počítať
refer	umiestňovať
refer	predať
refer	odkázať
refer	myslieť
refer	mieniť
refer	hovoriť
refer	platiť
refer	postúpiť
refer	rozhodovať
refer	predložiť
referee	sudcovať
referee	sudca
referee	referent
referee	expert
referee	rozhodca
referee	ručiteľ
referee	garant
reference	odporúčanie
reference	odvolávka
reference	pôsobnosť
reference	právomoc
reference	poukaz
reference	osvedčenie
reference	zmienka
reference	narážka
reference	odvolanie
reference	hľadanie
reference	použitie
reference	potreba
reference	predanie
reference	kompetencia
reference	príslušnosť
reference	vzťah
reference	dobrozdanie
reference	doporučenie
reference	posudok
reference	referencia
reference	svedectvo
reference	vysvedčenie
reference	vyvolanie
reference	značka
reference	referenčný
reference	porovnávací
reference	normálový
reference	oporný
reference	etalónový
reference	nadväzovací
reference	odkazový
reference	príručný
reference	základný
reference	postúpenie
reference	doklad
reference	predloženie
reference	odkaz
reference book	príručka
reference manual	príručka
reference manual	manuál
referendum	referendum
referential	odkazujúci
refill	tuha
refill	grafit
refill	zasypávka
refill	náplň
refill	doplniť
refill	plniť
refine	rafinovať
refine	zušľachťovať
refine	prečisťovať
refine	skujňovať
refine	zjemňovať
refined	jemný
refined	uhladený
refined	čistý
refined	rafinovaný
refined	prečistený
refined	vybrúsený
refined	vytríbený
refined	vyumelkovaný
refined	vybrúsená
refined	vybrúsené
refined	vytríbená
refined	vytríbené
refined	vyumelkovaná
refined	vyumelkované
refined	čistený
refinement	rafinácia
refinement	vycibrenosť
refinement	prehnanosť
refinement	prečisťovanie
refinement	zušľachťovanie
refinement	zjemnenie
refinement	skujňovanie
refiner	rafinér
refiner	rafinátor
refinery	rafinéria
