remonstrate	namietať
remorse	výčitky
remorse	ľútosť
remorse	súcit
remote	odľahlý
remote	diaľkový
remote	nepatrný
remote	bezvýznamný
remote	ďaleký
remote	zapadnutý
remote	dávny
remote	pradávny
remote	zdržanlivý
remote	neprípustný
remote	reportáž
remote	vzdialený
remote	slabý
remote	nepriamy
remoteness	odľahlosť
remoteness	nesúvislosť
remoteness	vzdialenosť
remount	vyliezť
remount	pochádzať
remount	siahať
remount	reinštalovať
remount	remontovať
removable	výmenný
removable	vynímateľný
removable	odoberateľný
removable	odpojiteľný
removable	odstrániteľný
removal	sťahovanie
removal	vyťaženie
removal	premiestnenie
removal	odstraňovanie
removal	odkladanie
removal	demontovanie
removal	demontáž
removal	odpratanie
removal	odvezenie
removal	odvoz
removal	odnesenie
removal	presťahovanie
removal	presun
removal	odsun
removal	zavraždenie
removal	vybratie
removal	odpratávanie
removal	odoberanie
removal	vyberanie
removal	sťahovací
removal	odstránenie
removal	presunutie
removal	odloženie
removal	zosadenie
removal	prepustenie
removal	odvolanie
remove	vybrať
remove	vytiahnuť
remove	odtiahnuť
remove	presťahovať
remove	vzdialenosť
remove	odstup
remove	prenášať
remove	preniesť
remove	zbaviť
remove	prepustiť
remove	odložiť
remove	zvliecť
remove	vyzuť
remove	demontovať
remove	vziať
remove	odpratať
remove	upratať
remove	odniesť
remove	dať
remove	postaviť
remove	povesiť
remove	zavesiť
remove	premiestniť
remove	prestavať
remove	sťahovať
remove	preložiť
remove	presunúť
remove	odsunúť
remove	odviezť
remove	poslať
remove	zavraždiť
remove	zosadiť
remove	vymyť
remove	strhnúť
remove	odstraňovať
remove	odvážať
remove	odlúčiť
remove	odvolať
remove	odštiepiť
remove	premiestňovať
remove	postúpiť
remove	snímať
remove	presúvať
remove	rušiť
remove	vyberať
remove	odstrániť
remove	sňať
removed	vzdialený
removed	odchodný
removed	odlišný
removed	nasledovaný
removed	pootočený
remover	špeditér
remover	sťahovák
remover	vyťahovák
remunerate	odmeniť
remunerate	honorovať
remunerate	uhradiť
remunerate	zaplatiť
remunerate	nahradiť
remuneration	remunerácia
remuneration	dotácia
remuneration	odmena
remuneration	odmeňovanie
remuneration	náhrada
remuneration	plat
remuneration	kompenzácia
remunerative	výnosný
remunerative	výhodný
Renaissance	renesancia
rename	premenovanie
rename	premenovať
renascence	renesancia
renascence	obroda
renascence	obrodenie
renascence	oživenie
rend	rozseknúť
rend	rozštiepiť
rend	rozpoliť
rend	roztrhnúť
render	predložiť
render	predviesť
render	vzdávať
render	okožovať
render	omietnuť
render	splatiť
render	splácať
render	odplácať
render	poskytnúť
render	preukázať
render	zložiť
render	vykonávať
render	vzdať
render	predať
render	vykázať
render	podať
render	urobiť
render	konať
render	učiniť
render	vyjadriť
render	postihnúť
render	vystihnúť
render	zachytiť
render	predniesť
render	zahrať
render	hrať
render	spievať
render	zaspievať
render	interpretovať
render	reprodukovať
render	preložiť
render	tlmočiť
render	pretlmočiť
render	prepustiť
render	vyškvariť
render	škvariť
render	prečistiť
render	čistiť
render	rozpúšťať
render	nahodiť
render	povoľovať
render	služba
render	podklad
render	ťažiť
render	vydávať
render	obetovať
render	vydať
render	odovzdať
render	vrátiť
render	bremeno
render	úväzok
render	poskytovať
render	dávať
render	vyniesť
render	spôsobiť
rendering	prevod
rendering	preklad
rendering	spodobnenie
rendering	stvárnenie
rendering	vyjadrenie
rendering	prevedenie
rendering	interpretácia
rendering	prednes
